"","Agutaynen","Arta","Ata Manobo","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Tausug","Tboli","Tuwali Ifugao","Western Subanon","Yogad"
"Ibatan",2643.04437881414,1028.83194147252,2477.21823016756,754.709451729122,262.072267978057,934.624148459636,695.684400212471,1454.75526908198,819.403851042704,524.730539037015,0,1057.45280379701,1021.37249487241,284.747402744798,2840.38720530679,833.198258739025,2220.0881637654,3020.47634959062,1496.60922464189,2308.8420459538,859.741737277485,3420.85303117152,3093.20252092419,877.109886754404,2418.7550589121,886.366407988416
"Ilongot",1891.92609253254,55.2731731879471,2314.90883950056,867.340949719054,792.963244690433,564.495327536799,455.884087982512,1085.40887066304,404.207852286294,539.307861433132,1057.45280379701,0,203.70099316595,924.326794230197,1877.63139826688,292.377883576462,1476.92798722126,2551.50149189616,1099.18695093888,2092.73742641701,601.272063838329,2603.38659533463,2923.10794337287,249.297897334966,1649.40381475627,178.828050969913
"Isinai",1511.40424495784,257.634011984613,2703.51475798933,707.360659631779,875.366533611144,685.278658471565,382.214227271172,1242.80267675539,206.860207504799,649.906607512608,1021.37249487241,203.70099316595,0,930.333692753286,1587.84372846258,191.873837601387,2088.47190462777,2698.13656194473,1257.46927397465,2139.47277072099,407.068647947555,2330.36633114078,3050.33423035896,165.276703179412,2045.7436115655,337.309939455816
"Isnag",2539.42105518097,916.707374313763,2800.15467552396,808.481078698522,350.822021286201,1496.97320290687,571.086797023019,1803.60448883027,873.175478012105,521.191194908234,284.747402744798,924.326794230197,930.333692753286,0,2410.11106126721,744.863998460918,2553.2198297671,3183.62371390579,1794.56834634174,2362.6136729232,913.513364246886,3273.76492990827,3146.97414789359,765.219351749771,2472.5266858815,791.57497580597
"Kagayanen",66.0040373768228,1900.846601992,1201.84270224009,935.071088168417,2639.54370736704,813.915413324861,1885.69211514028,664.057084620399,1611.47141355778,2417.59562815618,2840.38720530679,1877.63139826688,1587.84372846258,2410.11106126721,0,1609.96361477093,399.058019239408,1079.0244066334,701.552273201364,546.850164225516,1334.01151849172,727.301355465539,1223.05110513194,1613.63887723121,466.257010004129,2040.59733709357
"Keley-i Kallahan",1731.03887651062,327.193676796859,2612.07366284212,838.839464854225,727.472933043826,836.084752884585,190.625595640359,1393.90655437872,213.283870776748,534.938681223003,833.198258739025,292.377883576462,191.873837601387,744.863998460918,1609.96361477093,0,2280.68147279121,2867.58252153342,1411.2182158924,2241.57284596935,496.100476084556,2341.01283806503,3181.38480373369,43.1377280703365,2236.60953364893,322.995880807064
"Kinaray-a",522.570306243246,1433.35443595882,1301.08374548634,1617.22574938055,1966.74488167527,868.664055966133,2476.97863319635,694.75191124698,2050.53506786297,1701.21620177332,2220.0881637654,1476.92798722126,2088.47190462777,2553.2198297671,399.058019239408,2280.68147279121,0,1674.75896529285,578.372483926894,808.915503354633,1816.86072454367,957.169914526881,1703.04939182874,2225.75089330093,487.175146157076,1614.16375564354
"Maguindanao",1128.57078285931,2433.31703608931,635.880943273951,2629.82956660152,2965.71965994492,1927.86219232539,3053.69640714353,1430.4440270109,2885.01515254145,2628.99708073311,3020.47634959062,2551.50149189616,2698.13656194473,3183.62371390579,1079.0244066334,2867.58252153342,1674.75896529285,0,1540.16268290695,881.693090836663,2925.35303877623,1067.49170681309,366.374183041346,2806.00261049174,601.958775997448,2246.75858853445
"Masbatenyo",737.914717174153,1093.03348585599,1142.94891537255,1240.77419903748,1580.54674349097,538.806824761353,1548.99493321625,86.5502464664562,1451.18427452212,1419.71181240496,1496.60922464189,1099.18695093888,1257.46927397465,1794.56834634174,701.552273201364,1411.2182158924,578.372483926894,1540.16268290695,0,742.446420608345,1536.29767121219,1451.82732951703,1603.92204354934,1361.13187876015,929.474581537246,1205.20339237864
"Northern Subanen",590.284774473257,1992.75009000108,850.680936640112,1808.81952561894,2458.8031109649,1106.85215134281,2259.51047023675,808.996766743844,2064.00511155886,2224.50970336537,2308.8420459538,2092.73742641701,2139.47277072099,2362.6136729232,546.850164225516,2241.57284596935,808.915503354633,881.693090836663,742.446420608345,0,2104.34299779364,1434.71589542565,1026.81443173981,2081.51587226051,432.617923166223,2119.64827374693
"Pangasinan",1117.50279138689,656.545151502423,2541.8840003944,361.520681641868,1165.65650971587,1211.15147582715,622.146196396576,1545.33381370071,287.526633246706,1027.83463048478,859.741737277485,601.272063838329,407.068647947555,913.513364246886,1334.01151849172,496.100476084556,1816.86072454367,2925.35303877623,1536.29767121219,2104.34299779364,0,1896.42745273549,2888.70347276404,504.402072867566,2143.28612219781,743.748475164595
"Tausug",761.923044105919,2697.33111852352,1599.99662520761,1571.0421677359,3346.85694799597,1676.99812096086,2694.08762362661,1469.54047132655,2299.27592666402,3183.58604453918,3420.85303117152,2603.38659533463,2330.36633114078,3273.76492990827,727.301355465539,2341.01283806503,957.169914526881,1067.49170681309,1451.82732951703,1434.71589542565,1896.42745273549,0,861.745918280114,2351.66771702028,768.425502591742,2830.25706863813
"Tboli",1268.93890596585,2942.96749465017,909.118577911124,2593.18000058933,3272.66897748111,1891.2126263132,3043.87094520714,1612.95818603787,2848.36558652925,2992.65922386724,3093.20252092419,2923.10794337287,3050.33423035896,3146.97414789359,1223.05110513194,3181.38480373369,1703.04939182874,366.374183041346,1603.92204354934,1026.81443173981,2888.70347276404,861.745918280114,0,3225.29643174907,637.276292231452,2841.34497734691
"Tuwali Ifugao",1656.59967459575,284.262074749885,2545.95872195805,838.767426008727,728.121193237674,795.491776837161,224.442655193001,1296.42677930959,230.165037130297,523.436291963351,877.109886754404,249.297897334966,165.276703179412,765.219351749771,1613.63887723121,43.1377280703365,2225.75089330093,2806.00261049174,1361.13187876015,2081.51587226051,504.402072867566,2351.66771702028,3225.29643174907,0,2212.73539743812,286.698842112869
"Western Subanon",504.915534685821,1851.84051683132,1346.81253441562,1606.30273230626,2636.04365870279,1216.7651643011,2369.42348319504,938.510724025771,2173.91812451716,2344.63142281932,2418.7550589121,1649.40381475627,2045.7436115655,2472.5266858815,466.257010004129,2236.60953364893,487.175146157076,601.958775997448,929.474581537246,432.617923166223,2143.28612219781,768.425502591742,637.276292231452,2212.73539743812,0,2109.23000025829
