node_i,node_j,w,log10_w_ratio
84,85,141.98325529600712,0.009349876189128158
84,99,141.852752900173,0.008950515482642182
84,98,141.93828643354595,0.00921230488074
85,99,142.0530026136537,0.009563164985517883
85,100,142.0301065086019,0.009493159752659651
85,86,142.08028336737405,0.009646561626628893
86,101,142.0684970263612,0.009610533016127337
86,87,142.08124112863246,0.009649489189959186
86,100,142.07138568322864,0.009619363369161313
87,102,142.07335834021677,0.009625393493333316
87,101,142.07141838459677,0.009619463333147962
88,103,138.7273432052185,-0.000725183876947948
88,89,138.74400805499798,-0.0006730166728253959
89,104,138.79517936254314,-0.000512870518639066
89,90,138.7640431114715,-0.0006103077571768928
89,103,138.803680505006,-0.00048627099107313
90,105,138.98005737820858,6.523366967271061e-05
90,91,138.86329215738678,-0.00029979571937902174
90,104,138.9469458633845,-3.824780622469711e-05
91,105,139.2328643755536,0.0008545048038822491
91,106,139.06895984850706,0.00034295343274906527
91,92,139.1792151256255,0.0006871300726410912
92,107,139.53322202506416,0.0017903698651014508
92,93,139.3268951131594,0.0011477060336474029
92,106,139.44923476552384,0.0015288824232740418
93,108,139.87394432677814,0.002849568816768435
93,94,139.60815673336822,0.0020235401048271256
93,107,139.73719366319597,0.0024247641129750046
94,109,140.2527995539768,0.004024285894117988
94,95,139.9325487578895,0.0030314915530017653
94,108,140.07018738421255,0.0034584566716076557
95,110,140.6639854237775,0.005295665116532334
95,96,140.27680459968573,0.004098611446646507
95,109,140.41300406124716,0.004520077972409088
96,97,141.17013286702604,0.006855570491292641
96,110,140.70046999047833,0.005408295164690221
97,98,141.6304143469332,0.008269272730040541
98,99,141.92191710356332,0.009162216072212395
99,100,142.0726611729131,0.009623262364321039
100,101,142.0807437138232,0.009647968757822674
101,102,142.07400240655014,0.009627362291873874
103,111,138.8578314385849,-0.0003168744349803882
103,104,138.84460534840207,-0.00035824258467584435
103,112,138.87210764833512,-0.0002722261760072428
104,113,138.97246227012374,4.149930284127484e-05
104,112,138.90306940464814,-0.00017541032575651806
104,105,138.93545168570745,-7.417565186040627e-05
105,106,139.1634022379793,0.0006377847735264552
105,114,139.01329094598842,0.0001690718028978344
105,113,139.11882964427187,0.0004986624765269365
106,107,139.39828685106443,0.0013701835169172855
106,115,139.23147052202208,0.0008501570808782112
106,114,139.33407353631353,0.0011700812488086281
107,108,139.65299851211836,0.002163011971010369
107,116,139.45917814181772,0.0015598485272558518
107,115,139.56658465860343,0.0018941980109468365
108,109,139.95795384184564,0.00311033158295819
108,117,139.6970662813031,0.0023000328029878204
108,116,139.81106278757773,0.002654284083916835
109,117,140.22181470922408,0.003928330349700272
109,110,139.96698450816143,0.0031383531559794455
109,118,140.0701086261814,0.003458212478402854
110,118,140.22779534925908,0.003946853170718271
111,120,138.9202768764595,-0.00012161275859905564
111,119,138.9342989941917,-7.777883330354353e-05
111,112,138.93761579647517,-6.741097061090505e-05
112,113,138.96357573060376,1.3727624826299042e-05
112,121,138.9365921005948,-7.061087516746057e-05
112,120,138.9812285731746,6.889348516992732e-05
113,114,139.09050560390023,0.0004102328451478685
113,122,139.0173548633137,0.00018176779088343472
113,121,139.07134579565312,0.0003504043750155104
114,115,139.29169354245482,0.0010379657032090499
114,123,139.168029794824,0.0006522259912347723
114,122,139.24313245519434,0.0008865317676457099
115,116,139.50112778695214,0.0016904656734935916
115,124,139.34551747875886,0.0012057497456650218
115,123,139.4333263836043,0.0014793352413871906
116,125,139.7203733747437,0.002372484559087115
116,124,139.53985962340545,0.0018110287714798324
116,117,139.62807873430197,0.0020855092477228133
117,125,139.9138021543895,0.0029733057203823747
117,118,139.7377192783426,0.002426397688993562
117,126,139.81353640870552,0.002661967814241191
118,126,139.91861129358475,0.002988233102022589
119,120,138.96629643665523,2.223040011886045e-05
119,128,138.97183443087852,3.953727575190028e-05
119,127,138.9856903100312,8.283548736558985e-05
120,121,138.9949543346614,0.00011178221337767239
120,129,138.983244454523,7.519275166436474e-05
120,128,139.0032736680506,0.00013777547679582456
121,122,139.0921452967447,0.0004153525717165348
121,130,139.0430993877594,0.0002621870289807961
121,129,139.07899823165212,0.0003743008813452462
122,123,139.22039523321922,0.0008156093733090608
122,131,139.1342677176911,0.0005468536389444075
122,130,139.18374219603479,0.0007012561023185655
123,131,139.38414989803462,0.001326137695604982
123,124,139.2602853190083,0.0009400276577298809
123,132,139.3231713264379,0.0011360984998993846
124,133,139.5600741989882,0.0018739387014444935
124,132,139.41929157767177,0.0014356186801385538
124,125,139.4941409237523,0.0016687136477466172
125,134,139.70664319811067,0.0023298047922899958
125,133,139.5992221023998,0.00199574527401049
125,126,139.64976589962367,0.002152959039585928
126,134,139.73554104585125,0.0024196278509759886
127,128,138.99763966558015,0.00012017254049651864
128,135,139.0250089046904,0.00020567859274790056
128,129,139.01950189632717,0.00018847513609724235
129,136,139.08598477608368,0.0003961168386380584
129,135,139.04636331293725,0.0002723816237732341
129,130,139.06815691950865,0.0003404459814788625
130,137,139.17346457196,0.0006691856883594267
130,136,139.11321370772495,0.00048113056162606447
130,131,139.1424739903874,0.000572467989092054
131,132,139.2839912367239,0.0010139501910125224
131,138,139.20390705576222,0.0007641718771155323
131,137,139.23345050322249,0.0008563330466440494
132,133,139.43279269389822,0.001477672949136174
132,138,139.31814796496698,0.001120439528909758
133,134,139.5829349315065,0.001945072777401371
135,136,139.07834440786993,0.00037225921630737826
136,137,139.13801307395562,0.0005585442575998065
137,138,139.20868114379198,0.0007790660318737524
