"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Central Kalinga",778.407765673151,1098.7080132766,1387.15807318983,941.700578661611,1055.67225892662,669.831298474277,1832.78698181799,997.744573781441,552.216152587992,859.17751092314,0,724.555338125702,841.158164826163,754.045177088282,874.200464562763,708.382997525041,615.228296167219,1180.6852912014,846.768347541734,794.527698353776,811.720903755432,737.574368182752,737.574368182752,1009.49185644697,699.260942988763,3003.32293322477,6035.81949759512,6002.17434265423,6068.66508281825,6083.19151838982,6310.43684066754,6381.98218285779,6495.90674667214,6325.55990670324,7019.79633234328,6516.89419627857,6699.30603502081,6327.93461436062,3470.11750946549,3354.99820397609,3433.19710821828,7191.25736485163,7252.01799551779,1250.56656859671,5214.48887626491,6674.36140014586,6621.89935226581,5762.54358304671,7377.98489458532,5657.61326420115,5727.21804436986,6152.78891936166,7228.51105456945,6533.43883237581,6702.29184889197,7043.20778513303,7137.09045619214,7383.96923761797
"South Kalinga",794.485509083209,1114.78575668666,1403.23581659989,957.778322071669,1071.75000233668,685.909041884335,1848.86472522805,1013.8223171915,568.29389599805,875.255254333198,724.555338125702,0,857.235908236221,770.12292049834,890.278207972821,724.460740935099,631.306039577277,1196.76303461146,862.846090951792,810.605441763834,827.79864716549,753.65211159281,753.65211159281,1025.56959985703,715.33868639882,3019.40067663482,6051.89724100518,6018.25208606429,6084.7428262283,6099.26926179987,6326.5145840776,6398.05992626785,6511.9844900822,6341.6376501133,7035.87407575334,6532.97193968863,6715.38377843087,6344.01235777068,3486.19525287555,3371.07594738615,3449.27485162833,7207.33510826168,7268.09573892785,1266.64431200676,5230.56661967497,6690.43914355592,6637.97709567587,5778.62132645677,7394.06263799538,5673.69100761121,5743.29578777992,6168.86666277172,7244.58879797951,6549.51657578586,6718.36959230203,7059.28552854309,7153.1681996022,7400.04698102802
"Balangaw",911.088335783669,1231.38858338712,1519.83864330035,1074.38114877213,1188.35282903714,802.511868584795,1965.46755192851,1130.42514389196,684.896722698511,991.858081033659,841.158164826163,857.235908236221,0,886.7257471988,1006.88103467328,841.063567635559,747.908866277737,1313.36586131192,979.448917652253,927.208268464295,944.40147386595,870.254938293271,870.254938293271,1142.17242655749,831.941513099281,3136.00350333529,6168.50006770564,6134.85491276475,6201.34565292877,6215.87208850033,6443.11741077806,6514.66275296831,6628.58731678266,6458.24047681376,7152.4769024538,6649.57476638909,6831.98660513133,6460.61518447114,3602.79807957601,3487.67877408661,3565.8776783288,7323.93793496214,7384.69856562831,1383.24713870722,5347.16944637543,6807.04197025638,6754.57992237633,5895.22415315723,7510.66546469584,5790.29383431167,5859.89861448038,6285.46948947218,7361.19162467997,6666.11940248633,6834.97241900249,7175.88835524355,7269.77102630266,7516.64980772849
"Central Ifugao",823.975348045788,1144.27559564924,1432.72565556247,987.268161034248,1101.23984129925,715.398880846914,1878.35456419063,1043.31215615408,597.783734960629,904.745093295778,754.045177088282,770.12292049834,886.7257471988,0,919.7680469354,753.950579897678,660.795878539856,1226.25287357404,892.335929914372,840.095280726414,857.288486128069,783.14195055539,783.14195055539,1055.05943881961,744.8285253614,3048.8905155974,6081.38707996776,6047.74192502686,6114.23266519089,6128.75910076245,6356.00442304018,6427.54976523043,6541.47432904478,6371.12748907588,7065.36391471592,6562.46177865121,6744.87361739345,6373.50219673326,3515.68509183813,3400.56578634873,3478.76469059091,7236.82494722426,7297.58557789043,1296.13415096934,5260.05645863755,6719.9289825185,6667.46693463845,5808.11116541935,7423.55247695796,5703.18084657379,5772.78562674249,6198.3565017343,7274.07863694209,6579.00641474844,6747.85943126461,7088.77536750567,7182.65803856478,7429.5368199906
"East Ifugao",944.130635520269,1264.43088312372,1552.88094303695,1107.42344850873,1221.39512877374,835.554168321395,1998.50985166511,1163.46744362856,717.93902243511,1024.90038077026,874.200464562763,890.278207972821,1006.88103467328,919.7680469354,0,874.105867372159,780.951166014337,1346.40816104852,1012.49121738885,960.250568200895,977.44377360255,903.297238029871,903.297238029871,1175.21472629409,864.983812835881,3169.04580307188,6201.54236744224,6167.89721250135,6234.38795266537,6248.91438823694,6476.15971051466,6547.70505270491,6661.62961651926,6491.28277655036,7185.5192021904,6682.61706612569,6865.02890486793,6493.65748420774,3635.84037931261,3520.72107382321,3598.91997806539,7356.98023469875,7417.74086536491,1416.28943844382,5380.21174611203,6840.08426999298,6787.62222211293,5928.26645289383,7543.70776443244,5823.33613404827,5892.94091421698,6318.51178920878,7394.23392441657,6699.16170222293,6868.01471873909,7208.93065498015,7302.81332603926,7549.69210746509
"Central Bontok",778.313168482547,1098.613416086,1387.06347599923,941.605981471007,1055.57766173601,669.736701283673,1832.69238462739,997.649976590837,552.121555397389,859.082913732537,708.382997525041,724.460740935099,841.063567635559,753.950579897678,874.105867372159,0,615.133698976615,1180.5906940108,846.673750351131,794.433101163173,811.626306564828,737.479770992149,737.479770992149,1009.39725925637,699.166345798159,3003.22833603416,6035.72490040452,6002.07974546362,6068.57048562764,6083.09692119921,6310.34224347694,6381.88758566719,6495.81214948154,6325.46530951264,7019.70173515268,6516.79959908797,6699.21143783021,6327.84001717002,3470.02291227489,3354.90360678549,3433.10251102767,7191.16276766102,7251.92339832719,1250.4719714061,5214.39427907431,6674.26680295526,6621.80475507521,5762.44898585611,7377.89029739472,5657.51866701055,5727.12344717925,6152.69432217106,7228.41645737885,6533.3442351852,6702.19725170137,7043.11318794242,7136.99585900154,7383.87464042736
"North Kankanay",685.158467124725,1005.45871472818,1293.90877464141,848.451280113185,962.422960378192,576.581999925851,1739.53768326957,904.495275233015,458.966854039566,765.928212374715,615.228296167219,631.306039577277,747.908866277737,660.795878539856,780.951166014337,615.133698976615,0,1087.43599265298,753.519048993309,701.278399805351,718.471605207006,644.325069634327,644.325069634327,916.242557898543,606.011644440337,2910.07363467634,5942.5701990467,5908.9250441058,5975.41578426982,5989.94221984139,6217.18754211912,6288.73288430937,6402.65744812371,6232.31060815481,6926.54703379486,6423.64489773015,6606.05673647239,6234.68531581219,3376.86821091707,3261.74890542767,3339.94780966985,7098.0080663032,7158.76869696937,1157.31727004828,5121.23957771649,6581.11210159743,6528.65005371739,5669.29428449829,7284.7355960369,5564.36396565273,5633.96874582143,6059.53962081323,7135.26175602103,6440.18953382738,6609.04255034354,6949.9584865846,7043.84115764371,7290.71993906954
"Ilongot",1250.61546215891,1570.91570976236,1540.14096016747,1413.90827514737,1527.87995541238,1142.03899496004,1985.76986879563,1150.72746075908,1024.42384907375,1331.3852074089,1180.6852912014,1196.76303461146,1313.36586131192,1226.25287357404,1346.40816104852,1180.5906940108,1087.43599265298,0,999.751234519376,947.510585331418,1283.92860024119,1209.78206466851,1209.78206466851,1162.47474342461,852.243829966404,3156.30582020241,6188.80238457277,6155.15722963187,6221.64796979589,6236.17440536746,6463.41972764519,6534.96506983543,6648.88963364978,6478.54279368088,7172.77921932093,6669.87708325622,6852.28892199846,6480.91750133826,3623.10039644313,3507.98109095373,3586.17999519592,7344.24025182927,7405.00088249543,1403.54945557435,5367.47176324255,6827.3442871235,6774.88223924345,5915.52647002436,7530.96778156297,5810.59615117879,5880.2009313475,6305.7718063393,7381.49394154709,6686.42171935345,6855.27473586961,7196.19067211067,7290.07334316978,7536.95212459561
"Pangasinan",916.698518499241,1236.99876610269,1206.2240165078,1079.9913314877,1193.96301175271,808.122051300367,1651.85292513596,816.810517099414,690.506905414082,997.46826374923,846.768347541734,862.846090951792,979.448917652253,892.335929914372,1012.49121738885,846.673750351131,753.519048993309,999.751234519376,0,613.593641671749,950.011656581521,875.865121008842,875.865121008842,828.557799764941,518.326886306735,2822.38887654274,5854.8854409131,5821.2402859722,5887.73102613622,5902.25746170779,6129.50278398552,6201.04812617577,6314.97268999011,6144.62585002121,6838.86227566126,6335.96013959655,6518.37197833879,6147.00055767859,3289.18345278346,3174.06414729407,3252.26305153625,7010.3233081696,7071.08393883577,1069.63251191468,5033.55481958289,6493.42734346383,6440.96529558379,5581.60952636469,7197.0508379033,5476.67920751912,5546.28398768783,5971.85486267963,7047.57699788742,6352.50477569378,6521.35779220994,6862.273728451,6956.15639951011,7203.03518093594
"Inibaloi",864.457869311283,1184.75811691474,1153.98336731985,1027.75068229974,1141.72236256475,755.881402112409,1599.61227594801,764.569867911456,638.266256226124,945.227614561272,794.527698353776,810.605441763834,927.208268464295,840.095280726414,960.250568200895,794.433101163173,701.278399805351,947.510585331418,613.593641671749,0,897.771007393564,823.624471820884,823.624471820884,776.317150576983,466.086237118777,2770.14822735478,5802.64479172514,5768.99963678424,5835.49037694826,5850.01681251983,6077.26213479756,6148.80747698781,6262.73204080216,6092.38520083326,6786.6216264733,6283.71949040859,6466.13132915083,6094.75990849063,3236.94280359551,3121.82349810611,3200.02240234829,6958.08265898164,7018.84328964781,1017.39186272672,4981.31417039493,6441.18669427588,6388.72464639583,5529.36887717673,7144.81018871534,5424.43855833117,5494.04333849987,5919.61421349167,6995.33634869947,6300.26412650582,6469.11714302198,6810.03307926304,6903.91575032216,7150.79453174798
"North Kallahan",881.651074712938,1201.95132231639,1490.40138222962,1044.9438877014,1158.9155679664,773.074607514064,1936.03029085778,1100.98788282123,655.459461627779,962.420819962928,811.720903755432,827.79864716549,944.40147386595,857.288486128069,977.44377360255,811.626306564828,718.471605207006,1283.92860024119,950.011656581521,897.771007393564,0,840.81767722254,840.81767722254,1112.73516548676,802.50425202855,3106.56624226455,6139.06280663491,6105.41765169402,6171.90839185803,6186.4348274296,6413.68014970733,6485.22549189758,6599.15005571193,6428.80321574303,7123.03964138307,6620.13750531836,6802.5493440606,6431.17792340041,3573.36081850528,3458.24151301588,3536.44041725806,7294.50067389141,7355.26130455758,1353.80987763649,5317.7321853047,6777.60470918565,6725.1426613056,5865.7868920865,7481.22820362511,5760.85657324094,5830.46135340964,6256.03222840145,7331.75436360924,6636.6821414156,6805.53515793176,7146.45109417281,7240.33376523193,7487.21254665775
"Itbayaten",470.694698753759,1127.80478674371,1416.25484665694,970.797352128719,1084.76903239373,362.118231554885,1861.8837552851,1026.84134724855,581.3129260551,888.274284390248,737.574368182752,753.65211159281,870.254938293271,783.14195055539,903.297238029871,737.479770992149,644.325069634327,1209.78206466851,875.865121008842,823.624471820884,840.81767722254,0,257.193910368047,1038.58862991408,728.35771645587,3032.41970669187,6064.91627106223,6031.27111612134,6097.76185628536,6112.28829185692,6339.53361413465,6411.0789563249,6525.00352013925,6354.65668017035,7048.89310581039,6545.99096974568,6728.40280848792,6357.03138782773,3499.2142829326,3384.0949774432,3462.29388168538,7220.35413831873,7281.1147689849,1279.66334206381,5243.58564973202,6703.45817361297,6650.99612573292,5791.64035651382,7407.08166805243,5686.71003766826,5756.31481783697,6181.88569282877,7257.60782803656,6562.53560584292,6731.38862235908,7072.30455860014,7166.18722965925,7413.06601108507
"Ivatanen",470.694698753759,1127.80478674371,1416.25484665694,970.797352128719,1084.76903239373,362.118231554885,1861.8837552851,1026.84134724855,581.3129260551,888.274284390248,737.574368182752,753.65211159281,870.254938293271,783.14195055539,903.297238029871,737.479770992149,644.325069634327,1209.78206466851,875.865121008842,823.624471820884,840.81767722254,257.193910368047,0,1038.58862991408,728.35771645587,3032.41970669187,6064.91627106223,6031.27111612134,6097.76185628536,6112.28829185692,6339.53361413465,6411.0789563249,6525.00352013925,6354.65668017035,7048.89310581039,6545.99096974568,6728.40280848792,6357.03138782773,3499.2142829326,3384.0949774432,3462.29388168538,7220.35413831873,7281.1147689849,1279.66334206381,5243.58564973202,6703.45817361297,6650.99612573292,5791.64035651382,7407.08166805243,5686.71003766826,5756.31481783697,6181.88569282877,7257.60782803656,6562.53560584292,6731.38862235908,7072.30455860014,7166.18722965925,7413.06601108507
"Kapampangan",1079.42202740448,1399.72227500793,1017.89833212105,1242.71484039294,1356.68652065794,970.845560205601,1463.52724074921,789.042839378307,853.230414319317,1160.19177265447,1009.49185644697,1025.56959985703,1142.17242655749,1055.05943881961,1175.21472629409,1009.39725925637,916.242557898543,1162.47474342461,828.557799764941,776.317150576983,1112.73516548676,1038.58862991408,1038.58862991408,0,490.559208585629,2634.06319215599,5666.55975652635,5632.91460158545,5699.40534174947,5713.93177732104,5941.17709959877,6012.72244178902,6126.64700560336,5956.30016563446,6650.53659127451,6147.6344552098,6330.04629395204,5958.67487329184,3100.85776839671,2985.73846290732,3063.9373671495,6821.99762378285,6882.75825444901,881.306827527928,4845.22913519614,6305.10165907708,6252.63961119704,5393.28384197794,7008.72515351655,5288.35352313237,5357.95830330108,5783.52917829288,6859.25131350067,6164.17909130703,6333.03210782319,6673.94804406425,6767.83071512336,7014.70949654919
"Tina",769.191113946269,1089.49136154972,868.225425328492,932.483926934729,1046.45560719974,660.614646747395,1313.85433395665,478.811925920101,542.99950086111,849.960859196259,699.260942988763,715.33868639882,831.941513099281,744.8285253614,864.983812835881,699.166345798159,606.011644440337,852.243829966404,518.326886306735,466.086237118777,802.50425202855,728.35771645587,728.35771645587,490.559208585629,0,2484.39028536343,5516.88684973378,5483.24169479289,5549.73243495691,5564.25887052848,5791.5041928062,5863.04953499645,5976.9740988108,5806.6272588419,6500.86368448194,5997.96154841723,6180.37338715947,5809.00196649928,2951.18486160415,2836.06555611475,2914.26446035694,6672.32471699029,6733.08534765645,731.633920735365,4695.55622840357,6155.42875228452,6102.96670440447,5243.61093518537,6859.05224672398,5138.68061633981,5208.28539650852,5633.85627150032,6709.57840670811,6014.50618451447,6183.35920103063,6524.27513727169,6618.1578083308,6865.03658975663
"Iraya",3073.25310418227,3393.55335178572,2391.12920777827,3236.54591717073,3350.51759743574,2964.6766369834,2836.75811640643,2782.8739161561,2847.06149109711,3154.02284943226,3003.32293322477,3019.40067663482,3136.00350333529,3048.8905155974,3169.04580307188,3003.22833603416,2910.07363467634,3156.30582020241,2822.38887654274,2770.14822735478,3106.56624226455,3032.41970669187,3032.41970669187,2634.06319215599,2484.39028536343,0,3200.61227438862,3166.96711944772,3233.45785961174,3247.98429518331,3475.22961746103,3546.77495965128,3660.69952346563,3490.35268349673,4184.58910913677,3681.68697307207,3864.0988118143,3492.72739115411,634.910286258983,519.790980769584,597.989885011766,4356.05014164512,4416.81077231128,2254.53770318515,2379.2816530584,3839.15417693935,3786.6921290593,2927.33635984021,4542.77767137882,2822.40604099464,2892.01082116335,3317.58169615515,4393.30383136294,3698.2316091693,3867.08462568546,4208.00056192652,4301.88323298563,4548.76201441146
