language,Language_Type,PC1,PC2,cluster
Yuchi,Unrelated Language,0.5530291564951482,0.5539053889892325,2
Crow,Unrelated Language,-0.18675789980930682,0.930749619277136,2
Hidatsa,Unrelated Language,-0.21953927431970058,1.1819729459284545,2
Cherokee,Unrelated Language,0.3864112383394726,1.1253736921605395,2
Coos,Unrelated Language,-1.2227958490982505,-0.5865576742410221,1
Nez Perce,Unrelated Language,-0.5589875706262863,0.874583880505421,2
Mountain Maidu,Unrelated Language,-0.3828061455114119,1.0587775572325833,2
Chitimacha,Unrelated Language,-0.448247830527861,1.1391918967238994,2
Alabama,Unrelated Language,-0.32882850510833483,1.235649565888642,2
Karok,Unrelated Language,-0.5936025234106423,0.38467718477140517,2
Northern Paiute,Unrelated Language,0.07065378068149243,0.36216607622501845,2
Shoshone,Unrelated Language,-0.3037168478163673,0.6942319920295396,2
Galibi,Unrelated Language,0.25073743565125434,0.5686140274106479,2
Wayana,Unrelated Language,-0.955126613702629,0.3317599282008331,2
Trio,Unrelated Language,-0.8988635535553919,0.382053077785958,2
Waiwai,Unrelated Language,0.06532703709481523,1.4902074169762882,2
