"","Agutaynen","Arta","Ata Manobo","Balangingi","Bonggi","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Karao","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Pangutaran Sama","Rungus","Sabah Malay","Southern Sama","Tagabawa","Tambunan Dusun","Tatana","Tausug","Tboli","Timugon Murut","Tuwali Ifugao","Western Subanon","West Coast Bajau","Yakan","Yogad"
"Ibaloi",0.176880711469518,0.32575711920799,0.205434608058078,0.074591770863187,0.292506167784348,0.166370803083809,0.235722927564524,0.156647910523455,0.472604281421445,0.102649344100531,3.74600350738774e-11,0.065334200250051,0.107830223289359,0.143681623121351,0.074470537226151,0.112393339082411,0.136304167081114,0.258694339315776,0.24325454371738,0.143820226880352,0.323989936327074,0.284710621762181,0.360134270701978,0.196078688493989,0.083079938285809,0.312717287720582,0.351819694684755,0.187093691967781,0.220516721916748,0.312717287720582,0.322692659460054,0.239455126160765,0.154905379131382,0.170847787001,0.22141188624307,0.214123667982003,0.370584326429308,0.078580431872207,0.101496710527001
"Ibanag",0.112363081521975,0.28530874603947,0.142908635988811,0.09520544805665,0.318996533600252,0.198644397519592,0.256871230630278,0.211737493547607,0.489275527665194,0.121803476271322,0.065334200250051,3.73450159685262e-11,0.128008950970713,0.087226827420562,0.095045700228129,0.133689345576296,0.157933049432103,0.284638398245257,0.179235978003489,0.163438165997615,0.266319266443436,0.300976449975174,0.304775821663332,0.215698986891649,0.105416132707386,0.333280448754365,0.376579856107036,0.208427297880143,0.164592770196266,0.333280448754365,0.346297760127855,0.255830332329805,0.174477119533412,0.190830013217288,0.163459088948676,0.232583210174361,0.391030513882128,0.143778935109312,0.121024317861792
"Ibatan",0.17824457356957,0.266504948582098,0.231054002196385,0.098283646325205,0.328123289104058,0.211137948534563,0.244586756890109,0.216796290876658,0.497315674854637,0.101971164410091,0.107830223289359,0.128008950970713,4.08669764695446e-11,0.17910030847049,0.098026279404712,0.140270605557261,0.166489866690562,0.289814378668428,0.232019815260811,0.143941014708627,0.328079132993697,0.305659339299876,0.399236244428668,0.223471784536594,0.113016016671952,0.350010545679261,0.383802180238924,0.220806556572618,0.253035580473399,0.350010545679261,0.257513409233606,0.238228019616417,0.180890577267728,0.228339267570213,0.251537468586974,0.252785698145226,0.408406878863003,0.156332134536219,0.130096746072943
"Ilongot",0.164560550123809,0.215511580048918,0.212921072086244,0.169122527049279,0.330886756473274,0.25753800552893,0.286556129397957,0.270374043801448,0.502945580881091,0.171259998698606,0.143681623121351,0.087226827420562,0.17910030847049,2.92500468290768e-11,0.169041889907252,0.20201850899202,0.222895063872921,0.340449627656653,0.224196987652178,0.049956710666008,0.159013586398384,0.357243515137563,0.357269388261944,0.277185421752138,0.175434383022989,0.378932250916989,0.4111706457436,0.26751827519087,0.073076162836855,0.378932250916989,0.381136822681918,0.158457032191597,0.240350776038158,0.249692384352938,0.214809275181205,0.289771021794343,0.430480725031059,0.213389238040862,0.173718343267664
"Isinai",0.168738201644982,0.321352495423886,0.200297832421494,9.75574750109454e-05,0.323790516274508,0.176679170249765,0.236853240000476,0.185746636008548,0.493083531429066,0.091249589530478,0.074470537226151,0.095045700228129,0.098026279404712,0.169041889907252,4.2380987608226e-11,0.105690580418666,0.064838952441453,0.261359433642577,0.238934386901287,0.133693318624211,0.320762557515331,0.27818783490765,0.371717144529542,0.191690590057473,0.076997338139655,0.319140981255082,0.37103022281952,0.187004342139064,0.222842706102324,0.319140981255082,0.274659335616881,0.229033173696215,0.148111908542153,0.132354432843448,0.242814013521819,0.222890725931442,0.314704216557854,0.062676982658667,0.120012115508691
"Isnag",0.209265064804754,0.347780751449092,0.170016192480814,0.10608776277771,0.272115706753115,0.155735734742843,0.217343545652583,0.163152718790283,0.539028497227299,0.131090486842775,0.112393339082411,0.133689345576296,0.140270605557261,0.20201850899202,0.105690580418666,4.59009497078e-11,0.122439534705447,0.24099387342044,0.281641080591354,0.171309735422798,0.360000147169168,0.314358005610682,0.419554344912788,0.236807922683263,0.051844132447276,0.375729627674049,0.446256589817068,0.166179825800715,0.26457433968559,0.375729627674049,0.317816581309608,0.261493087755364,0.124598976988672,0.109419910750885,0.243533964115309,0.201496048966055,0.37858864897597,0.111125054215473,0.0318354510305739
"Kagayanen",0.18494324067132,0.364552698381805,0.267315365929974,0.065194336420613,0.372898333127721,0.202097779635426,0.259843521260439,0.199691117466214,0.566016187592899,0.156007063368119,0.136304167081114,0.157933049432103,0.166489866690562,0.222895063872921,0.064838952441453,0.122439534705447,4.76130246340745e-11,0.274789462252744,0.307660768230823,0.194860409366076,0.339438997180466,0.293127964475324,0.447976370530948,0.264311740966214,0.095538225982291,0.409151721961993,0.394624916235771,0.211248877667779,0.290107953664389,0.409151721961993,0.285621580900777,0.281890962605544,0.163452546656827,0.14832655636232,0.301190636608503,0.237202187780492,0.342368284979405,0.071359517821362,0.133212304015559
"Karao",0.346539683949082,0.252844760148062,0.372101982049688,0.261504819881192,0.442391244122858,0.292756924919112,0.351889002326714,0.308857956316172,0.617523760926755,0.282420566996705,0.258694339315776,0.284638398245257,0.289814378668428,0.340449627656653,0.261359433642577,0.24099387342044,0.274789462252744,3.08789660508069e-11,0.40594699001417,0.314802990765634,0.470806235902117,0.186718620076898,0.511719684120497,0.368585796729525,0.216719409083471,0.48259608366716,0.538995432963946,0.310564681370437,0.385053442829013,0.48259608366716,0.328719002039765,0.390070556194358,0.276959121405825,0.32867400814486,0.404255840950761,0.067835715197949,0.485103134930968,0.25858846655307,0.263271390888985
"Keley-i Kallahan",0.221633451259647,0.242420590389078,0.19246533592494,0.239154979284837,0.359939078787487,0.252729544649213,0.087079932423691,0.339547908969736,0.518627420216749,0.233949666767091,0.24325454371738,0.179235978003489,0.232019815260811,0.224196987652178,0.238934386901287,0.281641080591354,0.307660768230823,0.40594699001417,3.5590974611921e-11,0.2698977294614,0.363215055544082,0.417210133392844,0.350223272849724,0.265079817347108,0.241996259089095,0.38253452250556,0.390817476838729,0.24345603924385,0.198153121394791,0.38253452250556,0.20350843663215,0.19886076872662,0.297764287928565,0.264628822681162,0.202063410145384,0.37088260748984,0.420778920272156,0.273919211093977,0.266363105727891
"Kinaray-a",0.205904171857044,0.229432364158967,0.258212496514542,0.133862628144569,0.335054478697953,0.234512677402426,0.262576234655197,0.241356530133123,0.504133418741316,0.13432203411192,0.143820226880352,0.163438165997615,0.143941014708627,0.049956710666008,0.133693318624211,0.171309735422798,0.194860409366076,0.314802990765634,0.2698977294614,3.48150397400104e-11,0.188050120329894,0.331580961425595,0.414648829247873,0.250482439264198,0.144398517382481,0.364636343716971,0.408086130126257,0.244332989322357,0.104519111156199,0.364636343716971,0.357247602755025,0.113847984111298,0.210776630165845,0.249032220771126,0.277144634376811,0.275633837644271,0.419603513435393,0.188878375350304,0.164122312064641
