tip,ruhlen_language,iso6393,glottocode,inventory_size,source,latitude,longitude,Language_type,n_tips_for_language,austronesian_score,span_score,eng_score,jap_score,unrelated_score,austronesian_score_present,span_score_present,eng_score_present,jap_score_present,unrelated_score_present,austronesian_score_absent,span_score_absent,eng_score_absent,jap_score_absent,unrelated_score_absent,span_score_D1,austronesian_score_span_D1,eng_score_D1,austronesian_score_eng_D1,jap_score_D1,austronesian_score_jap_D1,unrelated_score_D1,austronesian_score_unrelated_D1,n_present,n_absent,n_logp_floored
IfugaoBayninan,North Kallahan,ify,kele1259,21,ruhlen,16.70893,121.02642,Philippine Language,2,0.6924590011802424,0.6932743043157357,0.6960663310667189,0.6988194975658617,0.7004906020664511,0.5392674054323483,0.5403300228457907,0.5448435882103658,0.5460757076647609,0.5495269094262141,0.889168274376065,0.889510559663345,0.8892613361499502,0.8942875197041424,0.8929263975366879,0.673943132264276,0.6721091058013269,0.8237007805482879,0.8176320131151877,0.6742676476276437,0.6546656705809728,0.6985341850673938,0.6904522097926442,21,63,0
Ilokano,Ilokano,ilo,ilok1237,20,ruhlen,15.70115,120.65378,Philippine Language,1,0.8334634723790675,0.8351933417586517,0.8325414634679266,0.8424471814617015,0.8424267482228428,0.7436464603743614,0.746968105671846,0.7440576953940837,0.764437571922108,0.7638403862412017,0.9341285097228472,0.9338389588810998,0.9315477720127726,0.9284175446377473,0.9290983285311819,0.7825633521224851,0.7816214009171408,0.9340932812538948,0.9380567854121085,0.7426295818875941,0.7472083639625529,0.8410278316587669,0.8321899252186632,20,64,0
Imorod,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.9748176021227898,0.9746785776379251,0.9743168012620258,0.9734441078198299,0.9736120121341796,0.9681585371840129,0.9682115535326976,0.9682687717056442,0.9685214256404169,0.9685306507549306,0.9815224685952576,0.981188797262381,0.9804026082027286,0.9783918104058111,0.9787200326939577,0.9548575610395613,0.956390225536699,0.9756251060221984,0.9774304624828375,0.9337045025722687,0.9479620248507826,0.9730787178685242,0.9743596253639122,26,58,0
Inibaloi,Inibaloi,ibl,ibal1244,23,ruhlen,16.45231,120.68141,Philippine Language,1,0.6558516658361625,0.6575141391994896,0.6601888799257716,0.6717775054777931,0.6646386621358092,0.4874654058660162,0.4899794326278378,0.49443283495771584,0.5125479369530259,0.5014563734552587,0.8824039663202216,0.8823326336957017,0.8815137797531568,0.8804737748994701,0.8809231960935321,0.5557391410347066,0.5540907599087298,0.6654744484386378,0.6603030015218276,0.6168779269623367,0.6039667223089046,0.6625206881453073,0.6537896089487033,22,62,0
Iraralay,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.9748176021227898,0.9746785776379251,0.9743168012620258,0.9734441078198299,0.9736120121341796,0.9681585371840129,0.9682115535326976,0.9682687717056442,0.9685214256404169,0.9685306507549306,0.9815224685952576,0.981188797262381,0.9804026082027286,0.9783918104058111,0.9787200326939577,0.9548575610395613,0.956390225536699,0.9756251060221984,0.9774304624828375,0.9337045025722687,0.9479620248507826,0.9730787178685242,0.9743596253639122,26,58,0
Isamorong,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.9728828323648726,0.9727351986925481,0.9723493130993648,0.9714191344551563,0.971597547773322,0.9656379595892832,0.9656995248484344,0.9657577554176988,0.9660568182303606,0.9660576973227519,0.9801820611038056,0.9798221314481214,0.9789858599436101,0.976811215425412,0.9771691664537812,0.9513392729310108,0.9529856708614683,0.9738874660181739,0.9758133765721301,0.9286729785582761,0.9439521825910709,0.9710268400469675,0.9723930086760013,26,58,0
IsnegDibagatKabugaoIsneg,Isnag,isd,isna1241,21,ruhlen,18.19955,121.10666,Philippine Language,1,0.505235632035917,0.5056324449064121,0.5092684210512931,0.5159102774511007,0.5103972530549834,0.3584812172516218,0.3589748135967608,0.36433920332296693,0.37379216104135754,0.36582429363435587,0.7120681129007681,0.7122064269088958,0.7118485255350729,0.7120625901788845,0.7121051293177642,0.34527287368503345,0.3446975968097806,0.6209036134171261,0.6147070964893387,0.29526352220608626,0.2867532906785089,0.5060984295705876,0.5009796312697087,21,63,0
Itbayat,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.9611754883039857,0.9609780183953969,0.9604642513855801,0.9591727096912277,0.9594277810590135,0.9500630452010417,0.950174697172351,0.9502360835605608,0.9507611380748929,0.9507373668027896,0.9724179084567053,0.9719041715037745,0.9708025133428543,0.9676587001434017,0.9681976318689922,0.9303190131984526,0.9326190851660263,0.9638349408462961,0.9664198968963823,0.899046513376649,0.9201037751983852,0.958645115887995,0.9605053265223265,26,58,0
Itbayaten,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.7491587641890649,0.7489420528189795,0.747881760859885,0.7479575870382699,0.7476861762057075,0.5993712312052538,0.5996561759050357,0.5992987463999638,0.6034111964251757,0.6022891913659729,0.9363793668119708,0.9353930152293404,0.9333026834893376,0.927129883108629,0.9281830491117391,0.7570273296558451,0.7606322898571894,0.8470700749805032,0.8519284346819426,0.683970950784826,0.7139115157688048,0.7462974120851139,0.7479465819728541,26,58,0
Ivasay,Itbayaten,ivv,ivat1242,26,ruhlen,20.38116,121.93381,Philippine Language,6,0.9728828323648726,0.9727351986925481,0.9723493130993648,0.9714191344551563,0.971597547773322,0.9656379595892832,0.9656995248484344,0.9657577554176988,0.9660568182303606,0.9660576973227519,0.9801820611038056,0.9798221314481214,0.9789858599436101,0.976811215425412,0.9771691664537812,0.9513392729310108,0.9529856708614683,0.9738874660181739,0.9758133765721301,0.9286729785582761,0.9439521825910709,0.9710268400469675,0.9723930086760013,26,58,0
