"","Central Cagayan Agta","Agutaynen","Arta","Ibatan","Central Bontoc","Botolan Sambal","Ibaloi","Ibanag","Tuwali Ifugao","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Ata Manobo","Masbatenyo","Coastal-Naga Bikol","Pangasinan","Northern Subanen","Filipino","Tausug","Tboli","Western Subanon","Yogad"
"Isinai",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,3197.5670286186,5307.65093095348,3538.80768883702,4286.52922538778,3197.5670286186,3538.80768883702,0,4286.52922538778,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Isnag",2281.10214041624,6010.6341046086,3304.84652510398,4906.1939289813,4286.52922538778,5307.65093095348,4286.52922538778,1731.82129266329,4286.52922538778,4286.52922538778,4286.52922538778,0,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Kagayanen",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,3610.34910506634,4428.04484206979,4428.04484206979,3610.34910506634,3610.34910506634,6010.6341046086,4428.04484206979,5222.45424519903,3610.34910506634,4428.04484206979,4428.04484206979,6010.6341046086
"Keley-i Kallahan",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,5307.65093095348,1815.50156589022,4286.52922538778,3538.80768883702,2752.71455393814,3538.80768883702,4286.52922538778,6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2188.07628592418,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Kinaray-a",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3610.34910506634,6010.6341046086,0,4428.04484206979,4428.04484206979,3201.70265576022,3201.70265576022,6010.6341046086,4428.04484206979,5222.45424519902,3201.70265576022,4428.04484206979,4428.04484206979,6010.6341046086
"Maguindanao",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,4428.04484206979,0,3584.87415108507,4428.04484206979,4428.04484206979,6010.6341046086,4163.81663793555,5222.45424519902,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Ata Manobo",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,4428.04484206979,3584.87415108507,0,4428.04484206979,4428.04484206979,6010.6341046086,4163.81663793555,5222.45424519902,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Masbatenyo",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3610.34910506634,6010.6341046086,3201.70265576022,4428.04484206979,4428.04484206979,0,2523.46027265302,6010.6341046086,4428.04484206979,5222.45424519902,2875.6889427694,4428.04484206979,4428.04484206979,6010.6341046086
"Coastal-Naga Bikol",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3610.34910506634,6010.6341046086,3201.70265576022,4428.04484206979,4428.04484206979,2523.46027265302,0,6010.6341046086,4428.04484206979,5222.45424519902,2875.6889427694,4428.04484206979,4428.04484206979,6010.6341046086
"Pangasinan",4286.52922538778,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,5307.65093095348,2188.07628592418,4286.52922538778,3538.80768883702,2752.71455393814,3538.80768883702,4286.52922538778,6010.6341046086,2188.07628592418,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Northern Subanen",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,4428.04484206979,4163.81663793555,4163.81663793555,4428.04484206979,4428.04484206979,6010.6341046086,0,5222.45424519902,4428.04484206979,3958.64536812145,1873.73917147587,6010.6341046086
"Filipino",6010.6341046086,5222.45424519902,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5222.45424519903,6010.6341046086,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086,5222.45424519902,0,5222.45424519902,5222.45424519902,5222.45424519902,6010.6341046086
"Tausug",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3610.34910506634,6010.6341046086,3201.70265576022,4428.04484206979,4428.04484206979,2875.6889427694,2875.6889427694,6010.6341046086,4428.04484206979,5222.45424519902,0,4428.04484206979,4428.04484206979,6010.6341046086
"Tboli",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,4428.04484206979,4163.81663793555,4163.81663793555,4428.04484206979,4428.04484206979,6010.6341046086,3958.64536812145,5222.45424519902,4428.04484206979,0,3958.64536812145,6010.6341046086
"Western Subanon",6010.6341046086,4800.21412629267,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,4428.04484206979,4163.81663793555,4163.81663793555,4428.04484206979,4428.04484206979,6010.6341046086,1873.73917147587,5222.45424519902,4428.04484206979,3958.64536812145,0,6010.6341046086
"Yogad",2481.36302006827,6010.6341046086,3304.84652510398,4906.1939289813,4286.52922538778,5307.65093095348,4286.52922538778,2481.36302006827,4286.52922538778,4286.52922538778,4286.52922538778,2481.36302006827,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0
