"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_279","/ˣˀ","/ˣˀ","click","glottalized",15,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_283","ʘˀ","ʘˀ","click","glottalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_170","ᵑ!","ᵑ!","click","prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_181","ᵑ/","ᵑ/","click","prenasalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_184","ᵑ!ᶢ","ᵑ!ᶢ","click","prenasalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_248","ᵑ/ᶢ","ᵑ/ᶢ","click","prenasalized",3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_266","ᵑǁ","ᵑǁ","click","prenasalized",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_278","ᵑǁᶢ","ᵑǁᶢ","click","prenasalized",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_183","n̥ʘ","n̥ʘ","click","voiceless",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_192","n̥ǂ","n̥ǂ","click","voiceless",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_251","n̥ǁ","n̥ǁ","click","voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_252","n̥!","n̥!","click","voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_267","n̥/","n̥/","click","voiceless",2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_147","ɡ/n","ɡ/n","click",NA,13,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_152","nǁ","nǁ","click",NA,29,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_154","ǁˣ","ǁˣ","click",NA,24,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_155","ɡ/ˣ","ɡ/ˣ","click",NA,5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_158","Gʘ","Gʘ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_159","nǁˣ","nǁˣ","click",NA,3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_164","!","!","click",NA,29,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_167","nʘ","nʘ","click",NA,4,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_169","!ʱ","!ʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_172","n/ˣ","n/ˣ","click",NA,3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_174","n!","n!","click",NA,24,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_175","+","+","click",NA,0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_176","n!n","n!n","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_177","ǂ","ǂ","click",NA,20,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_178","/","/","click",NA,34,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_179","nǂʱ","nǂʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_182","n+","n+","click",NA,0,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_187","!ˣ","!ˣ","click",NA,20,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_189","n/","n/","click",NA,31,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_190","nǂˣ","nǂˣ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_191","n/ʱ","n/ʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_193","Gǂ","Gǂ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_200","ɡǁˣ","ɡǁˣ","click",NA,7,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_201","ǂʱ","ǂʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_205","n/n","n/n","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_206","qʘ","qʘ","click",NA,1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_210","qǂ","qǂ","click",NA,8,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_211","ʘˣ","ʘˣ","click",NA,3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_212","ʘʱ","ʘʱ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_213","G!","G!","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_214","ɡǂn","ɡǂn","click",NA,7,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_217","qǁ","qǁ","click",NA,8,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_219","ɡʘˣ","ɡʘˣ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_220","G/","G/","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_221","ǁ","ǁ","click",NA,33,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_226","ɡǂ","ɡǂ","click",NA,16,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_227","nǁʱ","nǁʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_229","nǂn","nǂn","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_231","/ʱ","/ʱ","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_232","Gǁ","Gǁ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_234","/ˣ","/ˣ","click",NA,24,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_236","ǂˣ","ǂˣ","click",NA,17,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_237","nʘʱ","nʘʱ","click",NA,1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_238","ʘ","ʘ","click",NA,5,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_239","q!","q!","click",NA,7,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_240","ɡǁ","ɡǁ","click",NA,25,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_244","nǁn","nǁn","click",NA,2,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_245","ɡ!ˣ","ɡ!ˣ","click",NA,3,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_249","ɡʘ","ɡʘ","click",NA,3,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_250","q/","q/","click",NA,10,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_254","ɡ!","ɡ!","click",NA,20,NA,1,NA,NA,NA,TRUE,FALSE
