"","language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr"
"44","Tagalog",14.21913,121.38616,0.0903070251518836,0.113852127137909,0.373234513183395,0.0716663055844551
"45","Naga",13.61531,123.39831,0.127789685632883,0.280121587251207,0.229900359831998,0.103579283035712
"46","Mansakan",7.2864,126.164,0.0398515763871084,0.0316344144320237,0.017906772143875,0.0285232032023994
"47","Kalagan",7.30352,125.92716,0.0455206793426632,0.2185692061862,0.0219069942720186,0.0875316999891769
"48","Mamanwa",9.43926,125.53517,0.110460500685652,0.118424463997406,0.256234857003283,0.0888428780202129
"49","Tausug",5.95478,121.11477,0.128826820884197,0.0458961377506572,0.272630033259957,0.102700790297558
"50","Cebuano",10.20178,123.64698,0.0998547226957875,0.125589633582114,0.0223969510805792,0.0701198490378889
"51","Waray",11.78931,125.0147,0.124356001697927,0.17286213839443,0.0664370629169772,0.102223399077845
"52","Hiligaynon",9.74388,122.64284,0.240387130244072,0.257418129379814,0.0539177181730421,0.0758431433286921
"53","Kuyunon",10.73557,119.51679,0.18124784389326,0.216459260109774,0.0341917451726789,0.0788684335707516
"54","Tiruray",6.78126,124.12327,0.2396984740249,0.0408138528348475,0.0846675198627914,0.097849460569305
"55","Tboli",6.17584,124.56778,0.143756597951944,0.0675169912632769,0.221917888511759,0.107333852001469
"56","Cotabato Bilaan",6.21229,125.01141,0.154380071406951,0.0759286589137294,0.137901355756918,0.0929548037048036
"57","Sarangani Bilaan",6.06694,125.34999,0.13762554405486,0.208335627149588,0.240365568565986,0.126361395616979
"58","Sangil",5.40063,125.38747,0.0448125513262631,0.0427129517033046,0.0211638590931415,0.0624423737765942
