"phoneme","ipa","class","global_n","IDF","ph_prevalence","ph_variance","austronesian_prevalence","austronesian_variance","unrelated_prevalence","unrelated_variance","global_prevalence","global_variance","span_has","jap_has","eng_has","unrelated_not_baseline","n_baselines_shared_unrelated","null_skew_leverage","drives_unrelated_tail","flag"
"phoneme_086","ⁿdᶻ","consonant",13,4.55387689160054,0,0,0.00704225352112676,0.00699266018647094,0.004739336492891,0.00471687518249815,0.00564334085778781,0.00561149356175063,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_087","ᵈtˢˀ","consonant",2,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_088","čˣ","consonant",4,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_089","tˢ","consonant",558,2.65675690671466,0,0,0.0669014084507042,0.0624256099980163,0.421800947867299,0.243884908245547,0.253386004514673,0.189181537230763,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_090","ṭˢʰ","consonant",16,5.65248918026865,0,0,0,0,0,0,0.00733634311512415,0.00728252118482132,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_091","t̪ˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_092","čː","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_093","ʰč","consonant",2,5.65248918026865,0,0,0,0,0,0,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_094","tᶿʰ","consonant",3,5.65248918026865,0,0,0,0,0.00947867298578199,0.0093888277442106,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_095","tˡʰ","consonant",15,5.65248918026865,0,0,0,0,0.014218009478673,0.0140158576851373,0.00733634311512415,0.00728252118482132,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_096","ᵈt̪ˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_097","ͫpᶠˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_098","tᶿˀ","consonant",5,5.65248918026865,0,0,0,0,0.014218009478673,0.0140158576851373,0.0028216704288939,0.00281370860488461,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_099","ᵈtˢˣ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_100","dᶻʱ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_101","pˀ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_102","pˡ","consonant",6,5.65248918026865,0,0,0,0,0,0,0.00169300225733634,0.00169013600069299,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_103","bdᶻ","consonant",0,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_104","kˣˀ","consonant",18,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.00846501128668171,0.00839335487059806,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_105","dᶻˣ","consonant",1,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_106","d̤ᶻ","consonant",7,4.95934199970871,0,0,0.00352112676056338,0.00350872842689942,0.00947867298578199,0.0093888277442106,0.00338600451467268,0.0033745394880993,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_107","dᶞ","consonant",2,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_108","ͫbˡ","consonant",1,5.65248918026865,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_109","d̯ᶞ","consonant",1,5.65248918026865,0,0,0,0,0,0,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,"neither"
"phoneme_110","tˢˣ","consonant",18,5.65248918026865,0,0,0,0,0.00947867298578199,0.0093888277442106,0.00620767494356659,0.0061691397153616,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_111","pᶠ","consonant",20,5.65248918026865,0,0,0,0,0.018957345971564,0.0185979650052784,0.0112866817155756,0.0111592925314269,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_112","pᶠˀ","consonant",2,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.00112866817155756,0.00112739427971607,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_113","ⁿtˢ","consonant",1,5.65248918026865,0,0,0,0,0.004739336492891,0.00471687518249815,0.000564334085778781,0.000564015612818409,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
"phoneme_114","kˣ","consonant",10,5.65248918026865,0,0,0,0,0.014218009478673,0.0140158576851373,0.00564334085778781,0.00561149356175063,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,"neither"
