"","Agta","Atta","Balangaw","Batak","Cotabato Bilaan","Sarangani Bilaan","Binukid","Central Bontok","Buhid","Cebuano","Kuyunon","Casiguran Dumagat","Gaddang","Hanunoo","Hiligaynon","Ibanag","Central Ifugao","East Ifugao","Ilokano","Ilongot","Inibaloi","Iraya","Isnag","Itbayaten","Itneg","Ivatanen","Kalagan","North Kalinga","Central Kalinga","South Kalinga","North Kallahan","North Kankanay","Kapampangan","Magindanao","Mamanwa","Ata","Dibabawon","Ilianen","Kalamansig","Sarangani Manobo","Tigwa","Western Bukidnon","Mansakan","Maranao","Naga","Pangasinan","Waray","Tina","Sangil","Siocon Subanon","Sindangan","Tagalog","Tagbanwa","Kalamianen","Tausug","Tboli","Tiruray","Yogad"
"Iraya",6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,3475.76665788696,5090.47159841496,5090.47159841496,6010.6341046086,6010.6341046086,3475.76665788696,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086,5090.47159841496,6010.6341046086,6760.46798272896,5090.47159841496,5090.47159841496,5222.45424519902,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,5090.47159841496,6010.6341046086
"Isnag",2281.10214041624,1731.82129266329,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,6010.6341046086,6010.6341046086,3304.84652510398,2481.36302006827,6010.6341046086,6010.6341046086,1731.82129266329,4286.52922538778,4286.52922538778,3934.20179846154,4286.52922538778,4286.52922538778,6010.6341046086,0,4906.1939289813,4286.52922538778,4906.1939289813,6010.6341046086,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,4286.52922538778,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2481.36302006827
"Itbayaten",4906.1939289813,4906.1939289813,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,4906.1939289813,6010.6341046086,6010.6341046086,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,6010.6341046086,4906.1939289813,0,4906.1939289813,1118.11961392696,6010.6341046086,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813
"Itneg",4286.52922538778,4286.52922538778,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2793.63572961396,2793.63572961396,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,0,4906.1939289813,6010.6341046086,1210.791467331,2175.88548169442,2175.88548169442,3538.80768883702,2793.63572961396,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Ivatanen",4906.1939289813,4906.1939289813,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,4906.1939289813,6010.6341046086,6010.6341046086,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,6010.6341046086,4906.1939289813,1118.11961392696,4906.1939289813,0,6010.6341046086,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,4906.1939289813,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4906.1939289813
"Kalagan",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,3833.87636216406,3833.87636216406,6010.6341046086,6010.6341046086,5090.47159841496,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,3833.87636216406,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,1442.82021180518,4428.04484206979,3833.87636216406,6010.6341046086,3833.87636216406,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,3833.87636216406,4428.04484206979,4428.04484206979,6010.6341046086
"North Kalinga",4286.52922538778,4286.52922538778,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2793.63572961396,2793.63572961396,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,1210.791467331,4906.1939289813,6010.6341046086,0,2175.88548169442,2175.88548169442,3538.80768883702,2793.63572961396,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Central Kalinga",4286.52922538778,4286.52922538778,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2793.63572961396,2793.63572961396,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2175.88548169442,4906.1939289813,6010.6341046086,2175.88548169442,0,1220.5498097656,3538.80768883702,2793.63572961396,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"South Kalinga",4286.52922538778,4286.52922538778,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2793.63572961396,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2793.63572961396,2793.63572961396,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2175.88548169442,4906.1939289813,6010.6341046086,2175.88548169442,1220.5498097656,0,3538.80768883702,2793.63572961396,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"North Kallahan",4286.52922538778,4286.52922538778,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,3538.80768883702,3538.80768883702,4286.52922538778,2752.71455393814,888.535677008973,6010.6341046086,4286.52922538778,4906.1939289813,3538.80768883702,4906.1939289813,6010.6341046086,3538.80768883702,3538.80768883702,3538.80768883702,0,3538.80768883702,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,2188.07628592418,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"North Kankanay",4286.52922538778,4286.52922538778,1952.08616000621,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,1232.46267833989,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778,4286.52922538778,6010.6341046086,6010.6341046086,4286.52922538778,2325.01746338406,2325.01746338406,4286.52922538778,3538.80768883702,3538.80768883702,6010.6341046086,4286.52922538778,4906.1939289813,2793.63572961396,4906.1939289813,6010.6341046086,2793.63572961396,2793.63572961396,2793.63572961396,3538.80768883702,0,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3538.80768883702,6010.6341046086,5307.65093095348,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4286.52922538778
"Kapampangan",5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,5307.65093095348,6010.6341046086,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,6010.6341046086,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,5307.65093095348,0,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348,6010.6341046086,3392.51800202773,6760.46798272896,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5307.65093095348
"Magindanao",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,3584.87415108507,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,0,4428.04484206979,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,3584.87415108507,4428.04484206979,1917.74531047333,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Mamanwa",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4428.04484206979,4428.04484206979,4428.04484206979,6010.6341046086,5090.47159841496,2452.32506455432,3201.70265576022,6010.6341046086,6010.6341046086,5090.47159841496,3201.70265576022,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3833.87636216406,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,0,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,4428.04484206979,3833.87636216406,4428.04484206979,2875.6889427694,6010.6341046086,2875.6889427694,6010.6341046086,6760.46798272896,4428.04484206979,4428.04484206979,5222.45424519902,4800.21412629267,4800.21412629267,1813.24941705847,4428.04484206979,4428.04484206979,6010.6341046086
"Ata",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2368.96597953696,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,0,1861.6972190877,1426.42727067352,2619.41814207878,2619.41814207878,450.017375183636,1426.42727067352,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Dibabawon",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2368.96597953696,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,1861.6972190877,0,1861.6972190877,2619.41814207878,2619.41814207878,1861.6972190877,1861.6972190877,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Ilianen",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2368.96597953696,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,1426.42727067352,1861.6972190877,0,2619.41814207878,2619.41814207878,1426.42727067352,848.497731915621,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
"Kalamansig",6010.6341046086,6010.6341046086,6010.6341046086,4800.21412629267,4163.81663793555,4163.81663793555,2619.41814207878,6010.6341046086,5090.47159841496,4428.04484206979,4428.04484206979,6010.6341046086,6010.6341046086,5090.47159841496,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,5090.47159841496,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,4428.04484206979,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,6010.6341046086,3584.87415108507,4428.04484206979,2619.41814207878,2619.41814207878,2619.41814207878,0,1511.2978037288,2619.41814207878,2619.41814207878,4428.04484206979,3584.87415108507,4428.04484206979,6010.6341046086,4428.04484206979,6010.6341046086,6760.46798272896,4163.81663793555,4163.81663793555,5222.45424519902,4800.21412629267,4800.21412629267,4428.04484206979,4163.81663793555,4163.81663793555,6010.6341046086
