glottocode,PC1,PC2,language,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
cent2090,-0.843642607339213,1.9918922457966592,"Tagbanwa, Aborlan Dialect",119.338,10.6519,Palawanic-Kalamian,#87B1F1,-0.07777469997352562,-0.012957031847464289,118.79184493804273,12.155246320349798
cent2292,-0.8199809324219122,0.44775370886710397,"Bontok, Eastern",120.92,17.08,Meso-Cordilleran,#EA7B81,-0.029798087063568304,0.016483459957620947,120.91370758278994,13.45731155620624
cota1241,-1.344166600209034,0.749080381203467,"Manobo, Kalamansig Cotabato (Paril Dialect)",124.234,6.39417,Manobo,#F16DEF,-0.049311407458018174,0.026725889135326815,120.05069156084451,13.910303681857787
cuyo1237,0.1276644245609246,-2.8846916646910907,Cuyonon,119.3,10.3201,Central Philippine,#565153,0.09125840946982099,0.052431280948622545,126.26767574182307,15.047176573647587
diba1242,-1.5578189352164398,-0.5554776791643378,"Manobo, Dibabawon",126.018,7.85664,Manobo,#F16DEF,-0.013343387297182553,0.05878791509731359,121.64144992738505,15.328311562725414
dupa1235,-0.642960222083879,0.5917075209646335,Dupaningan Agta,122.188,17.3748,Northeastern Luzon,#95A459,-0.0307691168922992,0.008223902275831241,120.8707618266069,13.0920159289385
gadd1244,-1.330486120142412,0.4180207747825086,Gaddang,121.177,16.5468,Cagayan Valley,#79F287,-0.0388571681174364,0.03277300156903634,120.51305141892075,14.177749447688655
gian1241,-1.1531185478968178,-0.2634320300010208,Guiangan (Baguio); Guiangan (Sirib),125.359,6.99967,Bilic,#BA7862,-0.014423028472702316,0.04062913800848792,121.59370061493638,14.525202955384067
guin1256,-1.7278297715395983,-2.6568800725995314,"Bontok, Guina-ang",120.96,17.04,Meso-Cordilleran,#EA7B81,0.04799678723500012,0.10507539098607921,124.35434308652466,17.375468709736616
hanu1241,1.6470536779788771,-6.074155469301288,Hanunoo; Hanunóo,121.221,12.4159,South Mangyan,#85DEF2,0.21908569017766663,0.0679926052200264,131.9210955116314,15.735407581873618
hili1240,6.949007759637008,-0.9570765853972215,Hiligaynon; Ilonggo,122.974,10.4018,Central Philippine,#565153,0.16521609571544757,-0.19512741458701768,129.5386038507134,4.0983930606204915
ibal1244,-0.6360565064915772,1.282392862495025,Ibaloi; Inibaloi,120.695,16.4263,Meso-Cordilleran,#EA7B81,-0.05188715169127161,-0.0054827830998355285,119.93677406772716,12.485810073253884
iban1267,-1.2010774287249335,0.29311170916467777,Ibanag,121.891,17.4201,Cagayan Valley,#79F287,-0.03248530062623185,0.031231405877656035,120.79486013335087,14.10956926337714
ilia1236,-1.6289142089914344,0.9261496264319066,"Manobo, Ilianen (Kibudtungan Dialect)",124.766,7.34448,Manobo,#F16DEF,-0.06032321493341654,0.032028303482199254,119.56367212541565,14.144813670103856
ilok1237,0.6865988922109844,1.0593447251621315,Ilokano,120.993,15.9361,Northern Luzon,#7E6E40,-0.019182433277286567,-0.041824101874082246,121.38320632087208,10.878541821269373
ilon1239,-1.2612659782303584,0.3235982307773658,"Ilongot, Kakiduge:n; Kakiduge:n Ilongot",121.547,16.3785,Meso-Cordilleran,#EA7B81,-0.03459932693695711,0.03248782368072211,120.7013630482782,14.165136879363802
iray1237,-0.32953130375483924,-2.3409896494748326,Iraya,120.65,13.381,North Mangyan,#ECBEBD,0.065595829236856,0.05587697445334983,125.13269627867602,15.199569331065682
irig1242,-0.037637529004059415,-2.384191102747894,Bikol (Rinconada),123.331,13.3896,Central Philippine,#565153,0.07262804049783868,0.04773922747426696,125.44371003057749,14.8396610282489
isin1239,-0.7686262441554483,0.13702769136260626,Isinay (Dupax),121.12,16.3299,Meso-Cordilleran,#EA7B81,-0.01923346861680503,0.020974041063767667,121.38094917986278,13.655916579037328
isna1241,-1.662356537026221,0.08793582168198015,"Isneg, Dibagat-Kabugao-Isneg",121.16,18.2139,Cagayan Valley,#79F287,-0.03518411420447522,0.04943393702022805,120.67549964978446,14.914612982152361
itaw1240,-0.7170355888952932,-1.541545877023926,Itawis; Malaweg,121.58,17.7329,Cagayan Valley,#79F287,0.03342547495772699,0.05218165886423991,123.70989735910076,15.036136532593636
ivat1242,0.04523220678820455,2.116423879426642,"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",121.85,20.77,Yami-Itbayat,#9ECCC9,-0.0642402574308994,-0.04274142407821554,119.39043300641208,10.837971393302714
kaga1256,-1.0303015427807356,-1.479802523449233,Kagayanen,119.872,10.4656,Manobo,#F16DEF,0.025405156672585277,0.06061478208282967,123.35518257754325,15.409108446422971
kala1388,-0.842359252999957,1.3020190637659852,Kalagan,125.328,6.8126,Central Philippine,#565153,-0.05652170120783419,4.8186357498680076e-4,119.73180175105108,12.749608624272362
kama1363,-1.0396973992487508,-1.4838424313892242,Kamayo,126.314,8.10796,Central Philippine,#565153,0.025345896347350086,0.06098282940059362,123.3525616699217,15.425386082706474
kank1243,0.06504900782168906,1.2938806238662273,Kankanaey,120.689,16.8548,Meso-Cordilleran,#EA7B81,-0.038542802179627765,-0.027280777741270974,120.5269548877102,11.521749716453199
kaya1320,-1.4607033507401694,0.3858703724931069,"Kallahan, Kayapa Proper",120.9,16.321,Meso-Cordilleran,#EA7B81,-0.04041199252159724,0.03740802323383685,120.44428616805735,14.38274264607455
kele1259,-1.7875635251734685,0.6904645579402111,"Ifugao, Bayninan; Kallahan, Keleyqiq",121.035,16.7099,Meso-Cordilleran,#EA7B81,-0.056170613420716796,0.04151475713589009,119.74732931782428,14.564371250724864
kina1250,5.228480360352429,1.543278737463126,Kinaray-a,122.297,10.8131,Central Philippine,#565153,0.05466347684442206,-0.19103611943188206,124.64919090483369,4.279338855493723
koro1310,-1.6414658807235327,-0.1115129502938369,"Bilaan, Koronadal; Koronadal Blaan",125.007,6.20529,Tboli-Blaan,#5C7193,-0.028638772170680782,0.05268784244469628,120.96498062637336,15.058523524204956
limo1248,-1.0350715214030597,-2.485744720788582,"Kalinga, Limos",121.381,17.6081,Meso-Cordilleran,#EA7B81,0.05626557380272758,0.08041513604190653,124.72004687992037,16.28481910772766
lowe1412,-1.3211285781786335,0.15343208875835015,Kalinga (Minangali),121.311,17.3441,Meso-Cordilleran,#EA7B81,-0.030532749145227283,0.037654459669688174,120.88121566781231,14.393641795385465
lubu1243,-1.8621088145148224,-0.8056207984729937,"Kalinga, Guinaang, Lubuagan Dialect",121.0365,17.3879,Meso-Cordilleran,#EA7B81,-0.011591350459189034,0.07303831414212979,121.7189372966109,15.958564254024955
maga1263,0.7023508278004313,3.42104203924577,Ayta Mag-anchi; Ayta Mag-antsi,120.459,15.1954,Sambalic,#F1C878,-0.09154591209852615,-0.08845042090413856,118.18278525648975,8.816398651687487
