"","language","latitude","longitude","cossim_span","cossim_jap","cossim_eng","cossim_unr","cossim_span_norm"
"33","Ilianen",7.35339,124.73172,0.0765186951806978,0.0762436201891797,0.0873483160350291,0.0733951008629209,0.214136931330635
"34","Western Bukidnon",7.68416,124.83378,0.0367175442111557,0.036585549302802,0.0419141446175953,0.0414003871896368,0.102753741746464
"35","Sarangani Manobo",6.03322,125.61158,0.0458100773458464,0.056998299801098,0.0626854415509604,0.0642538691079885,0.128199120014962
"36","Kalamansig",6.40155,124.29478,0.0564523299868999,0.0689226248894749,0.0694445165917355,0.0642544368426954,0.157981375418285
"37","Magindanao",6.98166,124.52305,0.0797052282275844,0.0832929543016968,0.0447130497583386,0.06541163573594,0.223054417529695
"38","Maranao",7.81502,124.22438,0.206490997357064,0.233435564774783,0.0974130801104755,0.0861807145763925,0.577863336757447
"39","Hanunoo",12.41035,121.2367,0.240387130244072,0.271437977633021,0.0539177181730421,0.0788017848760934,0.672721382405751
"40","Buhid",12.64484,121.222,0.310200374612958,0.233189820830745,0.102870071181544,0.0980116702583761,0.868093165472434
"41","Kalamianen",11.91139,119.99355,0.0643761061215559,0.0538853216742391,0.0289265411395062,0.0623505721430014,0.180155996953836
"42","Batak",10.16456,119.08504,0.206785937996226,0.233283780914401,0.0973497404331412,0.086405656068694,0.578688725680319
"43","Tagbanwa",9.63679,118.52075,0.0939298208011367,0.0935921550241074,0.0501819078218311,0.0764569624851567,0.262861821405779
"44","Tagalog",14.21913,121.38616,0.0913418912049485,0.103366531794792,0.377511563909847,0.0679772963333241,0.25561952197923
"45","Naga",13.61531,123.39831,0.130756122550601,0.276452370917934,0.235237135734014,0.0990193488911214,0.365919920217631
"46","Mansakan",7.2864,126.164,0.0961993858336948,0.0805226529345824,0.043225905690567,0.0717381623080888,0.269213180251871
"47","Kalagan",7.30352,125.92716,0.0543480183815602,0.0569827969579367,0.0261551836346927,0.0551086845171128,0.152092476912282
"48","Mamanwa",9.43926,125.53517,0.110460500685652,0.124874254533798,0.256234857003283,0.092354803439187,0.309122791419969
"49","Tausug",5.95478,121.11477,0.128826820884197,0.0483957941977158,0.272630033259957,0.106783858425799,0.360520785568521
"50","Cebuano",10.20178,123.64698,0.101249176199757,0.114327549885201,0.0227097205327365,0.0653301405135981,0.28334497654424
"51","Waray",11.78931,125.0147,0.142712296764547,0.142199264181335,0.076243894221112,0.0930219209799644,0.399379174202331
"52","Hiligaynon",9.74388,122.64284,0.240387130244072,0.271437977633021,0.0539177181730421,0.0788017848760934,0.672721382405751
"53","Kuyunon",10.73557,119.51679,0.190012519732697,0.201843283332436,0.0358451693259933,0.069779865446654,0.53174845433362
"54","Tiruray",6.78126,124.12327,0.2396984740249,0.043036711126809,0.0846675198627914,0.101343883129351,0.67079418371049
"55","Tboli",6.17584,124.56778,0.143756597951944,0.0711941913669533,0.221917888511759,0.111793461156608,0.402301642379895
"56","Cotabato Bilaan",6.21229,125.01141,0.154380071406951,0.0800639864395142,0.137901355756918,0.0971163065770933,0.432031344387429
"57","Sarangani Bilaan",6.06694,125.34999,0.13762554405486,0.219682278939349,0.240365568565986,0.131391912070407,0.385143939099095
"58","Sangil",5.40063,125.38747,0.0448125513262631,0.0450392412416254,0.0211638590931415,0.0649404674126079,0.125407551755054
