phoneme,n_languages,n_total,IDF_phoible,global_n_phoible
ɗ,2,88,3.39002408106403,194
ə,30,88,1.0546491652469936,443
əi,1,88,3.7954891891721947,13
əy,1,88,3.7954891891721947,1
əː,2,88,3.39002408106403,85
ə̃,1,88,3.7954891891721947,53
ə̤,1,88,3.7954891891721947,3
ɛ,30,88,1.0546491652469936,759
ɛo,1,88,3.7954891891721947,2
ɛə,1,88,3.7954891891721947,3
ɛː,6,88,2.5427262206768266,225
ɛ̃,2,88,3.39002408106403,175
ɛ̃ə,1,88,3.7954891891721947,1
ɛ̤,1,88,3.7954891891721947,13
ɞ,1,88,3.7954891891721947,4
ɟ,12,88,1.9236870122706031,252
ɡ,55,88,0.46328467899699055,1146
ɡʷ,1,88,3.7954891891721947,129
ɡː,1,88,3.7954891891721947,36
ɣ,8,88,2.2914117923959205,269
ɤ,2,88,3.39002408106403,47
ɦ,1,88,3.7954891891721947,56
ɨ,5,88,2.6968769005040847,360
ɪ,6,88,2.5427262206768266,287
ɪ̤,1,88,3.7954891891721947,2
ɭ,1,88,3.7954891891721947,239
ɮ,2,88,3.39002408106403,37
ɯ,7,88,2.409194828052304,116
ɯə,2,88,3.39002408106403,4
ɯː,1,88,3.7954891891721947,28
ɯ̃,1,88,3.7954891891721947,25
ɯ̃ə,1,88,3.7954891891721947,1
ɰ,3,88,3.1023420086122493,44
ɲ,33,88,0.9622758451159784,878
ɲj,1,88,3.7954891891721947,2
ɲ̥,2,88,3.39002408106403,15
ɲ̩,1,88,3.7954891891721947,2
ɳʈ,1,88,3.7954891891721947,1
ɸ,4,88,2.8791984572980396,101
ɹ,2,88,3.39002408106403,31
ɺ,1,88,3.7954891891721947,24
ɺ̠,1,88,3.7954891891721947,5
ɻ,2,88,3.39002408106403,218
ɻː,1,88,3.7954891891721947,1
ɽ,1,88,3.7954891891721947,109
ɾ,10,88,2.0907410969337694,507
ɾ̥,1,88,3.7954891891721947,5
ɾ̪,1,88,3.7954891891721947,8
ɾ̪|ɾ,1,88,3.7954891891721947,10
ʁ,3,88,3.1023420086122493,83
ʂ,3,88,3.1023420086122493,123
ʂ͇,1,88,3.7954891891721947,2
ʃ,4,88,2.8791984572980396,684
ʈ,5,88,2.6968769005040847,309
ʈɹ̠̥,1,88,3.7954891891721947,1
ʈʂ,3,88,3.1023420086122493,68
ʈʰ,1,88,3.7954891891721947,71
ʉ,3,88,3.1023420086122493,49
ʊ,4,88,2.8791984572980396,269
ʊː,1,88,3.7954891891721947,66
ʊ̤,1,88,3.7954891891721947,3
ʋ,1,88,3.7954891891721947,31
ʌ,3,88,3.1023420086122493,86
ʌi,1,88,3.7954891891721947,2
ʌə,1,88,3.7954891891721947,1
ʌ̃,1,88,3.7954891891721947,14
ʍ,2,88,3.39002408106403,26
ʐ,2,88,3.39002408106403,61
ʒ,1,88,3.7954891891721947,267
ʔ,42,88,0.7274362540385775,731
ʔʷ,1,88,3.7954891891721947,14
ʝ,1,88,3.7954891891721947,44
ˀb,1,88,3.7954891891721947,4
ˀd,1,88,3.7954891891721947,2
β,14,88,1.7805861686299298,226
βʲ,1,88,3.7954891891721947,9
βʷ,1,88,3.7954891891721947,3
θ,4,88,2.8791984572980396,74
θ̰,1,88,3.7954891891721947,1
ᶑ,1,88,3.7954891891721947,6
ɓ̥,0,88,NA,8
i̞,0,88,NA,5
t̠ʃʼ,0,88,NA,110
tsʼ,0,88,NA,82
e̞ː,0,88,NA,29
ɔ̝,0,88,NA,3
tɕ,0,88,NA,74
dʑ,0,88,NA,49
˥,0,88,NA,52
ɕ,0,88,NA,70
˧,0,88,NA,237
ɡb,0,88,NA,284
ɥ,0,88,NA,26
˨,0,88,NA,433
˦,0,88,NA,437
ʊ̃,0,88,NA,58
ɪ̃,0,88,NA,62
R̪|R,0,88,NA,28
tʼ,0,88,NA,111
tsʰ,0,88,NA,117
tʷʼ,0,88,NA,2
χʷˤ,0,88,NA,3
tʷʰ,0,88,NA,3
kʲʰ,0,88,NA,10
χʲ,0,88,NA,1
t̠ʆʷʰ,0,88,NA,1
χʷ,0,88,NA,35
t̠ʆ,0,88,NA,1
t̠ʆʷʼ,0,88,NA,1
äː,0,88,NA,19
χ,0,88,NA,131
t̠ʆʰ,0,88,NA,1
ʓʷ,0,88,NA,2
χˤ,0,88,NA,3
qʷʼ,0,88,NA,14
ʒʷ,0,88,NA,9
kʼ,0,88,NA,153
ɖʐ,0,88,NA,29
kʲʼ,0,88,NA,11
ʓ,0,88,NA,2
pʼ,0,88,NA,105
qʲʼ,0,88,NA,1
ʆ,0,88,NA,2
d̠ʓʷ,0,88,NA,2
kʷʰ,0,88,NA,29
qʼ,0,88,NA,52
ʆʷ,0,88,NA,2
ʃʷ,0,88,NA,24
ʈʂʼ,0,88,NA,8
ħʷ,0,88,NA,3
dʷ,0,88,NA,18
d̠ʓ,0,88,NA,1
ʈʂʰ,0,88,NA,32
kʷʼ,0,88,NA,42
ʁʲ,0,88,NA,1
ɡʲ,0,88,NA,47
ɥˤ,0,88,NA,1
ʁʷ,0,88,NA,16
↓˦,0,88,NA,9
˨˦,0,88,NA,94
˦˨,0,88,NA,112
ẽ̞,0,88,NA,29
ŋ̊,0,88,NA,8
uɑ,0,88,NA,5
uɑi,0,88,NA,1
pʲʰ,0,88,NA,10
uɑ̃,0,88,NA,3
