"language","n_exceed_raw","n_exceed_family","family","size","delta"
"Tswana",0,0,"Niger-Congo",42,0
"Southern Sotho",0,0,"Niger-Congo",50,0
"Tera",0,0,"Afro-Asiatic",46,0
"Glavda",0,1,"Afro-Asiatic",39,1
"Paa",0,1,"Afro-Asiatic",32,1
"Kemant",0,1,"Afro-Asiatic",31,1
"Bilin",0,0,"Afro-Asiatic",40,0
"Burji",0,0,"Afro-Asiatic",31,0
"Hadiyya",0,0,"Afro-Asiatic",29,0
"Georgian",0,0,"Kartvelian",34,0
"Kabardian",0,0,"North Caucasian",42,0
"Hunzib",0,0,"North Caucasian",46,0
"Lezgi",0,0,"North Caucasian",45,0
"Chuvash",0,0,"Altaic",22,0
"Crimean Turkish",0,2,"Altaic",31,2
"Baraba",0,0,"Altaic",27,0
"Greenlandic",0,0,"Eskimo-Aleut",19,0
"Newari",0,0,"Sino-Tibetan",36,0
"Thakali",0,0,"Sino-Tibetan",28,0
"Chepang",0,0,"Sino-Tibetan",39,0
"Sunwar",0,0,"Sino-Tibetan",33,0
"Khaling",0,0,"Sino-Tibetan",34,0
"Angami",0,1,"Sino-Tibetan",45,1
"Tangkhul",0,0,"Sino-Tibetan",24,0
"Kusunda",0,0,"Language Isolate",30,0
"Marithiyel",0,0,"Australian",18,0
"Maranungku",0,0,"Australian",19,0
"Yalarnnga",0,0,"Australian",20,0
"Eyak",0,0,"Na-Dene",38,0
"Hare",0,1,"Na-Dene",40,1
"Slave",0,0,"Na-Dene",45,0
"Chipewyan",0,0,"Na-Dene",47,0
"Yurok",0,0,"Algic",29,0
"Shawnee",0,0,"Algic",18,0
"Bella Coola",0,0,"Salishan",36,0
"Halkomelem",0,0,"Salishan",35,0
"Lushootseed",0,0,"Salishan",38,0
"Upper Chehalis",0,0,"Salishan",36,0
"Cowlitz",0,0,"Salishan",40,0
"Coeur dAlene",0,0,"Salishan",45,0
"Yuchi",0,0,"Language Isolate",45,0
"Cherokee",0,0,"Iroquoian",20,0
"Coos",0,0,"Penutian",43,0
"Nez Perce",0,0,"Penutian",34,0
"Chitimacha",0,0,"Gulf",25,0
"Northern Paiute",0,0,"Uto-Aztecan",33,0
"Shoshone",0,0,"Uto-Aztecan",31,0
