"","Agutaynen","Arta","Ata Manobo","Botolan Sambal","Central Cagayan Agta","Coastal-Naga Bikol","Central Bontoc","Filipino","Ibaloi","Ibanag","Ibatan","Ilongot","Isinai","Isnag","Kagayanen","Keley-i Kallahan","Kinaray-a","Maguindanao","Masbatenyo","Northern Subanen","Pangasinan","Tausug","Tboli","Tuwali Ifugao","Western Subanon","Yogad"
"Ibatan",0.82175542643043,0.733495051417902,0.768945997803615,0.788862051465437,0.755413243109891,0.783203709123342,0.502684325145363,0.898028835589909,0.892169776710641,0.871991049029287,0.999999999959133,0.82089969152951,0.901973720595288,0.859729394442739,0.833510133309438,0.767980184739189,0.856058985291373,0.671920867006303,0.694340660700124,0.600763755571332,0.776528215463406,0.761771980383583,0.819109422732272,0.748462531413026,0.747214301854774,0.869903253927057
"Ilongot",0.835439449876191,0.784488419951082,0.787078927913756,0.74246199447107,0.713443870602043,0.729625956198552,0.497054419118909,0.828740001301394,0.856318376878649,0.912773172579438,0.82089969152951,0.99999999997075,0.830958110092748,0.79798149100798,0.777104936127079,0.775803012347822,0.950043289333992,0.840986413601616,0.642756484862437,0.642730611738056,0.722814578247862,0.841542967808403,0.759649223961842,0.785190724818795,0.710228978205657,0.826281656732336
"Isinai",0.831261798355018,0.678647504576114,0.799702167578506,0.823320829750235,0.763146759999524,0.814253363991452,0.506916468570934,0.908750410469522,0.925529462773849,0.904954299771871,0.901973720595288,0.830958110092748,0.999999999957619,0.894309419581334,0.935161047558547,0.761065613098713,0.866306681375789,0.679237442484669,0.72181216509235,0.628282855470458,0.808309409942527,0.770966826303785,0.851888091457847,0.757185986478181,0.777109274068558,0.879987884491309
"Isnag",0.790734935195246,0.652219248550908,0.829983807519186,0.844264265257157,0.782656454347417,0.836847281209717,0.460971502772701,0.868909513157225,0.887606660917589,0.866310654423704,0.859729394442739,0.79798149100798,0.894309419581334,0.999999999954099,0.877560465294553,0.718358919408646,0.828690264577202,0.639999852830832,0.685641994389318,0.580445655087212,0.763192077316737,0.738506912244636,0.875401023011328,0.756466035884691,0.798503951033945,0.968164548969426
"Kagayanen",0.81505675932868,0.635447301618195,0.732684634070026,0.797902220364574,0.740156478739561,0.800308882533786,0.433983812407101,0.843992936631881,0.863695832918886,0.842066950567897,0.833510133309438,0.777104936127079,0.935161047558547,0.877560465294553,0.999999999952387,0.692339231769177,0.805139590633924,0.660561002819534,0.706872035524676,0.552023629469052,0.735688259033786,0.718109037394456,0.836547453343173,0.698809363391497,0.762797812219508,0.866787695984441
"Keley-i Kallahan",0.778366548740353,0.757579409610922,0.80753466407506,0.747270455350787,0.912920067576309,0.660452091030264,0.481372579783251,0.766050333232909,0.75674545628262,0.820764021996511,0.767980184739189,0.775803012347822,0.761065613098713,0.718358919408646,0.692339231769177,0.999999999964409,0.7301022705386,0.636784944455918,0.582789866607156,0.649776727150276,0.734920182652892,0.80113923127338,0.702235712071435,0.797936589854616,0.62911739251016,0.733636894272109
"Kinaray-a",0.794095828142956,0.770567635841033,0.741787503485458,0.765487322597574,0.737423765344803,0.758643469866877,0.495866581258684,0.86567796588808,0.856179773119648,0.836561834002385,0.856058985291373,0.950043289333992,0.866306681375789,0.828690264577202,0.805139590633924,0.7301022705386,0.999999999965185,0.811949879670106,0.668419038574405,0.585351170752127,0.749517560735802,0.886152015888702,0.789223369834155,0.722855365623189,0.724366162355729,0.835877687935359
"Maguindanao",0.835548628902155,0.757081041790908,0.646483420449225,0.574425521680664,0.558073815196349,0.588740960985661,0.517251531864146,0.683812936447261,0.676010063672926,0.733680733556564,0.671920867006303,0.840986413601616,0.679237442484669,0.639999852830832,0.660561002819534,0.636784944455918,0.811949879670106,0.999999999970675,0.732824354081541,0.504059212527426,0.682722498488606,0.809061443408911,0.610548484878497,0.725115271665309,0.56046784194054,0.65414931460768
"Masbatenyo",0.777205964345379,0.79221318723662,0.613648447548791,0.625222921394849,0.580198311768179,0.625071042490306,0.468518750179834,0.701424708338134,0.715289378237819,0.699023550024826,0.694340660700124,0.642756484862437,0.72181216509235,0.685641994389318,0.706872035524676,0.582789866607156,0.668419038574405,0.732824354081541,0.999999999971833,0.474245466152731,0.724181033334566,0.68150594938964,0.653966222474283,0.67304380888806,0.856303399575165,0.677152717950813
"Northern Subanen",0.630047378308144,0.531593169212869,0.775790250955278,0.610297793719875,0.55781891425265,0.532865943157176,0.688613358821475,0.612950635120228,0.639865729298022,0.695224178336668,0.600763755571332,0.642730611738056,0.628282855470458,0.580445655087212,0.552023629469052,0.649776727150276,0.585351170752127,0.504059212527426,0.474245466152731,0.999999999964672,0.605899493452799,0.523943813143368,0.554972420802893,0.732098960561698,0.505355066602248,0.582159995916599
"Pangasinan",0.714361478290634,0.677850270434185,0.77219611337462,0.79435810177514,0.736355949337971,0.786753879071975,0.594933766090485,0.878890761744594,0.803921311506011,0.784301013108351,0.776528215463406,0.722814578247862,0.808309409942527,0.763192077316737,0.735688259033786,0.734920182652892,0.749517560735802,0.682722498488606,0.724181033334566,0.605899493452799,0.999999999960098,0.770804529624531,0.728460387758871,0.838522895199762,0.663708367208082,0.756400786850374
"Tausug",0.706947894392351,0.864334278119625,0.660271602880625,0.6841056860448,0.82419109546293,0.675786891230187,0.531859549183575,0.769878459574091,0.760544873839235,0.744169667670195,0.761771980383583,0.841542967808403,0.770966826303785,0.738506912244636,0.718109037394456,0.80113923127338,0.886152015888702,0.809061443408911,0.68150594938964,0.523943813143368,0.770804529624531,0.999999999973284,0.703227687261066,0.730985355211822,0.645569898674434,0.744014973996234
"Tboli",0.754075328050684,0.620835886091891,0.722787511395655,0.903804641936154,0.747220776814809,0.797092951342316,0.492531783266277,0.828116660365967,0.845094620868618,0.825522880466588,0.819109422732272,0.759649223961842,0.851888091457847,0.875401023011328,0.836547453343173,0.702235712071435,0.789223369834155,0.610548484878497,0.653966222474283,0.554972420802893,0.728460387758871,0.703227687261066,0.99999999995911,0.702619643403297,0.760688403522628,0.850201930412497
"Tuwali Ifugao",0.767729172913732,0.690955463586092,0.907814828373581,0.751542426762917,0.721379494787641,0.661107464565624,0.588598666565423,0.758748622407882,0.77858811375693,0.836540911051324,0.748462531413026,0.785190724818795,0.757185986478181,0.756466035884691,0.698809363391497,0.797936589854616,0.722855365623189,0.725115271665309,0.67304380888806,0.732098960561698,0.838522895199762,0.730985355211822,0.702619643403297,0.999999999970692,0.636478901625803,0.787919539596454
"Western Subanon",0.691825932153606,0.781200045044828,0.659208716313257,0.734320121458766,0.685391837201498,0.73159819780733,0.41863013037926,0.759562054826133,0.785876332017997,0.767416789825639,0.747214301854774,0.710228978205657,0.777109274068558,0.798503951033945,0.762797812219508,0.62911739251016,0.724366162355729,0.56046784194054,0.856303399575165,0.505355066602248,0.663708367208082,0.645569898674434,0.760688403522628,0.636478901625803,0.999999999965616,0.775237002468023
"Yogad",0.802032928584535,0.655193718612634,0.816408203738334,0.82412088281123,0.788207897307702,0.81199512536052,0.486090711440704,0.877328589264702,0.898503289472999,0.878975682138208,0.869903253927057,0.826281656732336,0.879987884491309,0.968164548969426,0.866787695984441,0.733636894272109,0.835877687935359,0.65414931460768,0.677152717950813,0.582159995916599,0.756400786850374,0.744014973996234,0.850201930412497,0.787919539596454,0.775237002468023,0.999999999959671
