tip,glottocode,gb_name,is_philippine,n_answered,GB020,GB021,GB022,GB023,GB028,GB030,GB031,GB035,GB036,GB037,GB042,GB043,GB044,GB051,GB052,GB053,GB054,GB065,GB070,GB071,GB072,GB073,GB079,GB080,GB082,GB083,GB084,GB086,GB089,GB090,GB091,GB092,GB093,GB094,GB107,GB121,GB130,GB131,GB137,GB138,GB171,GB172,GB186,GB192,GB196,GB197,GB316,GB318,GB321,GB415
Manggarai,mang1405,Manggarai,FALSE,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,1,0,NA,0,0,0,0,0,0,0,0,0,0
ManoboAtadownriver,atam1240,Ata Manobo,TRUE,50,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
ManoboSaranganiKayaponga_D,sara1327,Sarangani Manobo,TRUE,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,NA,0,0,0,0,0,0
ManoboTigwaIglogsad_D,mati1250,Matigsalug Manobo,TRUE,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,NA
Mansaka,mans1262,Mansaka,TRUE,49,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
Maori,maor1246,Maori,FALSE,50,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,1,0,0
Marquesan,nort2845,North Marquesan,FALSE,49,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,NA,0
Matukar,matu1261,Matukar,FALSE,50,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekeo,meke1243,Mekeo,FALSE,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Melayu,stan1306,Standard Malay,FALSE,48,NA,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
MelayuAmbon,ambo1250,Ambonese Malay,FALSE,49,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,0
Merei,mere1242,Merei,FALSE,50,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
Minangkabau,mina1268,Minangkabau,FALSE,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
Moken,moke1242,Moken,FALSE,48,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,NA,0,0
Mokilese,moki1238,Mokilese,FALSE,49,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
Mor,morm1235,Mor (Mor Islands),FALSE,50,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mortlockese,mort1237,Mortlockese,FALSE,49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
Mwotlap,motl1237,Mwotlap,FALSE,50,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nahavaq,sout2857,Nahavaq,FALSE,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Nalik,nali1244,Nalik,FALSE,49,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Nanggu,nang1262,Nanggu,FALSE,48,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,NA
