phoneme_id,ipa,global_n,class
phoneme_195,ɡǁkˣˀ,3,click
phoneme_196,+kˣˀ,0,click
phoneme_197,ʘkˣˀ,1,click
phoneme_198,n!ʰ,1,click
phoneme_199,!kˣˀ,1,click
phoneme_200,ɡǁˣ,7,click
phoneme_201,ǂʱ,2,click
phoneme_202,ˀnǂ,1,click
phoneme_203,ˀn/,1,click
phoneme_204,qǂʰ,1,click
phoneme_205,n/n,2,click
phoneme_206,qʘ,1,click
phoneme_207,ɡ!kˣˀ,3,click
phoneme_208,nǁˀʰ,1,click
phoneme_209,G/ʰ,1,click
phoneme_210,qǂ,8,click
phoneme_211,ʘˣ,3,click
phoneme_212,ʘʱ,1,click
phoneme_213,G!,1,click
phoneme_214,ɡǂn,7,click
phoneme_215,ɡǂˀʰ,1,click
phoneme_216,ǁˀ,27,click
phoneme_217,qǁ,8,click
phoneme_218,+ˀ,0,click
phoneme_219,ɡʘˣ,1,click
phoneme_220,G/,1,click
phoneme_221,ǁ,33,click
phoneme_222,!ˀʰ,1,click
phoneme_223,n̥!ʰ,2,click
phoneme_224,q/ʰ,1,click
phoneme_225,ǂˀʰ,1,click
phoneme_226,ɡǂ,16,click
phoneme_227,nǁʱ,2,click
phoneme_228,ˀnǁ,1,click
phoneme_229,nǂn,2,click
phoneme_230,ǁʰ,28,click
phoneme_231,/ʱ,2,click
phoneme_232,Gǁ,1,click
phoneme_233,/ˀʰ,1,click
phoneme_234,/ˣ,24,click
phoneme_235,nǁʰ,1,click
phoneme_236,ǂˣ,17,click
phoneme_237,nʘʱ,1,click
phoneme_238,ʘ,5,click
phoneme_239,q!,7,click
phoneme_240,ɡǁ,25,click
phoneme_241,ɡ!ˀʰ,1,click
phoneme_242,n̥ǂʰ,2,click
phoneme_243,n/ʰ,2,click
phoneme_244,nǁn,2,click
phoneme_245,ɡ!ˣ,3,click
phoneme_246,!ˀ,24,click
phoneme_247,ɡʘkˣˀ,1,click
phoneme_248,ᵑ/ᶢ,3,click
phoneme_249,ɡʘ,3,click
phoneme_250,q/,10,click
phoneme_251,n̥ǁ,2,click
phoneme_252,n̥!,2,click
phoneme_253,!ʰ,26,click
phoneme_254,ɡ!,20,click
phoneme_255,q!ˀ,1,click
phoneme_256,ɡ/ˀʰ,1,click
phoneme_257,ǂˣˀ,13,click
phoneme_258,ɡǂˣ,2,click
phoneme_259,ʘˣˀ,1,click
phoneme_260,n!ʱ,2,click
phoneme_261,ɡǁn,13,click
phoneme_262,ɡ!n,8,click
phoneme_263,+ˣ,0,click
phoneme_264,n!ˣ,1,click
phoneme_265,n̥ǁʰ,2,click
phoneme_266,ᵑǁ,1,click
phoneme_267,n̥/,2,click
phoneme_268,qʘˀ,1,click
phoneme_269,ɡ/,27,click
phoneme_270,Gǁʰ,1,click
phoneme_271,nǂ,17,click
phoneme_272,ǁˀʰ,1,click
phoneme_273,ɡǂkˣˀ,3,click
phoneme_274,n̥/ʰ,2,click
phoneme_275,ǂˀ,18,click
phoneme_276,qǁʰ,1,click
phoneme_277,ɡǁˀʰ,1,click
phoneme_278,ᵑǁᶢ,2,click
phoneme_279,/ˣˀ,15,click
phoneme_280,ǁʱ,2,click
phoneme_281,Gǂʰ,1,click
phoneme_282,ʘʰ,3,click
phoneme_283,ʘˀ,3,click
phoneme_284,ð,112,consonant
phoneme_285,vʷ,2,consonant
phoneme_286,ɣʷ,11,consonant
phoneme_287,z̥̣,1,consonant
phoneme_288,ħ,53,consonant
phoneme_289,v̤,2,consonant
phoneme_290,xˀ,4,consonant
phoneme_291,sʰ,18,consonant
phoneme_292,šːˀ,3,consonant
phoneme_293,šʲ,2,consonant
phoneme_294,ɣ,328,consonant
phoneme_295,ɸˢ,1,consonant
phoneme_296,ʕ,60,consonant
phoneme_297,sˀ,21,consonant
phoneme_298,ʮː,1,consonant
phoneme_299,ⁿs,0,consonant
phoneme_300,šʷ,1,consonant
phoneme_301,ˀẓ,1,consonant
phoneme_302,ᵈžʰ,1,consonant
phoneme_303,ⁿz,12,consonant
phoneme_304,sʷ,3,consonant
phoneme_305,ˀɣ,1,consonant
phoneme_306,βʲ,1,consonant
phoneme_307,ʯˀ,2,consonant
phoneme_308,ˀh,1,consonant
phoneme_309,hᵚ,1,consonant
phoneme_310,s̪,7,consonant
phoneme_311,ʯʷ,32,consonant
phoneme_312,š,778,consonant
phoneme_313,fs,0,consonant
phoneme_314,ˀv,1,consonant
phoneme_315,ç,30,consonant
phoneme_316,ˀz,0,consonant
phoneme_317,sʲ,3,consonant
phoneme_318,ʕʷ,5,consonant
phoneme_319,s̪ːˀ,3,consonant
phoneme_320,ⁿ̃ž,4,consonant
phoneme_321,ͫv,3,consonant
phoneme_322,zˀ,1,consonant
phoneme_323,ɸˀ,1,consonant
phoneme_324,fʷ,6,consonant
phoneme_325,ðʲ,1,consonant
phoneme_326,ˀð,2,consonant
phoneme_327,β,203,consonant
phoneme_328,f,740,consonant
phoneme_329,h,1248,consonant
phoneme_330,ṣˀ,3,consonant
phoneme_331,ʕˀ,4,consonant
phoneme_332,ɸʷ,2,consonant
phoneme_333,r,1,consonant
phoneme_334,s,1767,consonant
phoneme_335,ʁʷ,3,consonant
phoneme_336,ʮ,116,consonant
phoneme_337,ʁ,95,consonant
phoneme_338,v,596,consonant
phoneme_339,sʹ,1,consonant
phoneme_340,xˀʷ,1,consonant
phoneme_341,x,476,consonant
phoneme_342,z̪,3,consonant
phoneme_343,z,597,consonant
phoneme_344,ʯˀʷ,1,consonant
phoneme_345,ɦ,44,consonant
phoneme_346,zʷ,1,consonant
phoneme_347,šˀ,11,consonant
phoneme_348,ṣ̌,42,consonant
phoneme_349,ˀʁʷ,0,consonant
phoneme_350,ʁˀ,0,consonant
phoneme_351,z̪ʲ,1,consonant
phoneme_352,ˀs̪,1,consonant
phoneme_353,fʰ,2,consonant
phoneme_354,ṣ,61,consonant
phoneme_355,ˀʁ,0,consonant
phoneme_356,ʯ,140,consonant
phoneme_357,ᵈžˣ,1,consonant
phoneme_358,h˜,11,consonant
phoneme_359,ɸʲ,1,consonant
phoneme_360,ɣ˜,2,consonant
phoneme_361,fˢ̌,2,consonant
phoneme_362,z̤,1,consonant
phoneme_363,hʷ,21,consonant
phoneme_364,βʷ,3,consonant
phoneme_365,ʮˀ,1,consonant
phoneme_366,xʷ,59,consonant
phoneme_367,sː,2,consonant
phoneme_368,šʰ,3,consonant
phoneme_369,xʰ,1,consonant
phoneme_370,žʱ,1,consonant
phoneme_371,vj^,0,consonant
phoneme_372,β˜,1,consonant
phoneme_373,ᵈzˣ,1,consonant
phoneme_374,zʱ,1,consonant
phoneme_375,j^,4,consonant
phoneme_376,vz,0,consonant
phoneme_377,fç,0,consonant
phoneme_378,hʲ,1,consonant
phoneme_379,fˀ,4,consonant
phoneme_380,ž,291,consonant
phoneme_381,v˜,1,consonant
phoneme_382,çː,9,consonant
phoneme_383,ẓ̌,15,consonant
phoneme_384,v̥,1,consonant
phoneme_385,ɸ,100,consonant
phoneme_386,ẓ,19,consonant
phoneme_387,ʕˀʷ,5,consonant
phoneme_388,zʹ,1,consonant
phoneme_389,vʰ,1,consonant
phoneme_390,i̱,2,vowel
phoneme_391,e,1444,vowel
phoneme_392,i,1866,vowel
phoneme_393,i̤,5,vowel
