ID	Concept	Language	IPA
3147	path	MANOBO TIGWA	dalan
3148	person	MANOBO TIGWA	ətəw
3149	see	MANOBO TIGWA	kita
3150	skin	MANOBO TIGWA	laŋgit
3151	star	MANOBO TIGWA	bituʔən
3152	stone	MANOBO TIGWA	batu
3153	sun	MANOBO TIGWA	
3154	tongue	MANOBO TIGWA	diləʔ
3155	tooth	MANOBO TIGWA	ŋipən
3156	tree	MANOBO TIGWA	kaju
3157	two	MANOBO TIGWA	dadua
3158	water	MANOBO TIGWA	wəig
3159	we	MANOBO TIGWA	sikanta
3160	you	MANOBO TIGWA	sikəikəw
3161	I	MANOBO WESTERN BUKIDNON	siʔak
3162	blood	MANOBO WESTERN BUKIDNON	ləŋəsa
3163	bone	MANOBO WESTERN BUKIDNON	tulan
3164	breast	MANOBO WESTERN BUKIDNON	susu
3165	come	MANOBO WESTERN BUKIDNON	
3166	die	MANOBO WESTERN BUKIDNON	
3167	dog	MANOBO WESTERN BUKIDNON	asu
3168	drink	MANOBO WESTERN BUKIDNON	inum
3169	ear	MANOBO WESTERN BUKIDNON	təliŋa
3170	eye	MANOBO WESTERN BUKIDNON	mata
3171	fire	MANOBO WESTERN BUKIDNON	hapuj
3172	fish	MANOBO WESTERN BUKIDNON	paʔit
3173	full	MANOBO WESTERN BUKIDNON	pənuʔ
3174	hand	MANOBO WESTERN BUKIDNON	bəlad
3175	hear	MANOBO WESTERN BUKIDNON	dinəg
3176	horn	MANOBO WESTERN BUKIDNON	
3177	knee	MANOBO WESTERN BUKIDNON	buʔəl
3178	leaf	MANOBO WESTERN BUKIDNON	dahun
3179	liver	MANOBO WESTERN BUKIDNON	atəj
3180	louse	MANOBO WESTERN BUKIDNON	kutuʔ
3181	mountain	MANOBO WESTERN BUKIDNON	buntud
3182	name	MANOBO WESTERN BUKIDNON	ŋazan
3183	new	MANOBO WESTERN BUKIDNON	bəgu
3184	night	MANOBO WESTERN BUKIDNON	dukiləm
3185	nose	MANOBO WESTERN BUKIDNON	izuŋ
3186	one	MANOBO WESTERN BUKIDNON	səvəha
3187	path	MANOBO WESTERN BUKIDNON	dalan
3188	person	MANOBO WESTERN BUKIDNON	ətəw
3189	see	MANOBO WESTERN BUKIDNON	ahaʔ
3190	skin	MANOBO WESTERN BUKIDNON	lundis
3191	star	MANOBO WESTERN BUKIDNON	bituʔən
3192	stone	MANOBO WESTERN BUKIDNON	batu
3193	sun	MANOBO WESTERN BUKIDNON	
3194	tongue	MANOBO WESTERN BUKIDNON	dilaʔ
3195	tooth	MANOBO WESTERN BUKIDNON	ŋipən
3196	tree	MANOBO WESTERN BUKIDNON	kuju
3197	two	MANOBO WESTERN BUKIDNON	dəzuwa
3198	water	MANOBO WESTERN BUKIDNON	wahig
3199	we	MANOBO WESTERN BUKIDNON	sikitəw
3200	you	MANOBO WESTERN BUKIDNON	sikəw
3201	I	MANSAKA	aku
3202	blood	MANSAKA	duguʔ
3203	bone	MANSAKA	pəsaʔ
3204	breast	MANSAKA	aba
3205	come	MANSAKA	
3206	die	MANSAKA	
3207	dog	MANSAKA	iduʔ
3208	drink	MANSAKA	inəm
3209	ear	MANSAKA	tariŋa
3210	eye	MANSAKA	mata
3211	fire	MANSAKA	aturun
3212	fish	MANSAKA	kaja
3213	full	MANSAKA	itmuʔ
3214	hand	MANSAKA	bəktən
3215	hear	MANSAKA	dəŋəg
3216	horn	MANSAKA	
3217	knee	MANSAKA	tuʔud
3218	leaf	MANSAKA	daʔun
3219	liver	MANSAKA	ataj
3220	louse	MANSAKA	kutu
3221	mountain	MANSAKA	bətaj
3222	name	MANSAKA	aran
3223	new	MANSAKA	bagu
3224	night	MANSAKA	gabi
3225	nose	MANSAKA	iluŋ
3226	one	MANSAKA	isa
3227	path	MANSAKA	daran
3228	person	MANSAKA	utaw
3229	see	MANSAKA	kitaʔ
3230	skin	MANSAKA	paris naŋ ʔutaw
3231	star	MANSAKA	bituʔun
3232	stone	MANSAKA	batu
3233	sun	MANSAKA	
3234	tongue	MANSAKA	dilaʔ
3235	tooth	MANSAKA	untu
3236	tree	MANSAKA	kaʔuj
3237	two	MANSAKA	duwa
3238	water	MANSAKA	tubig
3239	we	MANSAKA	kita
3240	you	MANSAKA	ikaw
3241	I	MAPUN	aku
3242	blood	MAPUN	lahaʔ
3243	bone	MAPUN	towaŋ
3244	breast	MAPUN	dakan
3245	come	MAPUN	pitu
3246	die	MAPUN	imuwa
3247	dog	MAPUN	idoʔ
3248	drink	MAPUN	inum
3249	ear	MAPUN	tiŋa
3250	eye	MAPUN	mata
3251	fire	MAPUN	api
3252	fish	MAPUN	dajiŋ
3253	full	MAPUN	
3254	hand	MAPUN	taŋan
3255	hear	MAPUN	ke
3256	horn	MAPUN	
3257	knee	MAPUN	
3258	leaf	MAPUN	dawun
3259	liver	MAPUN	ataj
3260	louse	MAPUN	kutu
3261	mountain	MAPUN	
3262	name	MAPUN	awon
3263	new	MAPUN	bahau
3264	night	MAPUN	bahaŋi
3265	nose	MAPUN	samo
3266	one	MAPUN	dambuwaʔ
3267	path	MAPUN	lan
3268	person	MAPUN	dʒama
3269	see	MAPUN	kita
3270	skin	MAPUN	kuwit
3271	star	MAPUN	potean
3272	stone	MAPUN	batu
3273	sun	MAPUN	
3274	tongue	MAPUN	dalaʔ
3275	tooth	MAPUN	impon
3276	tree	MAPUN	
3277	two	MAPUN	duwa
3278	water	MAPUN	boheʔ
3279	we	MAPUN	kitabi
3280	you	MAPUN	ko
3281	I	MARANAO	ako
3282	blood	MARANAO	rogoʔ
3283	bone	MARANAO	tolan
3284	breast	MARANAO	soso
3285	come	MARANAO	danon
3286	die	MARANAO	mataj
3287	dog	MARANAO	aso
3288	drink	MARANAO	inom
3289	ear	MARANAO	taŋila
3290	eye	MARANAO	mata
3291	fire	MARANAO	apoi
3292	fish	MARANAO	sedaʔ
3293	full	MARANAO	
3294	hand	MARANAO	lima
3295	hear	MARANAO	makineg
3296	horn	MARANAO	
3297	knee	MARANAO	
3298	leaf	MARANAO	raʔon
3299	liver	MARANAO	ataj
3300	louse	MARANAO	koto
3301	mountain	MARANAO	
3302	name	MARANAO	ŋaran
3303	new	MARANAO	bego
3304	night	MARANAO	gagaoiʔi
3305	nose	MARANAO	iroŋ
3306	one	MARANAO	isa
3307	path	MARANAO	lalan
3308	person	MARANAO	taw
3309	see	MARANAO	ilaj
3310	skin	MARANAO	anit
3311	star	MARANAO	bitoʔon
3312	stone	MARANAO	wato
3313	sun	MARANAO	
3314	tongue	MARANAO	dilaʔ
3315	tooth	MARANAO	ŋipen
3316	tree	MARANAO	
3317	two	MARANAO	doa
3318	water	MARANAO	ig
3319	we	MARANAO	kita
3320	you	MARANAO	ka
3321	I	MARINDUQUE TAGALOG	ʔaku
3322	blood	MARINDUQUE TAGALOG	duguʔ
3323	bone	MARINDUQUE TAGALOG	butʔu
3324	breast	MARINDUQUE TAGALOG	susu
3325	come	MARINDUQUE TAGALOG	
3326	die	MARINDUQUE TAGALOG	mamataj
3327	dog	MARINDUQUE TAGALOG	ʔasu
3328	drink	MARINDUQUE TAGALOG	ʔinum
3329	ear	MARINDUQUE TAGALOG	tajŋa
3330	eye	MARINDUQUE TAGALOG	mata
3331	fire	MARINDUQUE TAGALOG	ʔapuj
3332	fish	MARINDUQUE TAGALOG	ʔisdaʔ
3333	full	MARINDUQUE TAGALOG	
3334	hand	MARINDUQUE TAGALOG	kamaj
3335	hear	MARINDUQUE TAGALOG	dinig
3336	horn	MARINDUQUE TAGALOG	
3337	knee	MARINDUQUE TAGALOG	
3338	leaf	MARINDUQUE TAGALOG	dahun
3339	liver	MARINDUQUE TAGALOG	ʔataj
3340	louse	MARINDUQUE TAGALOG	kutu
3341	mountain	MARINDUQUE TAGALOG	
3342	name	MARINDUQUE TAGALOG	paŋalan
3343	new	MARINDUQUE TAGALOG	bagu
3344	night	MARINDUQUE TAGALOG	gabʔi
3345	nose	MARINDUQUE TAGALOG	ʔiluŋ
3346	one	MARINDUQUE TAGALOG	ʔisa
3347	path	MARINDUQUE TAGALOG	daʔan
3348	person	MARINDUQUE TAGALOG	tawu
3349	see	MARINDUQUE TAGALOG	kita
3350	skin	MARINDUQUE TAGALOG	balat
3351	star	MARINDUQUE TAGALOG	bituʔin
3352	stone	MARINDUQUE TAGALOG	batu
3353	sun	MARINDUQUE TAGALOG	
3354	tongue	MARINDUQUE TAGALOG	dilaʔ
3355	tooth	MARINDUQUE TAGALOG	ŋipin
3356	tree	MARINDUQUE TAGALOG	
3357	two	MARINDUQUE TAGALOG	dalwa
3358	water	MARINDUQUE TAGALOG	tubig
3359	we	MARINDUQUE TAGALOG	kita
3360	you	MARINDUQUE TAGALOG	ʔikaw
3361	I	MASBATENYO	ako
3362	blood	MASBATENYO	dugo
3363	bone	MASBATENYO	tulaŋ
3364	breast	MASBATENYO	suso
3365	come	MASBATENYO	magdajo
3366	die	MASBATENYO	mamataj
3367	dog	MASBATENYO	aso
3368	drink	MASBATENYO	maginom
3369	ear	MASBATENYO	taliŋa
3370	eye	MASBATENYO	mata
3371	fire	MASBATENYO	kalajo
3372	fish	MASBATENYO	isda
3373	full	MASBATENYO	
3374	hand	MASBATENYO	kamot
3375	hear	MASBATENYO	magbati
3376	horn	MASBATENYO	
3377	knee	MASBATENYO	
3378	leaf	MASBATENYO	dahon
3379	liver	MASBATENYO	ataj
3380	louse	MASBATENYO	kuto
3381	mountain	MASBATENYO	
3382	name	MASBATENYO	ŋaran
3383	new	MASBATENYO	bago
3384	night	MASBATENYO	gabi
3385	nose	MASBATENYO	iroŋ
3386	one	MASBATENYO	isad
3387	path	MASBATENYO	dalan
3388	person	MASBATENYO	tawo
3389	see	MASBATENYO	magkita
3390	skin	MASBATENYO	panit
3391	star	MASBATENYO	bituon
3392	stone	MASBATENYO	bato
3393	sun	MASBATENYO	
3394	tongue	MASBATENYO	dila
3395	tooth	MASBATENYO	ŋipon
3396	tree	MASBATENYO	
3397	two	MASBATENYO	duha
3398	water	MASBATENYO	tubig
3399	we	MASBATENYO	kita
3400	you	MASBATENYO	ikaw
3401	I	MINANGALI LOWER TANUDAN KALINGA	sakon
3402	blood	MINANGALI LOWER TANUDAN KALINGA	da8a
3403	bone	MINANGALI LOWER TANUDAN KALINGA	tuŋa8
3404	breast	MINANGALI LOWER TANUDAN KALINGA	
3405	come	MINANGALI LOWER TANUDAN KALINGA	umali
3406	die	MINANGALI LOWER TANUDAN KALINGA	natoj
3407	dog	MINANGALI LOWER TANUDAN KALINGA	asu
3408	drink	MINANGALI LOWER TANUDAN KALINGA	uminum
3409	ear	MINANGALI LOWER TANUDAN KALINGA	iŋa
3410	eye	MINANGALI LOWER TANUDAN KALINGA	ata
3411	fire	MINANGALI LOWER TANUDAN KALINGA	apuj
3412	fish	MINANGALI LOWER TANUDAN KALINGA	ugadiw
3413	full	MINANGALI LOWER TANUDAN KALINGA	
3414	hand	MINANGALI LOWER TANUDAN KALINGA	ima
3415	hear	MINANGALI LOWER TANUDAN KALINGA	doŋo8
3416	horn	MINANGALI LOWER TANUDAN KALINGA	
3417	knee	MINANGALI LOWER TANUDAN KALINGA	
3418	leaf	MINANGALI LOWER TANUDAN KALINGA	tubu
3419	liver	MINANGALI LOWER TANUDAN KALINGA	agtoj
3420	louse	MINANGALI LOWER TANUDAN KALINGA	kutu
3421	mountain	MINANGALI LOWER TANUDAN KALINGA	
3422	name	MINANGALI LOWER TANUDAN KALINGA	ŋadan
3423	new	MINANGALI LOWER TANUDAN KALINGA	kaka8a
3424	night	MINANGALI LOWER TANUDAN KALINGA	labi
3425	nose	MINANGALI LOWER TANUDAN KALINGA	oŋo8
3426	one	MINANGALI LOWER TANUDAN KALINGA	osan
3427	path	MINANGALI LOWER TANUDAN KALINGA	ka8sa
3428	person	MINANGALI LOWER TANUDAN KALINGA	tagu
3429	see	MINANGALI LOWER TANUDAN KALINGA	ilan
3430	skin	MINANGALI LOWER TANUDAN KALINGA	kublit
3431	star	MINANGALI LOWER TANUDAN KALINGA	bituwon
3432	stone	MINANGALI LOWER TANUDAN KALINGA	batu
3433	sun	MINANGALI LOWER TANUDAN KALINGA	
3434	tongue	MINANGALI LOWER TANUDAN KALINGA	dela
3435	tooth	MINANGALI LOWER TANUDAN KALINGA	baba
3436	tree	MINANGALI LOWER TANUDAN KALINGA	
3437	two	MINANGALI LOWER TANUDAN KALINGA	duwa
3438	water	MINANGALI LOWER TANUDAN KALINGA	danum
3439	we	MINANGALI LOWER TANUDAN KALINGA	ditaku
3440	you	MINANGALI LOWER TANUDAN KALINGA	sika
3441	I	MOKSHA	mon
3442	blood	MOKSHA	vjer
3443	bone	MOKSHA	pakarj
3444	breast	MOKSHA	potja
3445	come	MOKSHA	sams
3446	die	MOKSHA	kuloms
3447	dog	MOKSHA	pi5e
3448	drink	MOKSHA	sjimoms
3449	ear	MOKSHA	pilje
3450	eye	MOKSHA	sjeljmje
3451	fire	MOKSHA	tol
3452	fish	MOKSHA	kal
3453	full	MOKSHA	paSksje
3454	hand	MOKSHA	kadj
3455	hear	MOKSHA	marjams
3456	horn	MOKSHA	sjura
3457	knee	MOKSHA	elj
3458	leaf	MOKSHA	lopa
3459	liver	MOKSHA	maksa
3460	louse	MOKSHA	sji
3461	mountain	MOKSHA	panda
3462	name	MOKSHA	ljem
3463	new	MOKSHA	od
3464	night	MOKSHA	vje
3465	nose	MOKSHA	Salxka
3466	one	MOKSHA	fka
3467	path	MOKSHA	jan
3468	person	MOKSHA	loma5
3469	see	MOKSHA	5ajems
3470	skin	MOKSHA	kisjke
3471	star	MOKSHA	tjaStje
3472	stone	MOKSHA	kev
3473	sun	MOKSHA	Si
3474	tongue	MOKSHA	kalj
3475	tooth	MOKSHA	pej
3476	tree	MOKSHA	Sufta
3477	two	MOKSHA	kafta
3478	water	MOKSHA	vjedj
3479	we	MOKSHA	mji5
3480	you	MOKSHA	ton
3481	I	MOLBOG	aku
3482	blood	MOLBOG	dahaʔ
3483	bone	MOLBOG	tulaŋ
3484	breast	MOLBOG	duduʔ
3485	come	MOLBOG	kuan
3486	die	MOLBOG	patoj
3487	dog	MOLBOG	idoŋ
3488	drink	MOLBOG	inum
3489	ear	MOLBOG	toliŋa
3490	eye	MOLBOG	mata
3491	fire	MOLBOG	apuj
3492	fish	MOLBOG	sodaʔ
3493	full	MOLBOG	ponuʔ
3494	hand	MOLBOG	loŋon
3495	hear	MOLBOG	doŋog
3496	horn	MOLBOG	tanduk
3497	knee	MOLBOG	bulanbulan tukud
3498	leaf	MOLBOG	doʔun
3499	liver	MOLBOG	atoj
3500	louse	MOLBOG	kutu
3501	mountain	MOLBOG	bukid
3502	name	MOLBOG	ŋadan
3503	new	MOLBOG	bagu
3504	night	MOLBOG	gobi
3505	nose	MOLBOG	oduŋ
3506	one	MOLBOG	isaʔ
3507	path	MOLBOG	dalan
3508	person	MOLBOG	dʒolama
3509	see	MOLBOG	lotog
3510	skin	MOLBOG	kulit
3511	star	MOLBOG	bituʔon
3512	stone	MOLBOG	batu
3513	sun	MOLBOG	odow
3514	tongue	MOLBOG	dilaʔ
3515	tooth	MOLBOG	nipon
3516	tree	MOLBOG	kaju
3517	two	MOLBOG	dua
3518	water	MOLBOG	danum
3519	we	MOLBOG	kaj
3520	you	MOLBOG	ko
3521	I	MOLBOG 2	aku
3522	blood	MOLBOG 2	
3523	bone	MOLBOG 2	tuʔlaŋ
3524	breast	MOLBOG 2	
3525	come	MOLBOG 2	
3526	die	MOLBOG 2	patəj
3527	dog	MOLBOG 2	idəŋ
3528	drink	MOLBOG 2	minum
3529	ear	MOLBOG 2	təliŋa
3530	eye	MOLBOG 2	mata
3531	fire	MOLBOG 2	apuj
3532	fish	MOLBOG 2	sədaʔ
3533	full	MOLBOG 2	
3534	hand	MOLBOG 2	lima
3535	hear	MOLBOG 2	deŋeg
3536	horn	MOLBOG 2	
3537	knee	MOLBOG 2	
3538	leaf	MOLBOG 2	dəʔun
3539	liver	MOLBOG 2	atəj
3540	louse	MOLBOG 2	kutu
3541	mountain	MOLBOG 2	bukid
3542	name	MOLBOG 2	ŋadan
3543	new	MOLBOG 2	baʔgu
3544	night	MOLBOG 2	gebi
3545	nose	MOLBOG 2	əduŋ
3546	one	MOLBOG 2	isaʔ
3547	path	MOLBOG 2	dalan
3548	person	MOLBOG 2	
3549	see	MOLBOG 2	lətəg
3550	skin	MOLBOG 2	kubal
3551	star	MOLBOG 2	bituən
3552	stone	MOLBOG 2	batu
3553	sun	MOLBOG 2	əddəw
3554	tongue	MOLBOG 2	dilaʔ
3555	tooth	MOLBOG 2	nipən
3556	tree	MOLBOG 2	kaju
3557	two	MOLBOG 2	dua
3558	water	MOLBOG 2	danum
3559	we	MOLBOG 2	kai
3560	you	MOLBOG 2	kə
3561	I	MONGOLIAN	pji
3562	blood	MONGOLIAN	tʃus
3563	bone	MONGOLIAN	jas
3564	breast	MONGOLIAN	mem
3565	come	MONGOLIAN	iri
3566	die	MONGOLIAN	
3567	dog	MONGOLIAN	murtux
3568	drink	MONGOLIAN	untLa
3569	ear	MONGOLIAN	Chix
3570	eye	MONGOLIAN	nut
3571	fire	MONGOLIAN	GaL
3572	fish	MONGOLIAN	caGas
3573	full	MONGOLIAN	puthiŋ
3574	hand	MONGOLIAN	Gar
3575	hear	MONGOLIAN	sonso
3576	horn	MONGOLIAN	iwir
3577	knee	MONGOLIAN	uwtug
3578	leaf	MONGOLIAN	nawCh
3579	liver	MONGOLIAN	iLig
3580	louse	MONGOLIAN	pos
3581	mountain	MONGOLIAN	uL
3582	name	MONGOLIAN	nir
3583	new	MONGOLIAN	Sin
3584	night	MONGOLIAN	Sunu
3585	nose	MONGOLIAN	xamar
3586	one	MONGOLIAN	nik
3587	path	MONGOLIAN	cam
3588	person	MONGOLIAN	xuŋ
3589	see	MONGOLIAN	uci
3590	skin	MONGOLIAN	Erjs
3591	star	MONGOLIAN	ot
3592	stone	MONGOLIAN	ChuLu
3593	sun	MONGOLIAN	nar
3594	tongue	MONGOLIAN	xiL
3595	tooth	MONGOLIAN	Sut
3596	tree	MONGOLIAN	mot
3597	two	MONGOLIAN	xojor
3598	water	MONGOLIAN	us
3599	we	MONGOLIAN	pjit
3600	you	MONGOLIAN	Chi
3601	I	MORO MAGINDANAU	aku
3602	blood	MORO MAGINDANAU	
3603	bone	MORO MAGINDANAU	tulan
3604	breast	MORO MAGINDANAU	susu
3605	come	MORO MAGINDANAU	sia
3606	die	MORO MAGINDANAU	mataj
3607	dog	MORO MAGINDANAU	asu
3608	drink	MORO MAGINDANAU	inum
3609	ear	MORO MAGINDANAU	taŋila
3610	eye	MORO MAGINDANAU	mata
3611	fire	MORO MAGINDANAU	apuj
3612	fish	MORO MAGINDANAU	seda
3613	full	MORO MAGINDANAU	napunu
3614	hand	MORO MAGINDANAU	lima
3615	hear	MORO MAGINDANAU	kinug
3616	horn	MORO MAGINDANAU	siduŋ
3617	knee	MORO MAGINDANAU	alub
3618	leaf	MORO MAGINDANAU	laun
3619	liver	MORO MAGINDANAU	ataj limpa
3620	louse	MORO MAGINDANAU	
3621	mountain	MORO MAGINDANAU	palau
3622	name	MORO MAGINDANAU	ŋalan
3623	new	MORO MAGINDANAU	bagu
3624	night	MORO MAGINDANAU	magabi
3625	nose	MORO MAGINDANAU	iluŋ
3626	one	MORO MAGINDANAU	isa
3627	path	MORO MAGINDANAU	lalan
3628	person	MORO MAGINDANAU	lanas
3629	see	MORO MAGINDANAU	ilaj
3630	skin	MORO MAGINDANAU	upis
3631	star	MORO MAGINDANAU	bitu
3632	stone	MORO MAGINDANAU	uatu
3633	sun	MORO MAGINDANAU	sinaŋ
3634	tongue	MORO MAGINDANAU	dila
3635	tooth	MORO MAGINDANAU	ŋipun
3636	tree	MORO MAGINDANAU	kaju
3637	two	MORO MAGINDANAU	dua
3638	water	MORO MAGINDANAU	ig
3639	we	MORO MAGINDANAU	ta
3640	you	MORO MAGINDANAU	ka
3641	I	NAGA	ʔaku
3642	blood	NAGA	duguʔ
3643	bone	NAGA	tuʔlaŋ
3644	breast	NAGA	susu
3645	come	NAGA	ʔabut
3646	die	NAGA	gadan
3647	dog	NAGA	ʔajam
3648	drink	NAGA	ʔinum
3649	ear	NAGA	taliŋa
3650	eye	NAGA	mata
3651	fire	NAGA	kalaju
3652	fish	NAGA	siraʔ
3653	full	NAGA	panuʔ
3654	hand	NAGA	kamut
3655	hear	NAGA	daŋug
3656	horn	NAGA	suŋuj
3657	knee	NAGA	tuhud
3658	leaf	NAGA	dahun
3659	liver	NAGA	katuj
3660	louse	NAGA	kutu
3661	mountain	NAGA	bukid
3662	name	NAGA	ŋaran
3663	new	NAGA	baʔgu
3664	night	NAGA	baŋgi
3665	nose	NAGA	duŋuʔ
3666	one	NAGA	saruʔ
3667	path	NAGA	dalan
3668	person	NAGA	tawu
3669	see	NAGA	hiliŋ
3670	skin	NAGA	kublit
3671	star	NAGA	bituʔun
3672	stone	NAGA	gapuʔ
3673	sun	NAGA	ʔaldaw
3674	tongue	NAGA	dilaʔ
3675	tooth	NAGA	ŋipun
3676	tree	NAGA	kahuj
3677	two	NAGA	duwa
3678	water	NAGA	tubig
3679	we	NAGA	kita
3680	you	NAGA	kamu
3681	I	NORTHERN CATANDUANES	ʔaku
3682	blood	NORTHERN CATANDUANES	duguʔ
3683	bone	NORTHERN CATANDUANES	tuʔraŋ
3684	breast	NORTHERN CATANDUANES	susu
3685	come	NORTHERN CATANDUANES	ʔabut
3686	die	NORTHERN CATANDUANES	daʔan
3687	dog	NORTHERN CATANDUANES	ʔajam
3688	drink	NORTHERN CATANDUANES	ʔinum
3689	ear	NORTHERN CATANDUANES	tariŋa
3690	eye	NORTHERN CATANDUANES	mata
3691	fire	NORTHERN CATANDUANES	karaju
3692	fish	NORTHERN CATANDUANES	ʔisdaʔ
3693	full	NORTHERN CATANDUANES	buta
3694	hand	NORTHERN CATANDUANES	kamut
3695	hear	NORTHERN CATANDUANES	duŋug
3696	horn	NORTHERN CATANDUANES	suŋaj
3697	knee	NORTHERN CATANDUANES	tuhud
3698	leaf	NORTHERN CATANDUANES	dahun
3699	liver	NORTHERN CATANDUANES	ʔataj
3700	louse	NORTHERN CATANDUANES	kutu
3701	mountain	NORTHERN CATANDUANES	burud
3702	name	NORTHERN CATANDUANES	ŋaran
3703	new	NORTHERN CATANDUANES	baʔgu
3704	night	NORTHERN CATANDUANES	gaʔbi
3705	nose	NORTHERN CATANDUANES	ʔiluŋ
3706	one	NORTHERN CATANDUANES	saduʔ
3707	path	NORTHERN CATANDUANES	daran
3708	person	NORTHERN CATANDUANES	tahu
3709	see	NORTHERN CATANDUANES	taʔnaw
3710	skin	NORTHERN CATANDUANES	panit
3711	star	NORTHERN CATANDUANES	bituʔun
3712	stone	NORTHERN CATANDUANES	batu
3713	sun	NORTHERN CATANDUANES	ʔardaw
3714	tongue	NORTHERN CATANDUANES	dilaʔ
3715	tooth	NORTHERN CATANDUANES	tiŋu
3716	tree	NORTHERN CATANDUANES	kahuj
3717	two	NORTHERN CATANDUANES	dawha
3718	water	NORTHERN CATANDUANES	tubig
3719	we	NORTHERN CATANDUANES	kita
3720	you	NORTHERN CATANDUANES	kamu
3721	I	NORTHERN SORSOGON	ʔaku
3722	blood	NORTHERN SORSOGON	duguʔ
3723	bone	NORTHERN SORSOGON	tulʔaŋ
3724	breast	NORTHERN SORSOGON	susu
3725	come	NORTHERN SORSOGON	ʔabut
3726	die	NORTHERN SORSOGON	mataj
3727	dog	NORTHERN SORSOGON	ʔajam
3728	drink	NORTHERN SORSOGON	ʔinum
3729	ear	NORTHERN SORSOGON	taliŋa
3730	eye	NORTHERN SORSOGON	mata
3731	fire	NORTHERN SORSOGON	kalaju
3732	fish	NORTHERN SORSOGON	siraʔ
3733	full	NORTHERN SORSOGON	punuʔ
3734	hand	NORTHERN SORSOGON	kamut
3735	hear	NORTHERN SORSOGON	matiʔ
3736	horn	NORTHERN SORSOGON	suŋaj
3737	knee	NORTHERN SORSOGON	tuhud
3738	leaf	NORTHERN SORSOGON	dahun
3739	liver	NORTHERN SORSOGON	ʔataj
3740	louse	NORTHERN SORSOGON	kutu
3741	mountain	NORTHERN SORSOGON	bulud
3742	name	NORTHERN SORSOGON	ŋaran
3743	new	NORTHERN SORSOGON	bagʔu
3744	night	NORTHERN SORSOGON	gabʔi
3745	nose	NORTHERN SORSOGON	ʔiluŋ
3746	one	NORTHERN SORSOGON	ʔisad
3747	path	NORTHERN SORSOGON	dalan
3748	person	NORTHERN SORSOGON	tawu
3749	see	NORTHERN SORSOGON	kita
3750	skin	NORTHERN SORSOGON	panit
3751	star	NORTHERN SORSOGON	bituʔun
3752	stone	NORTHERN SORSOGON	batu
3753	sun	NORTHERN SORSOGON	ʔadlaw
3754	tongue	NORTHERN SORSOGON	dilaʔ
3755	tooth	NORTHERN SORSOGON	ŋipun
3756	tree	NORTHERN SORSOGON	kahuj
3757	two	NORTHERN SORSOGON	duwa
3758	water	NORTHERN SORSOGON	tubig
3759	we	NORTHERN SORSOGON	kita
3760	you	NORTHERN SORSOGON	kamu
3761	I	OAS	ʔaku
3762	blood	OAS	ruguʔ
3763	bone	OAS	tuʔlaŋ
3764	breast	OAS	susu
3765	come	OAS	ratiŋ
3766	die	OAS	giran
3767	dog	OAS	ʔajam
3768	drink	OAS	ʔinum
3769	ear	OAS	taliŋa
3770	eye	OAS	mata
3771	fire	OAS	kalaju
3772	fish	OAS	ʔisraʔ
3773	full	OAS	punuʔ
3774	hand	OAS	kamit
3775	hear	OAS	riŋig
3776	horn	OAS	suŋuj
3777	knee	OAS	tuʔud
3778	leaf	OAS	dawun
3779	liver	OAS	ʔataj
3780	louse	OAS	kutu
3781	mountain	OAS	bukid
3782	name	OAS	ŋaran
3783	new	OAS	baʔgu
3784	night	OAS	gaʔbi
3785	nose	OAS	ʔuruŋ
3786	one	OAS	ʔisad
3787	path	OAS	raran
3788	person	OAS	tawu
3789	see	OAS	kita
3790	skin	OAS	kulit
3791	star	OAS	bituʔun
3792	stone	OAS	batu
3793	sun	OAS	ʔanriw
3794	tongue	OAS	dilaʔ
3795	tooth	OAS	ŋipin
3796	tree	OAS	kawuj
3797	two	OAS	duwa
3798	water	OAS	tubig
3799	we	OAS	kita
3800	you	OAS	kamu
3801	I	PALAWANO BATAK	aku
3802	blood	PALAWANO BATAK	tagək
3803	bone	PALAWANO BATAK	tulaŋ
3804	breast	PALAWANO BATAK	dudu
3805	come	PALAWANO BATAK	muʔatkakaʔini
3806	die	PALAWANO BATAK	napataj
3807	dog	PALAWANO BATAK	kədəŋ
3808	drink	PALAWANO BATAK	inum
3809	ear	PALAWANO BATAK	taliŋa
3810	eye	PALAWANO BATAK	mata
3811	fire	PALAWANO BATAK	apuj
3812	fish	PALAWANO BATAK	sədaʔ
3813	full	PALAWANO BATAK	
3814	hand	PALAWANO BATAK	alima
3815	hear	PALAWANO BATAK	batiʔ
3816	horn	PALAWANO BATAK	
3817	knee	PALAWANO BATAK	
3818	leaf	PALAWANO BATAK	daun
3819	liver	PALAWANO BATAK	ataj
3820	louse	PALAWANO BATAK	kutu
3821	mountain	PALAWANO BATAK	
3822	name	PALAWANO BATAK	ŋaran
3823	new	PALAWANO BATAK	bagu
3824	night	PALAWANO BATAK	dələm
3825	nose	PALAWANO BATAK	uruŋ
3826	one	PALAWANO BATAK	əsa
3827	path	PALAWANO BATAK	dalan
3828	person	PALAWANO BATAK	taw
3829	see	PALAWANO BATAK	ləgan
3830	skin	PALAWANO BATAK	kulit
3831	star	PALAWANO BATAK	panakonun
3832	stone	PALAWANO BATAK	batu
3833	sun	PALAWANO BATAK	
3834	tongue	PALAWANO BATAK	dilaʔ
3835	tooth	PALAWANO BATAK	nipən
