ID	Concept	Language	IPA
232	stone	BALANGINGI SAMA (1)	batu
233	sun	BALANGINGI SAMA (1)	allaw
234	tongue	BALANGINGI SAMA (1)	dellaʔ
235	tooth	BALANGINGI SAMA (1)	empon
236	tree	BALANGINGI SAMA (1)	kaju
237	two	BALANGINGI SAMA (1)	duwa
238	water	BALANGINGI SAMA (1)	boheʔ
239	we	BALANGINGI SAMA (1)	kitabi
240	you	BALANGINGI SAMA (1)	kaʔa
241	I	BASQUE	nik
242	blood	BASQUE	odol
243	bone	BASQUE	hezur
244	breast	BASQUE	diti
245	come	BASQUE	etorri
246	die	BASQUE	hil
247	dog	BASQUE	zakur
248	drink	BASQUE	edan
249	ear	BASQUE	belarri
250	eye	BASQUE	begi
251	fire	BASQUE	su
252	fish	BASQUE	arrain
253	full	BASQUE	beterik
254	hand	BASQUE	esku
255	hear	BASQUE	encun
256	horn	BASQUE	adar
257	knee	BASQUE	belaun
258	leaf	BASQUE	hosto
259	liver	BASQUE	gibel
260	louse	BASQUE	zorri
261	mountain	BASQUE	mendi
262	name	BASQUE	izen
263	new	BASQUE	berri
264	night	BASQUE	gau
265	nose	BASQUE	sudur
266	one	BASQUE	bat
267	path	BASQUE	basabide
268	person	BASQUE	gizaki
269	see	BASQUE	ikusi
270	skin	BASQUE	azal
271	star	BASQUE	izar
272	stone	BASQUE	harri
273	sun	BASQUE	eguzki
274	tongue	BASQUE	mihi
275	tooth	BASQUE	horc
276	tree	BASQUE	zuhaic
277	two	BASQUE	bi
278	water	BASQUE	ur
279	we	BASQUE	gu
280	you	BASQUE	zuek
281	I	BATAK PALAWAN	aku
282	blood	BATAK PALAWAN	tagək
283	bone	BATAK PALAWAN	tuʔlaŋ
284	breast	BATAK PALAWAN	dudu
285	come	BATAK PALAWAN	
286	die	BATAK PALAWAN	
287	dog	BATAK PALAWAN	kəʔdəŋ
288	drink	BATAK PALAWAN	inum
289	ear	BATAK PALAWAN	taliŋa
290	eye	BATAK PALAWAN	mata
291	fire	BATAK PALAWAN	apuj
292	fish	BATAK PALAWAN	sədaʔ
293	full	BATAK PALAWAN	pəgpəg
294	hand	BATAK PALAWAN	alima
295	hear	BATAK PALAWAN	batiʔ
