ID	Concept	Language	form
746	breast	BASQUE	diti
747	burn	BASQUE	erre
748	cloud	BASQUE	hodei
749	cold	BASQUE	odolgabe
750	come	BASQUE	etorri
751	die	BASQUE	hil
752	dog	BASQUE	zakur
753	drink	BASQUE	edan
754	dry	BASQUE	lehor
755	ear	BASQUE	belarri
756	earth	BASQUE	lurbira
757	eat	BASQUE	janari
758	egg	BASQUE	arraulca
759	eye	BASQUE	begi
760	feather	BASQUE	luma
761	fire	BASQUE	su
762	fish	BASQUE	arrain
763	flesh	BASQUE	haragi
764	fly	BASQUE	hegan
765	foot	BASQUE	oin
766	full	BASQUE	beterik
767	good	BASQUE	on
768	grease	BASQUE	gancu
769	green	BASQUE	orlegi
770	hair	BASQUE	ile
771	hand	BASQUE	esku
772	head	BASQUE	buru
773	hear	BASQUE	encun
774	horn	BASQUE	adar
775	hot	BASQUE	bero
776	kill	BASQUE	hilarazi
777	knee	BASQUE	belaun
778	know	BASQUE	jakin
779	leaf	BASQUE	hosto
780	lie	BASQUE	ecan
781	liver	BASQUE	gibel
782	long	BASQUE	luze
783	louse	BASQUE	zorri
784	man	BASQUE	gizon
785	moon	BASQUE	ilargi
786	mountain	BASQUE	mendi
787	mouth	BASQUE	aho
788	name	BASQUE	izen
789	neck	BASQUE	lepo
790	new	BASQUE	berri
791	night	BASQUE	gau
792	nose	BASQUE	sudur
793	not	BASQUE	ez
794	one	BASQUE	bat
795	path	BASQUE	basabide
796	person	BASQUE	gizaki
797	rain	BASQUE	euri
798	red	BASQUE	gorri
799	root	BASQUE	erreboil
800	sand	BASQUE	hondar
801	say	BASQUE	esan
802	see	BASQUE	ikusi
803	sit	BASQUE	jarri
804	skin	BASQUE	azal
805	sleep	BASQUE	lo
806	small	BASQUE	Ciki
807	smoke	BASQUE	pipaldi
808	stand	BASQUE	zutik
809	star	BASQUE	izar
810	stone	BASQUE	harri
811	sun	BASQUE	eguzki
812	swim	BASQUE	igerika
813	tail	BASQUE	buztan
814	that	BASQUE	hori
815	this	BASQUE	hauSe
816	tongue	BASQUE	mihi
817	tooth	BASQUE	horc
818	tree	BASQUE	zuhaic
819	two	BASQUE	bi
820	walk	BASQUE	ibili
821	water	BASQUE	ur
822	we	BASQUE	gu
823	what	BASQUE	zer
824	white	BASQUE	zuri
825	who	BASQUE	nork
826	woman	BASQUE	andre
827	yellow	BASQUE	hori
828	you	BASQUE	zuek
829	I	BATAK PALAWAN	aku
836	blood	BATAK PALAWAN	tagək
837	bone	BATAK PALAWAN	tuʔlaŋ
838	breast	BATAK PALAWAN	dudu
844	dog	BATAK PALAWAN	kəʔdəŋ
