ID	CONCEPT	DOCULECT	FORM	TOKENS
5002	blood	TAMBUNAN DUSUN	raha	r a h a
5042	blood	TAUSUG	duguʔ	d u g u ʔ
5082	blood	TAUT BATU	duguʔ	d u g u ʔ
5122	blood	TBOLI TAGABILI	litoʔ	l i t o ʔ
5162	blood	TIMUGON MURUT	dadaʔ	d a d a ʔ
5202	blood	TIRURAY	dara	d a r a
5242	blood	TURKISH	kan	k a n
5282	blood	UGARITIC	dm	d m
5322	blood	WARAY WARAY	dugo	d u g o
5362	blood	YAKAN	lahaʔ	l a h a ʔ
5402	blood	YOGAD	daga	d a g a
5442	blood	ZAMBOANGUENO	sa*ŋre	s a ŋ r e
5482	blood	IMOROD	rala	r a l a
5522	blood	BABUYAN	raja	r a j a
5562	blood	BISAYA SABAH	dra	d r a
5602	blood	FINALLIG	Cara	c a r a
5642	blood	HILIGAYNON	dugoʔ	d u g o ʔ
5682	blood	INABAKNON	lahaʔ	l a h a ʔ
5722	blood	IRARALAY IVATAN	rala	r a l a
5762	blood	ISAMORONG IVATAN	raja	r a j a
5802	blood	IVASAY IVATAN	raja	r a j a
5842	blood	KANKANAEY	dada	d a d a
5882	blood	LIMOS KALINGA	dala	d a l a
5922	blood	MANDAYAN BOSO	duguʔ	d u g u ʔ
5962	blood	MANDAYAN CARAGA	duguʔ	d u g u ʔ
6002	blood	MANDAYAN ISLAM PISO	duguʔ	d u g u ʔ
6042	blood	MANSAKA 2	duguʔ	d u g u ʔ
6082	blood	PROTO SOUTHERN MINDANAO	litaʔ	l i t a ʔ
6122	blood	SINAUNA	duguʔ	d u g u ʔ
6162	blood	SOUTHERN KALINGA	Cara	c a r a
3	bone	AGTA	tulaŋ	t u l a ŋ
43	bone	AKLANON	tuʔan	t u ʔ a n
83	bone	ATTA PAMPLONA	tulaŋ	t u l a ŋ
123	bone	BALANGAW	toŋal	t o ŋ a l
163	bone	BALANGINGI SAMA	bokog	b o k o g
203	bone	BALANGINGI SAMA (1)	bokog	b o k o g
243	bone	BASQUE	hezur	h e z u r
283	bone	BATAK PALAWAN	tuʔlaŋ	t u ʔ l a ŋ
323	bone	BILAAN KORONADAL	tulon	t u l o n
363	bone	BILAAN SARANGANI	tulan	t u l a n
403	bone	BINUKID	tulʔan	t u l ʔ a n
443	bone	BONGGI	tulagn	t u l a g n
483	bone	BONTOC GUINAANG	toŋʔal	t o ŋ ʔ a l
523	bone	BROOKES POINT PALAWAN	tulaŋ	t u l a ŋ
563	bone	BUHI	tuʔwaŋ	t u ʔw a ŋ
603	bone	BUHINON ALBAY BICOLANO	toʔwaŋ	t o ʔw a ŋ
643	bone	BUKIDNON BINUKID	tulʔan	t u l ʔ a n
683	bone	BUTUANON	bukog	b u k o g
723	bone	CAIJIA	kuituo	k u i t u o
763	bone	CANIPAAN PALAWAN	tulaŋ	t u l a ŋ
803	bone	CASIGURAN NEGRITO	tulaŋ	t u l a ŋ
