language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
SUBANUN SINDANGAN,0,5.555555556,9.090909091,2.307692308,2.787908875,,0,1.164981853,2.433084109,11.42,123
SURIGAONON,0,5.882352941,3.225806452,1.730769231,2.137126036,,0,1.942601251,0.699555008,17.08,121.17
TAGABAWA,0,3.448275862,7.142857143,1.346153846,2.192645048,,0,0.958715145,2.643703458,10.25,123
TAGABILI,0,2.777777778,6.060606061,1.538461538,2.609769614,,0,0.474875726,1.732775376,12.42,124.17
TAGALOG,0,5,8.108108108,1.923076923,2.31702174,,0,1.327964699,2.669388499,7.08,125.58
TAGBANUA ABORLAN,0,6.060606061,6.666666667,0.961538462,1.626109089,,0,3.135747554,3.50845355,16.75,120.58
TAGBANWA ABORLAN,0,5.555555556,6.060606061,1.538461538,2.174296232,,0,1.847537589,2.079819878,7.33,126.5
TAGBANWA KALAMIAN,0,5.714285714,6.25,2.692307692,3.455300647,,0,0.874591918,1.029633213,6.83,125.17
TALAANDIG BINUKID,0,5.128205128,8.333333333,1.153846154,1.297186304,,0,3.063830509,5.534661564,14.58,121.42
TAMBUNAN DUSUN,0,5.882352941,3.225806452,1.346153846,1.940625065,,0,2.33749382,0.968581021,17.42,121.33
TAUSUG,0,5.555555556,6.060606061,1.730769231,2.368327334,,0,1.614973687,1.828225672,,
TAUT BATU,0,6.451612903,6.896551724,0.576923077,1.096322524,,0,5.358541576,5.764388223,,
TBOLI TAGABILI,0,2.941176471,6.451612903,1.730769231,2.955329822,,0,0.409567565,1.597399937,,
TIMUGON MURUT,0,2.941176471,3.225806452,1.730769231,2.137126036,,0,0.566371482,0.699555008,,
TIRURAY,5.128205128,5.128205128,5.555555556,1.923076923,2.531848418,,1.265924209,1.265924209,1.434714103,,
WARAY WARAY,0,5.714285714,3.125,1.538461538,2.174296232,,0,1.920540594,0.729679074,,
YAKAN,0,5.882352941,6.451612903,1.538461538,1.919869119,,0,2.262597673,2.559107449,,
YOGAD,0,5.405405405,5.882352941,1.153846154,1.940625065,,0,2.190819509,2.436589568,,
IMOROD,0,6.451612903,7.142857143,0.961538462,1.626109089,,0,3.376203035,3.801293974,,
BABUYAN,0,6.666666667,7.407407407,0.961538462,1.626109089,,0,3.50845355,3.963983099,,
BISAYA SABAH,0,6.666666667,7.142857143,1.538461538,1.919869119,,0,2.671122253,2.919155034,,
FINALLIG,0,6.666666667,7.407407407,2.115384615,1.721843079,,0,2.643261808,3.073464043,,
HILIGAYNON,0,3.225806452,0,1.153846154,1.940625065,,0,1.067676769,0,,
INABAKNON,0,3.333333333,3.703703704,1.538461538,1.626109089,,0,1.103783139,1.331547914,,
IRARALAY IVATAN,0,6.666666667,7.407407407,0.961538462,1.626109089,,0,3.50845355,3.963983099,,
ISAMORONG IVATAN,0,6.451612903,7.142857143,0.961538462,1.626109089,,0,3.376203035,3.801293974,,
IVASAY IVATAN,0,6.666666667,7.142857143,0.769230769,1.200961154,,0,4.910596717,5.307104526,,
KANKANAEY,0,6.451612903,3.571428571,1.346153846,1.940625065,,0,2.630832277,1.146679369,,
LIMOS KALINGA,0,6.451612903,7.142857143,1.538461538,1.626109089,,0,3.021415598,3.446506537,,
MANDAYAN BOSO,0,9.677419355,7.142857143,1.730769231,2.578883678,,0,3.081430229,2.098616528,,
MANDAYAN CARAGA,0,10.34482759,7.692307692,1.730769231,2.578883678,,0,3.340227568,2.311674044,,
MANDAYAN ISLAM PISO,0,10,7.407407407,1.730769231,2.578883678,,0,3.20651561,2.201199777,,
MANSAKA 2,0,9.677419355,7.142857143,1.730769231,2.578883678,,0,3.081430229,2.098616528,,
PROTO SOUTHERN MINDANAO,0,3.448275862,3.846153846,0.961538462,1.265924209,,0,1.964365152,2.278663576,,
SINAUNA,0,3.448275862,3.846153846,1.153846154,1.650563229,,0,1.390088951,1.631144838,,
SOUTHERN KALINGA,0,6.666666667,7.407407407,1.923076923,1.497861724,,0,3.166907645,3.661439769,,
