language,similiarity_to_spanish,n_span,similiarity_to_english,n_eng,similiarity_to_japanese,n_jap,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap,latitude,longitude
ILOKANO,2.941176471,34,2.941176471,34,6.451612903,31,1.086956522,0.99225101,,1.86870049,1.86870049,5.406551697,16,121
ILONGOT KAKIDUGEN,0,35,2.857142857,35,12.5,32,1.086956522,0.99225101,,0,1.784010616,11.50217371,16.33,121.42
INIBALOI,2.777777778,36,2.777777778,36,9.090909091,33,1.086956522,0.99225101,,1.704025734,1.704025734,8.066459483,16.42,120.67
IRANUN,2.941176471,34,2.941176471,34,6.451612903,31,1.086956522,0.99225101,,1.86870049,1.86870049,5.406551697,6.35,116.433
IRIGA,2.5,40,2.5,40,8.108108108,37,1.337792642,1.34257437,,0.865655851,0.865655851,5.042786172,13.33,123.33
ISNAG,2.5,40,2.5,40,8.108108108,37,1.337792642,1.007400757,,1.153669332,1.153669332,6.720578104,18.25,121
ITAWIT,2.941176471,34,5.882352941,34,9.677419355,31,1.003344482,1.037036508,,1.868624657,4.704760557,8.364290751,17.75,121.5
ITNEG BINONGAN,2.857142857,35,2.857142857,35,12.5,32,1.254180602,1.161073932,,1.380585862,1.380585862,9.685704834,17.67,120.97
KADAZAN,2.5,40,2.5,40,8.108108108,37,1.170568562,1.290806709,,1.029922938,1.029922938,5.374576611,5.92,117.17
KAGAYANEN,2.5,40,5,40,8.108108108,37,1.170568562,1.36495215,,0.973976588,2.805542625,5.082624724,10.5,119.83
KALAGAN,5.555555556,36,2.777777778,36,6.060606061,33,1.254180602,1.319817223,,3.259068663,1.154400131,3.641735669,6.24,125.42
KALINGA GUINAANG,2.777777778,36,2.777777778,36,12.12121212,33,1.337792642,1.10080366,,1.308121682,1.308121682,9.795951696,17.42,121.08
KALINGA LIMOS,2.5,40,2.5,40,10.81081081,37,1.588628763,1.376004575,,0.662331546,0.662331546,6.702144903,17.5,121
KALLAHAN KAYAPA PROPER,2.777777778,36,2.777777778,36,6.060606061,33,1.421404682,1.28492601,,1.055604047,1.055604047,3.610481338,16.33,120.83
KANKANAY NORTHERN,2.777777778,36,2.777777778,36,6.060606061,33,1.337792642,1.26712017,,1.136423498,1.136423498,3.727202464,17.3,120.8
KAPAMPANGAN,3.488372093,86,3.529411765,85,4.819277108,83,1.421404682,0.929185233,,2.224494468,2.268661842,3.65682999,15.33,120.5
KINARAY A,0,29,0,29,10.71428571,28,0.752508361,0.929185233,,0,0,10.72098114,10.83,122.33
LEGAZPI,0,40,5,40,8.108108108,37,1.672240803,1.302488455,,0,2.55492414,4.941208714,13.33,123.5
LIBON,2.5,40,2.5,40,8.108108108,37,1.337792642,1.34257437,,0.865655851,0.865655851,5.042786172,13.17,123.5
MAMANWA,2.777777778,36,2.777777778,36,6.060606061,33,1.505016722,1.370489504,,0.928690845,0.928690845,3.324059998,9.42,125.5
MANIDE,3.571428571,28,3.571428571,28,3.703703704,27,0.752508361,0.816377844,,3.45296021,3.45296021,3.614987062,14.17,122.83
MANOBO ATA,2.777777778,36,2.777777778,36,9.090909091,33,1.254180602,1.461417917,,1.042547212,1.042547212,5.362414403,7.67,125.5
MANOBO DIBABAWON,2.777777778,36,2.777777778,36,9.090909091,33,1.755852843,1.370489504,,0.745664182,0.745664182,5.352143322,7.83,126
MANOBO ILIANEN,2.777777778,36,2.777777778,36,9.090909091,33,1.421404682,1.740523411,,0.779290349,0.779290349,4.406435651,7.33,124.83
MANOBO KALAMANSIG COTABATO,2.777777778,36,2.777777778,36,9.090909091,33,1.505016722,1.50733749,,0.844376965,0.844376965,5.032643598,6.08,124.83
MANOBO SARANGANI,2.777777778,36,2.777777778,36,9.090909091,33,1.588628763,1.637387628,,0.72624771,0.72624771,4.581859666,5.83,125.42
