ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
1244	breast	ESKAYAN	palda	p a l d a	1 7 5 1 7	AXMBZ	PALTA	34	34.P.C 34.A.V 34.L.c 34.T.C 34.A.V	2.0 1.5 1.1 1.75 0.8	palda	0	462
1284	breast	ESTONIAN	rind	r i n d	5 7 4 1	AXLN	RINT	35	35.R.C 35.I.V 35.N.c 35.T.c	2.0 1.5 1.1 0.8	rind	0	463
1324	breast	FINNISH	rinta	r i n t a	5 7 4 1 7	AXMBZ	RINTA	37	37.R.C 37.I.V 37.N.c 37.T.C 37.A.V	2.0 1.5 1.1 1.75 0.8	rinta	0	465
1364	breast	FUZHOU CHINESE	neiŋ	n e i ŋ	4 7 7 4	AXYN	NEIN	38	38.N.C 38.E.V 38.I.V 38.N.c	2.0 1.5 1.3 0.8	neiŋ	0	466
1404	breast	GADDANG	gatat	g a t a t	1 7 1 7 1	AXBYN	KATAT	39	39.K.C 39.A.V 39.T.C 39.A.V 39.T.c	2.0 1.5 1.75 1.3 0.8	gatat	0	459
1444	breast	HANUNOO	susu	s u s u	3 7 3 7	AXBZ	SYSY	40	40.S.C 40.Y.V 40.S.C 40.Y.V	2.0 1.5 1.75 0.8	susu	0	471
1524	breast	HUNGARIAN	mel	m e l	4 7 5	AXN	MEL	43	43.M.C 43.E.V 43.L.c	2.0 1.5 0.8	mel	0	470
1564	breast	IBALOI	soso	s o s o	3 7 3 7	AXBZ	SUSU	44	44.S.C 44.U.V 44.S.C 44.U.V	2.0 1.5 1.75 0.8	soso	0	471
1604	breast	IBANAG	susu	s u s u	3 7 3 7	AXBZ	SYSY	45	45.S.C 45.Y.V 45.S.C 45.Y.V	2.0 1.5 1.75 0.8	susu	0	471
1644	breast	IDAAN	tusu	t u s u	1 7 3 7	AXBZ	TYSY	46	46.T.C 46.Y.V 46.S.C 46.Y.V	2.0 1.5 1.75 0.8	tusu	0	473
1684	breast	IFUGAO AMGANAD	palagpag	p a l a g p a g	1 7 5 7 1 1 7 1	AXBYMBYN	PALAKPAK	47	47.P.C 47.A.V 47.L.C 47.A.V 47.K.c 47.P.C 47.A.V 47.K.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	palagpag	0	474
