ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
7775,louse,PROTO PALAWAN,kutu,k u t u,1 7 1 7,AXBZ,KYTY,96.0,96.K.C 96.Y.V 96.T.C 96.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
7867,louse,QUEZON PALAWAN,kutu,k u t u,1 7 1 7,AXBZ,KYTY,97.0,97.K.C 97.Y.V 97.T.C 97.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
7959,louse,ROMBLOMANON 2,tuma,t u m a,1 7 4 7,AXBZ,TYMA,98.0,98.T.C 98.Y.V 98.M.C 98.A.V,2.0 1.5 1.75 0.8,tuma,0.0,2411.0
8051,louse,SAMAL,kutu,k u t u,1 7 1 7,AXBZ,KYTY,99.0,99.K.C 99.Y.V 99.T.C 99.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
8143,louse,SAMBAL BOTOLAN,koto,k o t o,1 7 1 7,AXBZ,KUTU,100.0,100.K.C 100.U.V 100.T.C 100.U.V,2.0 1.5 1.75 0.8,koto,0.0,2370.0
8235,louse,SANGIL SARANGANI ISLANDS,kutuʔ,k u t u ʔ,1 7 1 7 1,AXBYN,KYTYH,101.0,101.K.C 101.Y.V 101.T.C 101.Y.V 101.H.c,2.0 1.5 1.75 1.3 0.8,kutuʔ,0.0,2370.0
8327,louse,SEDANG,Sro,r o,5 7,AX,RU,102.0,102.R.C 102.U.V,2.0 1.5,ro,0.0,2462.0
8419,louse,SIBUTU SOUTHERN SAMA,kutu,k u t u,1 7 1 7,AXBZ,KYTY,103.0,103.K.C 103.Y.V 103.T.C 103.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
8511,louse,SOGODNIN BORACAY,koto,k o t o,1 7 1 7,AXBZ,KUTU,105.0,105.K.C 105.U.V 105.T.C 105.U.V,2.0 1.5 1.75 0.8,koto,0.0,2370.0
8603,louse,SOUTH SAAMI,dikiə,d i k i ə,1 7 1 7 7,AXBYZ,TIKIE,106.0,106.T.C 106.I.V 106.K.C 106.I.V 106.E.V,2.0 1.5 1.75 1.3 0.8,dikiə,0.0,2466.0
8695,louse,SOUTHERN CATANDUANES,kutu,k u t u,1 7 1 7,AXBZ,KYTY,107.0,107.K.C 107.Y.V 107.T.C 107.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
8787,louse,SOUTHERN SORSOGON,kutu,k u t u,1 7 1 7,AXBZ,KYTY,109.0,109.K.C 109.Y.V 109.T.C 109.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
8879,louse,SOUTHWEST PALAWANO,kuto,k u t o,1 7 1 7,AXBZ,KYTU,110.0,110.K.C 110.Y.V 110.T.C 110.U.V,2.0 1.5 1.75 0.8,kuto,0.0,2370.0
8971,louse,SPANISH,pioho,p i o h o,1 7 7 3 7,AXYBZ,PIUHU,111.0,111.P.C 111.I.V 111.U.V 111.H.C 111.U.V,2.0 1.5 1.3 1.75 0.8,pioho,0.0,2471.0
9063,louse,SUBANON SIOCON,gotu,g o t u,1 7 1 7,AXBZ,KUTY,112.0,112.K.C 112.U.V 112.T.C 112.Y.V,2.0 1.5 1.75 0.8,gotu,0.0,2370.0
9155,louse,SUBANUN SINDANGAN,gutu,g u t u,1 7 1 7,AXBZ,KYTY,113.0,113.K.C 113.Y.V 113.T.C 113.Y.V,2.0 1.5 1.75 0.8,gutu,0.0,2370.0
9247,louse,SURIGAONON,kuto,k u t o,1 7 1 7,AXBZ,KYTU,114.0,114.K.C 114.Y.V 114.T.C 114.U.V,2.0 1.5 1.75 0.8,kuto,0.0,2370.0
9431,louse,TAGABILI,kutuh,k u t u h,1 7 1 7 3,AXBYN,KYTYH,116.0,116.K.C 116.Y.V 116.T.C 116.Y.V 116.H.c,2.0 1.5 1.75 1.3 0.8,kutuh,0.0,2370.0
9523,louse,TAGALOG,kuto,k u t o,1 7 1 7,AXBZ,KYTU,117.0,117.K.C 117.Y.V 117.T.C 117.U.V,2.0 1.5 1.75 0.8,kuto,0.0,2370.0
9615,louse,TAGBANWA ABORLAN,kutu,k u t u,1 7 1 7,AXBZ,KYTY,118.0,118.K.C 118.Y.V 118.T.C 118.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
9707,louse,TAGBANWA KALAMIAN,tutʔ,t u t ʔ,1 7 1 1,AXLN,TYTH,119.0,119.T.C 119.Y.V 119.T.c 119.H.c,2.0 1.5 1.1 0.8,tutʔ,0.0,2478.0
9799,louse,TAUSUG,kutuh,k u t u h,1 7 1 7 3,AXBYN,KYTYH,120.0,120.K.C 120.Y.V 120.T.C 120.Y.V 120.H.c,2.0 1.5 1.75 1.3 0.8,kutuh,0.0,2370.0
9891,louse,TIMUGON MURUT,kutu,k u t u,1 7 1 7,AXBZ,KYTY,121.0,121.K.C 121.Y.V 121.T.C 121.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
9983,louse,TIRURAY,kuwor,k u w o r,1 7 6 7 5,AXBYN,KYWUR,122.0,122.K.C 122.Y.V 122.W.C 122.U.V 122.R.c,2.0 1.5 1.75 1.3 0.8,kuwor,0.0,2481.0
10075,louse,TURKISH,bit,b i t,1 7 1,AXN,PIT,123.0,123.P.C 123.I.V 123.T.c,2.0 1.5 0.8,bit,0.0,2449.0
10351,louse,WARAY WARAY,tuma,t u m a,1 7 4 7,AXBZ,TYMA,126.0,126.T.C 126.Y.V 126.M.C 126.A.V,2.0 1.5 1.75 0.8,tuma,0.0,2411.0
10443,louse,YAKAN,kutu,k u t u,1 7 1 7,AXBZ,KYTY,127.0,127.K.C 127.Y.V 127.T.C 127.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
10535,louse,YOGAD,tuma,t u m a,1 7 4 7,AXBZ,TYMA,128.0,128.T.C 128.Y.V 128.M.C 128.A.V,2.0 1.5 1.75 0.8,tuma,0.0,2411.0
10627,louse,ZAMBOANGUENO,kutu,k u t u,1 7 1 7,AXBZ,KYTY,129.0,129.K.C 129.Y.V 129.T.C 129.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
10719,louse,IMOROD,toma,t o m a,1 7 4 7,AXBZ,TUMA,46.0,46.T.C 46.U.V 46.M.C 46.A.V,2.0 1.5 1.75 0.8,toma,0.0,2411.0
10811,louse,BABUYAN,bigaw,b i g a w,1 7 1 7 6,AXBYN,PIKAW,5.0,5.P.C 5.I.V 5.K.C 5.A.V 5.W.c,2.0 1.5 1.75 1.3 0.8,bigaw,0.0,2374.0
10995,louse,CAPIZNON,kuto,k u t o,1 7 1 7,AXBZ,KYTU,21.0,21.K.C 21.Y.V 21.T.C 21.U.V,2.0 1.5 1.75 0.8,kuto,0.0,2370.0
11087,louse,FINALLIG,koto,k o t o,1 7 1 7,AXBZ,KUTU,31.0,31.K.C 31.U.V 31.T.C 31.U.V,2.0 1.5 1.75 0.8,koto,0.0,2370.0
11271,louse,INABAKNON,kuspad,k u s p a d,1 7 3 1 7 1,AXMBYN,KYSPAT,47.0,47.K.C 47.Y.V 47.S.c 47.P.C 47.A.V 47.T.c,2.0 1.5 1.1 1.75 1.3 0.8,kuspad,0.0,2412.0
11363,louse,KALAGAN KAAGAN,babəŋ,b a b ə ŋ,1 7 1 7 4,AXBYN,PAPEN,58.0,58.P.C 58.A.V 58.P.C 58.E.V 58.N.c,2.0 1.5 1.75 1.3 0.8,babəŋ,0.0,2421.0
11455,louse,KANKANAEY,koto,k o t o,1 7 1 7,AXBZ,KUTU,62.0,62.K.C 62.U.V 62.T.C 62.U.V,2.0 1.5 1.75 0.8,koto,0.0,2370.0
11547,louse,MANDAYAN BOSO,kutu,k u t u,1 7 1 7,AXBZ,KYTY,71.0,71.K.C 71.Y.V 71.T.C 71.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
11639,louse,MANDAYAN ISLAM PISO,kutu,k u t u,1 7 1 7,AXBZ,KYTY,72.0,72.K.C 72.Y.V 72.T.C 72.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
11731,louse,SINAUNA,kutu,k u t u,1 7 1 7,AXBZ,KYTY,104.0,104.K.C 104.Y.V 104.T.C 104.Y.V,2.0 1.5 1.75 0.8,kutu,0.0,2370.0
11823,louse,SOUTHERN KALINGA,utu,u t u,7 1 7,XBZ,YTY,108.0,108.Y.V 108.T.C 108.Y.V,1.5 1.75 0.8,utu,0.0,2370.0
784,man,BASQUE,gizon,g i z o n,1 7 3 7 4,AXBYN,KISUN,10.0,10.K.C 10.I.V 10.S.C 10.U.V 10.N.c,2.0 1.5 1.75 1.3 0.8,gizon,0.0,2482.0
1428,man,BUKIDNON BINUKID,maʔama,m a ʔ a m a,4 7 1 7 4 7,AXBYBZ,MAHAMA,18.0,18.M.C 18.A.V 18.H.C 18.A.V 18.M.C 18.A.V,2.0 1.5 1.75 1.3 1.75 0.8,maʔama,0.0,2483.0
2256,man,ENGLISH,mEn,m n,4 4,AN,MN,28.0,28.M.C 28.N.c,2.0 0.8,mn,0.0,2484.0
2440,man,ESTONIAN,mes,m e s,4 7 3,AXN,MES,30.0,30.M.C 30.E.V 30.S.c,2.0 1.5 0.8,mes,0.0,2485.0
2532,man,FINNISH,mies,m i e s,4 7 7 3,AXYN,MIES,32.0,32.M.C 32.I.V 32.E.V 32.S.c,2.0 1.5 1.3 0.8,mies,0.0,2485.0
2808,man,HANUNOO,lalaki,l a l a k i,5 7 5 7 1 7,AXBYBZ,LALAKI,35.0,35.L.C 35.A.V 35.L.C 35.A.V 35.K.C 35.I.V,2.0 1.5 1.75 1.3 1.75 0.8,lalaki,0.0,2487.0
2900,man,HIGAONON BINUKID,maʔama,m a ʔ a m a,4 7 1 7 4 7,AXBYBZ,MAHAMA,36.0,36.M.C 36.A.V 36.H.C 36.A.V 36.M.C 36.A.V,2.0 1.5 1.75 1.3 1.75 0.8,maʔama,0.0,2483.0
2992,man,HUNGARIAN,mies,m i e s,4 7 7 3,AXYN,MIES,38.0,38.M.C 38.I.V 38.E.V 38.S.c,2.0 1.5 1.3 0.8,mies,0.0,2485.0
4280,man,JAPANESE,hito,h i t o,3 7 1 7,AXBZ,HITU,54.0,54.H.C 54.I.V 54.T.C 54.U.V,2.0 1.5 1.75 0.8,hito,0.0,2491.0
5016,man,KAPAMPANGAN,lalaki,l a l a k i,5 7 5 7 1 7,AXBYBZ,LALAKI,64.0,64.L.C 64.A.V 64.L.C 64.A.V 64.K.C 64.I.V,2.0 1.5 1.75 1.3 1.75 0.8,lalaki,0.0,2487.0
5200,man,KOREAN,namdʒa,n a m dʒ a,4 7 4 1 7,AXMBZ,NAMTA,66.0,66.N.C 66.A.V 66.M.c 66.T.C 66.A.V,2.0 1.5 1.1 1.75 0.8,namdʒa,0.0,2493.0
6856,man,MOKSHA,alja,a l j a,7 5 6 7,XBCZ,ALJA,86.0,86.A.V 86.L.C 86.J.C 86.A.V,1.5 1.75 1.5 0.8,alja,0.0,2494.0
8328,man,SEDANG,konou,k o n o u,1 7 4 7 7,AXBYZ,KUNUY,102.0,102.K.C 102.U.V 102.N.C 102.U.V 102.Y.V,2.0 1.5 1.75 1.3 0.8,konou,0.0,2495.0
8972,man,SPANISH,ombre,o m b r e,7 4 1 5 7,XMBCZ,UMPRE,111.0,111.U.V 111.M.c 111.P.C 111.R.C 111.E.V,1.5 1.1 1.75 1.5 0.8,ombre,0.0,2496.0
9524,man,TAGALOG,lalaki,l a l a k i,5 7 5 7 1 7,AXBYBZ,LALAKI,117.0,117.L.C 117.A.V 117.L.C 117.A.V 117.K.C 117.I.V,2.0 1.5 1.75 1.3 1.75 0.8,lalaki,0.0,2487.0
10076,man,TURKISH,erkek,e r k e k,7 5 1 7 1,XMBYN,ERKEK,123.0,123.E.V 123.R.c 123.K.C 123.E.V 123.K.c,1.5 1.1 1.75 1.3 0.8,erkek,0.0,2498.0
10720,man,IMOROD,mehakaj,m e h a k a j,4 7 3 7 1 7 6,AXBYBYN,MEHAKAJ,46.0,46.M.C 46.E.V 46.H.C 46.A.V 46.K.C 46.A.V 46.J.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,mehakaj,0.0,2483.0
785,moon,BASQUE,ilargi,i l a r g i,7 5 7 5 1 7,XBYMBZ,ILARKI,10.0,10.I.V 10.L.C 10.A.V 10.R.c 10.K.C 10.I.V,1.5 1.75 1.3 1.1 1.75 0.8,ilargi,0.0,2499.0
1429,moon,BUKIDNON BINUKID,bulan,b u l a n,1 7 5 7 4,AXBYN,PYLAN,18.0,18.P.C 18.Y.V 18.L.C 18.A.V 18.N.c,2.0 1.5 1.75 1.3 0.8,bulan,0.0,2500.0
2257,moon,ENGLISH,mun,m u n,4 7 4,AXN,MYN,28.0,28.M.C 28.Y.V 28.N.c,2.0 1.5 0.8,mun,0.0,2501.0
2441,moon,ESTONIAN,ku,k u,1 7,AX,KY,30.0,30.K.C 30.Y.V,2.0 1.5,ku,0.0,2502.0
2533,moon,FINNISH,kuu,k uu,1 7,AX,KY,32.0,32.K.C 32.Y.V,2.0 1.5,kuu,0.0,2502.0
2809,moon,HANUNOO,bulan,b u l a n,1 7 5 7 4,AXBYN,PYLAN,35.0,35.P.C 35.Y.V 35.L.C 35.A.V 35.N.c,2.0 1.5 1.75 1.3 0.8,bulan,0.0,2500.0
2901,moon,HIGAONON BINUKID,bulan,b u l a n,1 7 5 7 4,AXBYN,PYLAN,36.0,36.P.C 36.Y.V 36.L.C 36.A.V 36.N.c,2.0 1.5 1.75 1.3 0.8,bulan,0.0,2500.0
2993,moon,HUNGARIAN,hold,h o l d,3 7 5 1,AXLN,HULT,38.0,38.H.C 38.U.V 38.L.c 38.T.c,2.0 1.5 1.1 0.8,hold,0.0,2506.0
4281,moon,JAPANESE,cuki,c u k i,1 7 1 7,AXBZ,CYKI,54.0,54.C.C 54.Y.V 54.K.C 54.I.V,2.0 1.5 1.75 0.8,cuki,0.0,2508.0
5017,moon,KAPAMPANGAN,bulan,b u l a n,1 7 5 7 4,AXBYN,PYLAN,64.0,64.P.C 64.Y.V 64.L.C 64.A.V 64.N.c,2.0 1.5 1.75 1.3 0.8,bulan,0.0,2500.0
5201,moon,KOREAN,tal,t a l,1 7 5,AXN,TAL,66.0,66.T.C 66.A.V 66.L.c,2.0 1.5 0.8,tal,0.0,2510.0
6857,moon,MOKSHA,kov,k o v,1 7 3,AXN,KUB,86.0,86.K.C 86.U.V 86.B.c,2.0 1.5 0.8,kov,0.0,2502.0
8329,moon,SEDANG,ke,k e,1 7,AX,KE,102.0,102.K.C 102.E.V,2.0 1.5,ke,0.0,2502.0
8973,moon,SPANISH,luna,l u n a,5 7 4 7,AXBZ,LYNA,111.0,111.L.C 111.Y.V 111.N.C 111.A.V,2.0 1.5 1.75 0.8,luna,0.0,2513.0
9525,moon,TAGALOG,buwan,b u w a n,1 7 6 7 4,AXBYN,PYWAN,117.0,117.P.C 117.Y.V 117.W.C 117.A.V 117.N.c,2.0 1.5 1.75 1.3 0.8,buwan,0.0,2500.0
10077,moon,TURKISH,aj,a j,7 6,XN,AJ,123.0,123.A.V 123.J.c,1.5 0.8,aj,0.0,2515.0
10721,moon,IMOROD,vehan,v e h a n,3 7 3 7 4,AXBYN,BEHAN,46.0,46.B.C 46.E.V 46.H.C 46.A.V 46.N.c,2.0 1.5 1.75 1.3 0.8,vehan,0.0,2500.0
50,mountain,AGTA,bogetoj,b o g e t o j,1 7 1 7 1 7 6,AXBYBYN,PUKETUJ,1.0,1.P.C 1.U.V 1.K.C 1.E.V 1.T.C 1.U.V 1.J.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,bogetoj,0.0,2516.0
234,mountain,ARTA,bukid,b u k i d,1 7 1 7 1,AXBYN,PYKIT,3.0,3.P.C 3.Y.V 3.K.C 3.I.V 3.T.c,2.0 1.5 1.75 1.3 0.8,bukid,0.0,2516.0
326,mountain,ATTA PAMPLONA,puddul,p u dd u l,1 7 1 7 5,AXBYN,PYTYL,4.0,4.P.C 4.Y.V 4.T.C 4.Y.V 4.L.c,2.0 1.5 1.75 1.3 0.8,puddul,0.0,2520.0
418,mountain,BAJAU WEST COAST,gunuŋ,g u n u ŋ,1 7 4 7 4,AXBYN,KYNYN,6.0,6.K.C 6.Y.V 6.N.C 6.Y.V 6.N.c,2.0 1.5 1.75 1.3 0.8,gunuŋ,0.0,2519.0
510,mountain,BALANGAW,bilig,b i l i g,1 7 5 7 1,AXBYN,PILIK,7.0,7.P.C 7.I.V 7.L.C 7.I.V 7.K.c,2.0 1.5 1.75 1.3 0.8,bilig,0.0,2520.0
602,mountain,BALANGINGI SAMA,bullud,b u ll u d,1 7 5 7 1,AXBYN,PYLYT,8.0,8.P.C 8.Y.V 8.L.C 8.Y.V 8.T.c,2.0 1.5 1.75 1.3 0.8,bullud,0.0,2516.0
786,mountain,BASQUE,mendi,m e n d i,4 7 4 1 7,AXMBZ,MENTI,10.0,10.M.C 10.E.V 10.N.c 10.T.C 10.I.V,2.0 1.5 1.1 1.75 0.8,mendi,0.0,2522.0
878,mountain,BATAK PALAWAN,bulud,b u l u d,1 7 5 7 1,AXBYN,PYLYT,11.0,11.P.C 11.Y.V 11.L.C 11.Y.V 11.T.c,2.0 1.5 1.75 1.3 0.8,bulud,0.0,2516.0
970,mountain,BILAAN KORONADAL,bulul,b u l u l,1 7 5 7 5,AXBYN,PYLYL,12.0,12.P.C 12.Y.V 12.L.C 12.Y.V 12.L.c,2.0 1.5 1.75 1.3 0.8,bulul,0.0,2520.0
1062,mountain,BILAAN SARANGANI,bulul,b u l u l,1 7 5 7 5,AXBYN,PYLYL,13.0,13.P.C 13.Y.V 13.L.C 13.Y.V 13.L.c,2.0 1.5 1.75 1.3 0.8,bulul,0.0,2520.0
1246,mountain,BONTOC GUINAANG,bilig,b i l i g,1 7 5 7 1,AXBYN,PILIK,16.0,16.P.C 16.I.V 16.L.C 16.I.V 16.K.c,2.0 1.5 1.75 1.3 0.8,bilig,0.0,2520.0
1338,mountain,BUHI,bukid,b u k i d,1 7 1 7 1,AXBYN,PYKIT,17.0,17.P.C 17.Y.V 17.K.C 17.I.V 17.T.c,2.0 1.5 1.75 1.3 0.8,bukid,0.0,2516.0
1430,mountain,BUKIDNON BINUKID,buntod,b u n t o d,1 7 4 1 7 1,AXMBYN,PYNTUT,18.0,18.P.C 18.Y.V 18.N.c 18.T.C 18.U.V 18.T.c,2.0 1.5 1.1 1.75 1.3 0.8,buntod,0.0,2543.0
1614,mountain,CAIJIA,tipəu,t i p ə u,1 7 1 7 7,AXBYZ,TIPEY,20.0,20.T.C 20.I.V 20.P.C 20.E.V 20.Y.V,2.0 1.5 1.75 1.3 0.8,tipəu,0.0,2530.0
1798,mountain,CENTRAL TAGBANWA,bukid,b u k i d,1 7 1 7 1,AXBYN,PYKIT,23.0,23.P.C 23.Y.V 23.K.C 23.I.V 23.T.c,2.0 1.5 1.75 1.3 0.8,bukid,0.0,2516.0
1982,mountain,DARAGA,bulud,b u l u d,1 7 5 7 1,AXBYN,PYLYT,25.0,25.P.C 25.Y.V 25.L.C 25.Y.V 25.T.c,2.0 1.5 1.75 1.3 0.8,bulud,0.0,2516.0
2074,mountain,DUMAGAT CASIGURAN,buked,b u k e d,1 7 1 7 1,AXBYN,PYKET,26.0,26.P.C 26.Y.V 26.K.C 26.E.V 26.T.c,2.0 1.5 1.75 1.3 0.8,buked,0.0,2516.0
2166,mountain,DUPANINGAN AGTA,tagilEtel,t a g i l t e l,1 7 1 7 5 1 7 5,AXBYMBYN,TAKILTEL,27.0,27.T.C 27.A.V 27.K.C 27.I.V 27.L.c 27.T.C 27.E.V 27.L.c,2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8,tagiltel,0.0,2534.0
2258,mountain,ENGLISH,mauntən,m a u n t ə n,4 7 7 4 1 7 4,AXYMBYN,MAYNTEN,28.0,28.M.C 28.A.V 28.Y.V 28.N.c 28.T.C 28.E.V 28.N.c,2.0 1.5 1.3 1.1 1.75 1.3 0.8,mauntən,0.0,2522.0
2442,mountain,ESTONIAN,magi,m a g i,4 7 1 7,AXBZ,MAKI,30.0,30.M.C 30.A.V 30.K.C 30.I.V,2.0 1.5 1.75 0.8,magi,0.0,2536.0
2534,mountain,FINNISH,vuori,v u o r i,3 7 7 5 7,AXYBZ,BYURI,32.0,32.B.C 32.Y.V 32.U.V 32.R.C 32.I.V,2.0 1.5 1.3 1.75 0.8,vuori,0.0,2537.0
2626,mountain,FUZHOU CHINESE,8aŋ,a ŋ,7 4,XN,AN,33.0,33.A.V 33.N.c,1.5 0.8,aŋ,0.0,2538.0
2718,mountain,GADDANG,kulud,k u l u d,1 7 5 7 1,AXBYN,KYLYT,34.0,34.K.C 34.Y.V 34.L.C 34.Y.V 34.T.c,2.0 1.5 1.75 1.3 0.8,kulud,0.0,2516.0
2902,mountain,HIGAONON BINUKID,buntod,b u n t o d,1 7 4 1 7 1,AXMBYN,PYNTUT,36.0,36.P.C 36.Y.V 36.N.c 36.T.C 36.U.V 36.T.c,2.0 1.5 1.1 1.75 1.3 0.8,buntod,0.0,2543.0
2994,mountain,HUNGARIAN,hegj,h e g j,3 7 1 6,AXBC,HEKJ,38.0,38.H.C 38.E.V 38.K.C 38.J.C,2.0 1.5 1.75 1.5,hegj,0.0,2541.0
3270,mountain,IFUGAO AMGANAD,billid,b i ll i d,1 7 5 7 1,AXBYN,PILIT,41.0,41.P.C 41.I.V 41.L.C 41.I.V 41.T.c,2.0 1.5 1.75 1.3 0.8,billid,0.0,2516.0
3362,mountain,IFUGAO BATAD,duntug,d u n t u g,1 7 4 1 7 1,AXMBYN,TYNTYK,42.0,42.T.C 42.Y.V 42.N.c 42.T.C 42.Y.V 42.K.c,2.0 1.5 1.1 1.75 1.3 0.8,duntug,0.0,2543.0
3454,mountain,IFUGAO BAYNINAN,bilid,b i l i d,1 7 5 7 1,AXBYN,PILIT,43.0,43.P.C 43.I.V 43.L.C 43.I.V 43.T.c,2.0 1.5 1.75 1.3 0.8,bilid,0.0,2516.0
3638,mountain,ILONGOT KAKIDUGEN,bəsilid,b ə s i l i d,1 7 3 7 5 7 1,AXBYBYN,PESILIT,45.0,45.P.C 45.E.V 45.S.C 45.I.V 45.L.C 45.I.V 45.T.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,bəsilid,0.0,2516.0
3730,mountain,INIBALOI,contog,c o n t o g,1 7 4 1 7 1,AXMBYN,CUNTUK,48.0,48.C.C 48.U.V 48.N.c 48.T.C 48.U.V 48.K.c,2.0 1.5 1.1 1.75 1.3 0.8,contog,0.0,2543.0
3914,mountain,IRIGA,kulud,k u l u d,1 7 5 7 1,AXBYN,KYLYT,50.0,50.K.C 50.Y.V 50.L.C 50.Y.V 50.T.c,2.0 1.5 1.75 1.3 0.8,kulud,0.0,2516.0
4006,mountain,ISNAG,bantaj,b a n t a j,1 7 4 1 7 6,AXMBYN,PANTAJ,51.0,51.P.C 51.A.V 51.N.c 51.T.C 51.A.V 51.J.c,2.0 1.5 1.1 1.75 1.3 0.8,bantaj,0.0,2543.0
4190,mountain,ITNEG BINONGAN,bilig,b i l i g,1 7 5 7 1,AXBYN,PILIK,53.0,53.P.C 53.I.V 53.L.C 53.I.V 53.K.c,2.0 1.5 1.75 1.3 0.8,bilig,0.0,2520.0
4282,mountain,JAPANESE,jama,j a m a,6 7 4 7,AXBZ,JAMA,54.0,54.J.C 54.A.V 54.M.C 54.A.V,2.0 1.5 1.75 0.8,jama,0.0,2550.0
4374,mountain,KADAZAN,nuhu takavas,n u h u # t a k a v a s,4 7 3 7 9 1 7 1 7 3 7 3,AXBZ_AXBYBYN,NYHY_TAKABAS,55.0,55.N.C 55.Y.V 55.H.C 55.Y.V 55._._ 55.T.C 55.A.V 55.K.C 55.A.V 55.B.C 55.A.V 55.S.c,2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 1.3 0.8,nuhu#takavas,0.0,2551.0
4466,mountain,KAGAYANEN,bukid,b u k i d,1 7 1 7 1,AXBYN,PYKIT,56.0,56.P.C 56.Y.V 56.K.C 56.I.V 56.T.c,2.0 1.5 1.75 1.3 0.8,bukid,0.0,2516.0
4558,mountain,KALAGAN,buntud,b u n t u d,1 7 4 1 7 1,AXMBYN,PYNTYT,57.0,57.P.C 57.Y.V 57.N.c 57.T.C 57.Y.V 57.T.c,2.0 1.5 1.1 1.75 1.3 0.8,buntud,0.0,2543.0
4650,mountain,KALINGA GUINAANG,bilig,b i l i g,1 7 5 7 1,AXBYN,PILIK,59.0,59.P.C 59.I.V 59.L.C 59.I.V 59.K.c,2.0 1.5 1.75 1.3 0.8,bilig,0.0,2520.0
4742,mountain,KALINGA LIMOS,bateled,b a t e l e d,1 7 1 7 5 7 1,AXBYBYN,PATELET,60.0,60.P.C 60.A.V 60.T.C 60.E.V 60.L.C 60.E.V 60.T.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,bateled,0.0,2516.0
4834,mountain,KALLAHAN KAYAPA PROPER,duntug,d u n t u g,1 7 4 1 7 1,AXMBYN,TYNTYK,61.0,61.T.C 61.Y.V 61.N.c 61.T.C 61.Y.V 61.K.c,2.0 1.5 1.1 1.75 1.3 0.8,duntug,0.0,2543.0
4926,mountain,KANKANAY NORTHERN,bilig,b i l i g,1 7 5 7 1,AXBYN,PILIK,63.0,63.P.C 63.I.V 63.L.C 63.I.V 63.K.c,2.0 1.5 1.75 1.3 0.8,bilig,0.0,2520.0
5110,mountain,KINARAY A,bukid,b u k i d,1 7 1 7 1,AXBYN,PYKIT,65.0,65.P.C 65.Y.V 65.K.C 65.I.V 65.T.c,2.0 1.5 1.75 1.3 0.8,bukid,0.0,2516.0
5202,mountain,KOREAN,san,s a n,3 7 4,AXN,SAN,66.0,66.S.C 66.A.V 66.N.c,2.0 1.5 0.8,san,0.0,2538.0
5294,mountain,LEGAZPI,bulud,b u l u d,1 7 5 7 1,AXBYN,PYLYT,67.0,67.P.C 67.Y.V 67.L.C 67.Y.V 67.T.c,2.0 1.5 1.75 1.3 0.8,bulud,0.0,2516.0
5386,mountain,LIBON,ʔampas,ʔ a m p a s,1 7 4 1 7 3,AXMBYN,HAMPAS,68.0,68.H.C 68.A.V 68.M.c 68.P.C 68.A.V 68.S.c,2.0 1.5 1.1 1.75 1.3 0.8,ʔampas,0.0,2561.0
5478,mountain,LIVE,mEg,m g,4 1,AN,MK,69.0,69.M.C 69.K.c,2.0 0.8,mg,0.0,2562.0
5570,mountain,MAMANWA,boboŋ,b o b o ŋ,1 7 1 7 4,AXBYN,PUPUN,70.0,70.P.C 70.U.V 70.P.C 70.U.V 70.N.c,2.0 1.5 1.75 1.3 0.8,boboŋ,0.0,2563.0
5662,mountain,MANIDE,beŋag,b e ŋ a g,1 7 4 7 1,AXBYN,PENAK,73.0,73.P.C 73.E.V 73.N.C 73.A.V 73.K.c,2.0 1.5 1.75 1.3 0.8,beŋag,0.0,2543.0
5754,mountain,MANOBO ATA,bubuŋan,b u b u ŋ a n,1 7 1 7 4 7 4,AXBYBYN,PYPYNAN,74.0,74.P.C 74.Y.V 74.P.C 74.Y.V 74.N.C 74.A.V 74.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,bubuŋan,0.0,2563.0
5846,mountain,MANOBO DIBABAWON,untud,u n t u d,7 4 1 7 1,XMBYN,YNTYT,75.0,75.Y.V 75.N.c 75.T.C 75.Y.V 75.T.c,1.5 1.1 1.75 1.3 0.8,untud,0.0,2543.0
