ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
5889,I,MANOBO ILIANEN,siʔakən,s i ʔ a k ə n,3 7 1 7 1 7 4,AXBYBYN,SIHAKEN,76.0,76.S.C 76.I.V 76.H.C 76.A.V 76.K.C 76.E.V 76.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,siʔakən,0.0,39.0
5981,I,MANOBO KALAMANSIG COTABATO,akən,a k ə n,7 1 7 4,XBYN,AKEN,77.0,77.A.V 77.K.C 77.E.V 77.N.c,1.5 1.75 1.3 0.8,akən,0.0,66.0
6073,I,MANOBO SARANGANI,siʔak,s i ʔ a k,3 7 1 7 1,AXBYN,SIHAK,78.0,78.S.C 78.I.V 78.H.C 78.A.V 78.K.c,2.0 1.5 1.75 1.3 0.8,siʔak,0.0,39.0
6165,I,MANOBO TIGWA,siʔak,s i ʔ a k,3 7 1 7 1,AXBYN,SIHAK,79.0,79.S.C 79.I.V 79.H.C 79.A.V 79.K.c,2.0 1.5 1.75 1.3 0.8,siʔak,0.0,39.0
6257,I,MANOBO WESTERN BUKIDNON,siʔak,s i ʔ a k,3 7 1 7 1,AXBYN,SIHAK,80.0,80.S.C 80.I.V 80.H.C 80.A.V 80.K.c,2.0 1.5 1.75 1.3 0.8,siʔak,0.0,39.0
6349,I,MANSAKA,aku,a k u,7 1 7,XBZ,AKY,81.0,81.A.V 81.K.C 81.Y.V,1.5 1.75 0.8,aku,0.0,66.0
6441,I,MAPUN,aku,a k u,7 1 7,XBZ,AKY,82.0,82.A.V 82.K.C 82.Y.V,1.5 1.75 0.8,aku,0.0,66.0
6533,I,MARANAO,ako,a k o,7 1 7,XBZ,AKU,83.0,83.A.V 83.K.C 83.U.V,1.5 1.75 0.8,ako,0.0,66.0
6625,I,MASBATENYO,ako,a k o,7 1 7,XBZ,AKU,84.0,84.A.V 84.K.C 84.U.V,1.5 1.75 0.8,ako,0.0,66.0
6717,I,MINANGALI LOWER TANUDAN KALINGA,sakon,s a k o n,3 7 1 7 4,AXBYN,SAKUN,85.0,85.S.C 85.A.V 85.K.C 85.U.V 85.N.c,2.0 1.5 1.75 1.3 0.8,sakon,0.0,66.0
6809,I,MOKSHA,mon,m o n,4 7 4,AXN,MUN,86.0,86.M.C 86.U.V 86.N.c,2.0 1.5 0.8,mon,0.0,27.0
6901,I,MOLBOG,aku,a k u,7 1 7,XBZ,AKY,87.0,87.A.V 87.K.C 87.Y.V,1.5 1.75 0.8,aku,0.0,66.0
6993,I,MONGOLIAN,pji,p j i,1 6 7,ACX,PJI,88.0,88.P.C 88.J.C 88.I.V,2.0 1.5 1.5,pji,0.0,77.0
7085,I,MORO MAGINDANAU,aku,a k u,7 1 7,XBZ,AKY,89.0,89.A.V 89.K.C 89.Y.V,1.5 1.75 0.8,aku,0.0,66.0
7177,I,NORTHERN CATANDUANES,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,90.0,90.H.C 90.A.V 90.K.C 90.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
7269,I,NORTHERN SORSOGON,ʔaku,ʔ a k u,1 7 1 7,AXBZ,HAKY,91.0,91.H.C 91.A.V 91.K.C 91.Y.V,2.0 1.5 1.75 0.8,ʔaku,0.0,66.0
