language,similiarity_to_spanish,n_span,similiarity_to_english,n_eng,similiarity_to_japanese,n_jap,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap
LIBON,2.5,40,2.5,40,8.108108108108109,37,1.3377926421404682,1.3425743695105377,,0.8656558506202064,0.8656558506202064,5.0427861723860365
MAMANWA,2.7777777777777777,36,2.7777777777777777,36,6.0606060606060606,33,1.5050167224080266,1.3704895042524243,,0.9286908447095461,0.9286908447095461,3.3240599975867897
MANIDE,3.571428571428571,28,3.571428571428571,28,3.7037037037037033,27,0.7525083612040133,0.8163778436943595,,3.4529602095373897,3.4529602095373897,3.614987061805387
MANOBO ATA,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.2541806020066888,1.4614179174706132,,1.0425472122362465,1.0425472122362465,5.362414402627568
MANOBO DIBABAWON,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.7558528428093645,1.3704895042524243,,0.7456641818835771,0.7456641818835771,5.352143322032123
MANOBO ILIANEN,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.4214046822742474,1.74052341092486,,0.7792903485180908,0.7792903485180908,4.406435650618171
MANOBO KALAMANSIG COTABATO,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.5050167224080266,1.5073374897424703,,0.8443769653650711,0.8443769653650711,5.032643598479807
MANOBO SARANGANI,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.5886287625418059,1.6373876277229211,,0.7262477101342797,0.7262477101342797,4.5818596655701755
MANOBO TIGWA,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.0869565217391304,1.5371886547533642,,1.0999438818457405,1.0999438818457405,5.206877206919123
MANOBO WESTERN BUKIDNON,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.1705685618729096,1.502304629315654,,1.0698291042589687,1.0698291042589687,5.272126820672943
MANSAKA,8.333333333333332,36,2.7777777777777777,36,6.0606060606060606,33,1.7558528428093645,1.5073374897424703,,4.363641543638469,0.6779669064975024,2.855865555717165
MAPUN,2.941176470588235,34,2.941176470588235,34,9.67741935483871,31,1.3377926421404682,1.0074007565177154,,1.5916047492263035,1.5916047492263035,8.278360581667467
MARANAO,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,0.8361204013377926,0.7880554913934611,,2.6712028432518444,2.6712028432518444,7.125757720384065
MASBATENYO,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0033444816053512,1.0370365080902484,,1.8686246567649705,1.8686246567649705,5.253690086237849
MINANGALI LOWER TANUDAN KALINGA,3.0303030303030303,33,3.0303030303030303,33,10,30,0.9197324414715718,1.1610739322153398,,1.817774501925532,1.817774501925532,7.820576542617913
MOLBOG,2.5,40,2.5,40,8.108108108108109,37,1.3377926421404682,1.414007903452154,,0.8219242304248249,0.8219242304248249,4.788032265900789
MORO MAGINDANAU,2.631578947368421,38,5.263157894736842,38,8.333333333333332,36,1.0033444816053512,1.0370365080902484,,1.570084035673479,4.107679314951156,7.068207140775112
NORTHERN CATANDUANES,2.5,40,5,40,10.81081081081081,37,1.5886287625418059,1.5123536017423371,,0.6026178245671057,2.2556703892053127,6.097900674580605
NORTHERN SORSOGON,2.5,40,2.5,40,8.108108108108109,37,1.1705685618729096,1.0370365080902484,,1.2819523977755625,1.2819523977755625,6.689773688884884
OAS,2.5,40,2.5,40,8.108108108108109,37,1.4214046822742474,1.3593922406083834,,0.7934393661413259,0.7934393661413259,4.918891859233571
PALAWANO BATAK,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.0033444816053512,1.212134293644517,,1.5986941373933212,1.5986941373933212,4.494772939093389
PANGASINAN,3.0303030303030303,33,0,33,6.666666666666667,30,1.1705685618729096,1.0370365080902484,,1.7933162949633368,0,5.299811589965219
PANGUTARAN SAMA,6.666666666666667,30,3.3333333333333335,30,11.11111111111111,27,0.9197324414715718,0.6029349958969882,,9.53159837180352,4.003086416092071,16.902947646085455
PROTO PALAWAN,2.857142857142857,35,2.857142857142857,35,9.375,32,1.2541806020066888,1.3198172232498968,,1.2145335178980767,1.2145335178980767,6.1529878947910195
QUEZON PALAWAN,3.125,32,3.125,32,10.344827586206897,29,1.0033444816053512,1.3649521502771327,,1.5543808755229103,1.5543808755229103,6.843817274257489
ROMBLOMANON 2,2.5,40,2.5,40,8.108108108108109,37,1.4214046822742474,1.121253773126613,,0.9619546828530107,0.9619546828530107,5.9635950273665586
SAMAL,2.7777777777777777,36,2.7777777777777777,36,12.121212121212121,33,1.5050167224080266,1.218366387647402,,1.0446455748236638,1.0446455748236638,8.713467070692404
SAMBAL BOTOLAN,2.7777777777777777,36,0,36,9.090909090909092,33,1.3377926421404682,1.1868787263025409,,1.2132538091092642,0,6.532357752271581
SANGIL SARANGANI ISLANDS,5.555555555555555,36,0,36,9.090909090909092,33,1.2541806020066888,0.9768663416009968,,4.403237956278948,0,8.02231395961366
SIBUTU SOUTHERN SAMA,6.451612903225806,31,3.225806451612903,31,10.344827586206897,29,1.2541806020066888,1.1610739322153398,,4.476400819112671,1.6981053444584135,7.829516047143674
SOGODNIN BORACAY,3.0303030303030303,33,0,33,6.666666666666667,30,1.0033444816053512,0.9373005418506264,,2.1625492125456454,0,6.042162499852534
SOUTHERN CATANDUANES,2.5,40,7.5,40,8.108108108108109,37,1.3377926421404682,1.414007903452154,,0.8219242304248249,4.35797235843954,4.788032265900789
SOUTHERN SORSOGON,2.5,40,2.5,40,8.108108108108109,37,1.1705685618729096,1.0370365080902484,,1.2819523977755625,1.2819523977755625,6.689773688884884
SOUTHWEST PALAWANO,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.2541806020066888,1.3198172232498968,,1.2782041625639,1.2782041625639,3.9379939961845953
SUBANON SIOCON,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.0869565217391304,0.992251009973127,,1.7040257344605167,1.7040257344605167,8.066459483257901
SUBANUN SINDANGAN,2.7777777777777777,36,5.555555555555555,36,12.121212121212121,33,1.4214046822742474,1.3593922406083834,,0.9977790478607543,3.0411758650550387,7.871022887514258
SURIGAONON,2.941176470588235,34,2.941176470588235,34,6.451612903225806,31,1.3377926421404682,1.414007903452154,,1.1339284770143583,1.1339284770143583,3.616542912242905
TAGABAWA,0,29,6.896551724137931,29,10.714285714285714,28,1.0033444816053512,1.290806708685553,,0,4.56552263238058,7.523156772689191
TAGABILI,2.7777777777777777,36,0,36,12.121212121212121,33,1.0033444816053512,1.127988090571241,,1.5730957720252257,0,9.856369701542157
TAGALOG,6.521739130434782,92,4.395604395604396,91,4.49438202247191,89,2.341137123745819,1.8213228186280905,,2.295365744024443,1.1280083084920125,1.1822423113042753
TAGBANWA ABORLAN,2.7777777777777777,36,2.7777777777777777,36,9.090909090909092,33,1.3377926421404682,1.414007903452154,,1.0183713486478645,1.0183713486478645,5.483078580989676
TAGBANWA KALAMIAN,8.571428571428571,35,2.857142857142857,35,9.375,32,1.5050167224080266,1.5073374897424703,,4.688009086954937,0.8970294601813708,5.22111559696997
TAUSUG,5.555555555555555,36,2.7777777777777777,36,6.0606060606060606,33,1.4214046822742474,1.4299859010440692,,2.891043100678726,0.9485220060653798,3.244228754244789
TIMUGON MURUT,2.941176470588235,34,0,34,6.451612903225806,31,1.3377926421404682,1.60939603302008,,0.9962643100585807,0,3.177477858876724
TIRURAY,12.82051282051282,39,2.564102564102564,39,8.333333333333332,36,0.8361204013377926,1.2671201696398333,,9.457976209613548,1.3637081976652092,5.9167339543861495
UMIRAY DUMAGET AGTA,3.571428571428571,28,3.571428571428571,28,7.4074074074074066,27,1.4214046822742474,1.121253773126613,,1.917517640238559,1.917517640238559,5.338668969149782
WARAY WARAY,5.714285714285714,35,2.857142857142857,35,6.25,32,1.2541806020066888,1.0729306886800534,,4.1569368453482864,1.494003547524746,4.656236838690201
YAKAN,2.941176470588235,34,2.941176470588235,34,9.67741935483871,31,1.2541806020066888,1.1610739322153398,,1.4529616261065672,1.4529616261065672,7.254696293766929
YOGAD,5.405405405405405,37,0,37,8.823529411764707,34,1.6722408026755853,1.1413375267248198,,3.2708681834395676,0,6.265708821132384
IMOROD,5.063291139240507,79,1.282051282051282,78,5.263157894736842,76,1.8394648829431437,2.364166474180383,,1.3636206635638928,0,1.448160715070048
BABUYAN,3.3333333333333335,30,3.3333333333333335,30,11.11111111111111,27,0.2508361204013378,0.47666196701468977,,6.4668411290238295,6.4668411290238295,22.784018323775935
BISAYA SABAH,0,30,0,30,10.714285714285714,28,1.0033444816053512,1.127988090571241,,0,0,8.609081349221075
CAPIZNON,7.4074074074074066,27,0,27,8.333333333333332,24,0.6688963210702341,0.8347257041177222,,8.07272503182295,0,9.181982745294945
FINALLIG,3.3333333333333335,30,3.3333333333333335,30,11.11111111111111,27,1.3377926421404682,1.1868787263025409,,1.6813349561075481,1.6813349561075481,8.234471014083523
HILIGAYNON,3.225806451612903,31,0,31,3.4482758620689653,29,0.9197324414715718,1.0729306886800534,,2.149322444097784,0,2.3566698643955015
INABAKNON,3.3333333333333335,30,0,30,7.4074074074074066,27,1.0869565217391304,1.1740472279724383,,1.9133615395299401,0,5.383472432010762
KALAGAN KAAGAN,7.4074074074074066,27,3.7037037037037033,27,8.333333333333332,24,0.7525083612040133,1.2849260097249735,,5.1792079822773704,2.2967823206655815,5.899814397680318
KANKANAEY,3.225806451612903,31,3.225806451612903,31,7.142857142857142,28,0.9197324414715718,1.0729306886800534,,2.149322444097784,2.149322444097784,5.800118094339735
MANDAYAN BOSO,6.451612903225806,31,3.225806451612903,31,7.142857142857142,28,1.4214046822742474,1.3593922406083834,,3.7003361286660983,1.327359179666284,4.208831189166058
MANDAYAN ISLAM PISO,6.666666666666667,30,3.3333333333333335,30,7.4074074074074066,27,0.9197324414715718,1.3924187287398881,,4.127303164326121,1.7333872649400683,4.659284475300798
SINAUNA,0,29,3.4482758620689653,29,7.6923076923076925,26,0.5852842809364548,0.8437500280502008,,0,3.3931750944631323,8.4231385778969
SOUTHERN KALINGA,3.3333333333333335,30,3.3333333333333335,30,11.11111111111111,27,1.4214046822742474,1.2849260097249735,,1.4879678958855511,1.4879678958855511,7.541061785270309
