ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGNATES
4465,nose,SOUTHERN CATANDUANES,duŋuʔ,d u ŋ u ʔ,1 7 4 7 1,AXBYN,TYNYH,129.0,129.T.C 129.Y.V 129.N.C 129.Y.V 129.H.c,2.0 1.5 1.75 1.3 0.8,duŋuʔ,0.0,3193.0
4505,nose,SOUTHERN SORSOGON,ʔiruŋ,ʔ i r u ŋ,1 7 5 7 4,AXBYN,HIRYN,131.0,131.H.C 131.I.V 131.R.C 131.Y.V 131.N.c,2.0 1.5 1.75 1.3 0.8,ʔiruŋ,0.0,3185.0
4545,nose,SOUTHWEST PALAWANO,edoŋ,e d o ŋ,7 1 7 4,XBYN,ETUN,132.0,132.E.V 132.T.C 132.U.V 132.N.c,1.5 1.75 1.3 0.8,edoŋ,0.0,3181.0
4585,nose,SPANISH,naris,n a r i s,4 7 5 7 3,AXBYN,NARIS,133.0,133.N.C 133.A.V 133.R.C 133.I.V 133.S.c,2.0 1.5 1.75 1.3 0.8,naris,0.0,3299.0
4625,nose,SUBANON SIOCON,suŋ,s u ŋ,3 7 4,AXN,SYN,134.0,134.S.C 134.Y.V 134.N.c,2.0 1.5 0.8,suŋ,0.0,3174.0
4665,nose,SUBANUN SINDANGAN,suŋ,s u ŋ,3 7 4,AXN,SYN,135.0,135.S.C 135.Y.V 135.N.c,2.0 1.5 0.8,suŋ,0.0,3174.0
4705,nose,SURIGAONON,iloŋ,i l o ŋ,7 5 7 4,XBYN,ILUN,136.0,136.I.V 136.L.C 136.U.V 136.N.c,1.5 1.75 1.3 0.8,iloŋ,0.0,3178.0
4785,nose,TAGABILI,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,138.0,138.I.V 138.L.C 138.Y.V 138.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
4825,nose,TAGALOG,iloŋ,i l o ŋ,7 5 7 4,XBYN,ILUN,139.0,139.I.V 139.L.C 139.U.V 139.N.c,1.5 1.75 1.3 0.8,iloŋ,0.0,3178.0
4865,nose,TAGBANUA ABORLAN,ʔuruŋ,ʔ u r u ŋ,1 7 5 7 4,AXBYN,HYRYN,140.0,140.H.C 140.Y.V 140.R.C 140.Y.V 140.N.c,2.0 1.5 1.75 1.3 0.8,ʔuruŋ,0.0,3185.0
4905,nose,TAGBANWA ABORLAN,uruŋ,u r u ŋ,7 5 7 4,XBYN,YRYN,141.0,141.Y.V 141.R.C 141.Y.V 141.N.c,1.5 1.75 1.3 0.8,uruŋ,0.0,3185.0
4945,nose,TAGBANWA KALAMIAN,uruŋ,u r u ŋ,7 5 7 4,XBYN,YRYN,142.0,142.Y.V 142.R.C 142.Y.V 142.N.c,1.5 1.75 1.3 0.8,uruŋ,0.0,3185.0
4985,nose,TALAANDIG BINUKID,idəŋ,i d ə ŋ,7 1 7 4,XBYN,ITEN,143.0,143.I.V 143.T.C 143.E.V 143.N.c,1.5 1.75 1.3 0.8,idəŋ,0.0,3181.0
5025,nose,TAMBUNAN DUSUN,toduŋ,t o d u ŋ,1 7 1 7 4,AXBYN,TUTYN,144.0,144.T.C 144.U.V 144.T.C 144.Y.V 144.N.c,2.0 1.5 1.75 1.3 0.8,toduŋ,0.0,3181.0
5065,nose,TAUSUG,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,145.0,145.I.V 145.L.C 145.Y.V 145.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
5105,nose,TAUT BATU,ʔaduŋ,ʔ a d u ŋ,1 7 1 7 4,AXBYN,HATYN,146.0,146.H.C 146.A.V 146.T.C 146.Y.V 146.N.c,2.0 1.5 1.75 1.3 0.8,ʔaduŋ,0.0,3181.0
5145,nose,TBOLI TAGABILI,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,147.0,147.I.V 147.L.C 147.Y.V 147.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
5185,nose,TIMUGON MURUT,aduŋ,a d u ŋ,7 1 7 4,XBYN,ATYN,148.0,148.A.V 148.T.C 148.Y.V 148.N.c,1.5 1.75 1.3 0.8,aduŋ,0.0,3181.0
5225,nose,TIRURAY,iruŋ,i r u ŋ,7 5 7 4,XBYN,IRYN,149.0,149.I.V 149.R.C 149.Y.V 149.N.c,1.5 1.75 1.3 0.8,iruŋ,0.0,3185.0
5265,nose,TURKISH,burun udʒ,b u r u n # u dʒ,1 7 5 7 4 9 7 1,AXBYN_XN,PYRYN_YT,150.0,150.P.C 150.Y.V 150.R.C 150.Y.V 150.N.c 150._._ 150.Y.V 150.T.c,2.0 1.5 1.75 1.3 0.8 0.0 1.5 0.8,burun#udʒ,0.0,3315.0
5305,nose,UGARITIC,apu,a p u,7 1 7,XBZ,APY,151.0,151.A.V 151.P.C 151.Y.V,1.5 1.75 0.8,apu,0.0,3316.0
5345,nose,WARAY WARAY,iroŋ,i r o ŋ,7 5 7 4,XBYN,IRUN,152.0,152.I.V 152.R.C 152.U.V 152.N.c,1.5 1.75 1.3 0.8,iroŋ,0.0,3185.0
5385,nose,YAKAN,uŋ,u ŋ,7 4,XN,YN,153.0,153.Y.V 153.N.c,1.5 0.8,uŋ,0.0,3174.0
5425,nose,YOGAD,iguŋ,i g u ŋ,7 1 7 4,XBYN,IKYN,154.0,154.I.V 154.K.C 154.Y.V 154.N.c,1.5 1.75 1.3 0.8,iguŋ,0.0,3185.0
5505,nose,IMOROD,momodan,m o m o d a n,4 7 4 7 1 7 4,AXBYBYN,MUMUTAN,52.0,52.M.C 52.U.V 52.M.C 52.U.V 52.T.C 52.A.V 52.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,momodan,0.0,3172.0
5545,nose,BABUYAN,momodan,m o m o d a n,4 7 4 7 1 7 4,AXBYBYN,MUMUTAN,4.0,4.M.C 4.U.V 4.M.C 4.U.V 4.T.C 4.A.V 4.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,momodan,0.0,3172.0
5585,nose,BISAYA SABAH,adoŋ,a d o ŋ,7 1 7 4,XBYN,ATUN,13.0,13.A.V 13.T.C 13.U.V 13.N.c,1.5 1.75 1.3 0.8,adoŋ,0.0,3181.0
5625,nose,FINALLIG,aŋor,a ŋ o r,7 4 7 5,XBYN,ANUR,36.0,36.A.V 36.N.C 36.U.V 36.R.c,1.5 1.75 1.3 0.8,aŋor,0.0,3204.0
5665,nose,HILIGAYNON,iloŋ,i l o ŋ,7 5 7 4,XBYN,ILUN,42.0,42.I.V 42.L.C 42.U.V 42.N.c,1.5 1.75 1.3 0.8,iloŋ,0.0,3178.0
5705,nose,INABAKNON,uroŋ,u r o ŋ,7 5 7 4,XBYN,YRUN,53.0,53.Y.V 53.R.C 53.U.V 53.N.c,1.5 1.75 1.3 0.8,uroŋ,0.0,3185.0
5745,nose,IRARALAY IVATAN,momodan,m o m o d a n,4 7 4 7 1 7 4,AXBYBYN,MUMUTAN,56.0,56.M.C 56.U.V 56.M.C 56.U.V 56.T.C 56.A.V 56.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,momodan,0.0,3172.0
5785,nose,ISAMORONG IVATAN,momodan,m o m o d a n,4 7 4 7 1 7 4,AXBYBYN,MUMUTAN,58.0,58.M.C 58.U.V 58.M.C 58.U.V 58.T.C 58.A.V 58.N.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,momodan,0.0,3172.0
5825,nose,IVASAY IVATAN,mohed,m o h e d,4 7 3 7 1,AXBYN,MUHET,64.0,64.M.C 64.U.V 64.H.C 64.E.V 64.T.c,2.0 1.5 1.75 1.3 0.8,mohed,0.0,3232.0
5865,nose,KANKANAEY,eŋ,e ŋ,7 4,XN,EN,74.0,74.E.V 74.N.c,1.5 0.8,eŋ,0.0,3242.0
5905,nose,LIMOS KALINGA,oŋol,o ŋ o l,7 4 7 5,XBYN,UNUL,81.0,81.U.V 81.N.C 81.U.V 81.L.c,1.5 1.75 1.3 0.8,oŋol,0.0,3173.0
5945,nose,MANDAYAN BOSO,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,85.0,85.I.V 85.L.C 85.Y.V 85.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
5985,nose,MANDAYAN CARAGA,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,86.0,86.I.V 86.L.C 86.Y.V 86.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
6025,nose,MANDAYAN ISLAM PISO,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,87.0,87.I.V 87.L.C 87.Y.V 87.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
6065,nose,MANSAKA 2,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,96.0,96.I.V 96.L.C 96.Y.V 96.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
6105,nose,PROTO SOUTHERN MINDANAO,iluŋ,i l u ŋ,7 5 7 4,XBYN,ILYN,116.0,116.I.V 116.L.C 116.Y.V 116.N.c,1.5 1.75 1.3 0.8,iluŋ,0.0,3178.0
6145,nose,SINAUNA,aʔdoŋ,a ʔ d o ŋ,7 1 1 7 4,XMBYN,AHTUN,126.0,126.A.V 126.H.c 126.T.C 126.U.V 126.N.c,1.5 1.1 1.75 1.3 0.8,aʔdoŋ,0.0,3292.0
6185,nose,SOUTHERN KALINGA,oŋor,o ŋ o r,7 4 7 5,XBYN,UNUR,130.0,130.U.V 130.N.C 130.U.V 130.R.c,1.5 1.75 1.3 0.8,oŋor,0.0,3173.0
26,one,AGTA,tatakdoj,t a t a k d o j,1 7 1 7 1 1 7 6,AXBYMBYN,TATAKTUJ,1.0,1.T.C 1.A.V 1.T.C 1.A.V 1.K.c 1.T.C 1.U.V 1.J.c,2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8,tatakdoj,0.0,3317.0
66,one,AKLANON,isaxah,i s a x a h,7 3 7 3 7 3,XBYBYN,ISAGAH,2.0,2.I.V 2.S.C 2.A.V 2.G.C 2.A.V 2.H.c,1.5 1.75 1.3 1.75 1.3 0.8,isaxah,0.0,3318.0
106,one,ATTA PAMPLONA,taddaj,t a dd a j,1 7 1 7 6,AXBYN,TATAJ,3.0,3.T.C 3.A.V 3.T.C 3.A.V 3.J.c,2.0 1.5 1.75 1.3 0.8,taddaj,0.0,3317.0
146,one,BALANGAW,əho,ə h o,7 3 7,XBZ,EHU,5.0,5.E.V 5.H.C 5.U.V,1.5 1.75 0.8,əho,0.0,3321.0
186,one,BALANGINGI SAMA,isa,i s a,7 3 7,XBZ,ISA,6.0,6.I.V 6.S.C 6.A.V,1.5 1.75 0.8,isa,0.0,3322.0
226,one,BALANGINGI SAMA (1),isa,i s a,7 3 7,XBZ,ISA,7.0,7.I.V 7.S.C 7.A.V,1.5 1.75 0.8,isa,0.0,3322.0
266,one,BASQUE,bat,b a t,1 7 1,AXN,PAT,8.0,8.P.C 8.A.V 8.T.c,2.0 1.5 0.8,bat,0.0,3324.0
306,one,BATAK PALAWAN,əsa,ə s a,7 3 7,XBZ,ESA,9.0,9.E.V 9.S.C 9.A.V,1.5 1.75 0.8,əsa,0.0,3325.0
346,one,BILAAN KORONADAL,satu,s a t u,3 7 1 7,AXBZ,SATY,10.0,10.S.C 10.A.V 10.T.C 10.Y.V,2.0 1.5 1.75 0.8,satu,0.0,3326.0
386,one,BILAAN SARANGANI,satu,s a t u,3 7 1 7,AXBZ,SATY,11.0,11.S.C 11.A.V 11.T.C 11.Y.V,2.0 1.5 1.75 0.8,satu,0.0,3326.0
426,one,BINUKID,sabuwa,s a b u w a,3 7 1 7 6 7,AXBYBZ,SAPYWA,12.0,12.S.C 12.A.V 12.P.C 12.Y.V 12.W.C 12.A.V,2.0 1.5 1.75 1.3 1.75 0.8,sabuwa,0.0,3328.0
466,one,BONGGI,isa,i s a,7 3 7,XBZ,ISA,14.0,14.I.V 14.S.C 14.A.V,1.5 1.75 0.8,isa,0.0,3325.0
506,one,BONTOC GUINAANG,əsa,ə s a,7 3 7,XBZ,ESA,15.0,15.E.V 15.S.C 15.A.V,1.5 1.75 0.8,əsa,0.0,3411.0
586,one,BUHI,ʔisad,ʔ i s a d,1 7 3 7 1,AXBYN,HISAT,17.0,17.H.C 17.I.V 17.S.C 17.A.V 17.T.c,2.0 1.5 1.75 1.3 0.8,ʔisad,0.0,3331.0
626,one,BUHINON ALBAY BICOLANO,əsad,ə s a d,7 3 7 1,XBYN,ESAT,18.0,18.E.V 18.S.C 18.A.V 18.T.c,1.5 1.75 1.3 0.8,əsad,0.0,3331.0
666,one,BUKIDNON BINUKID,sabuwa,s a b u w a,3 7 1 7 6 7,AXBYBZ,SAPYWA,19.0,19.S.C 19.A.V 19.P.C 19.Y.V 19.W.C 19.A.V,2.0 1.5 1.75 1.3 1.75 0.8,sabuwa,0.0,3328.0
706,one,BUTUANON,isa,i s a,7 3 7,XBZ,ISA,20.0,20.I.V 20.S.C 20.A.V,1.5 1.75 0.8,isa,0.0,3334.0
746,one,CAIJIA,ji,j i,6 7,AX,JI,21.0,21.J.C 21.I.V,2.0 1.5,ji,0.0,3335.0
826,one,CASIGURAN NEGRITO,esa,e s a,7 3 7,XBZ,ESA,23.0,23.E.V 23.S.C 23.A.V,1.5 1.75 0.8,esa,0.0,3411.0
866,one,CEBUANO,usa,u s a,7 3 7,XBZ,YSA,24.0,24.Y.V 24.S.C 24.A.V,1.5 1.75 0.8,usa,0.0,3337.0
906,one,CENTRAL BICOLANO,saro,s a r o,3 7 5 7,AXBZ,SARU,25.0,25.S.C 25.A.V 25.R.C 25.U.V,2.0 1.5 1.75 0.8,saro,0.0,3338.0
946,one,CENTRAL BONTOC,mi,m i,4 7,AX,MI,26.0,26.M.C 26.I.V,2.0 1.5,mi,0.0,3339.0
986,one,CENTRAL DUSUN,iso,i s o,7 3 7,XBZ,ISU,27.0,27.I.V 27.S.C 27.U.V,1.5 1.75 0.8,iso,0.0,3411.0
1026,one,CENTRAL TAGBANWA,tam,t a m,1 7 4,AXN,TAM,28.0,28.T.C 28.A.V 28.M.c,2.0 1.5 0.8,tam,0.0,3341.0
1066,one,CUYONON,sakabilog,s a k a b i l o g,3 7 1 7 1 7 5 7 1,AXBYBYBYN,SAKAPILUK,29.0,29.S.C 29.A.V 29.K.C 29.A.V 29.P.C 29.I.V 29.L.C 29.U.V 29.K.c,2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8,sakabilog,0.0,3342.0
1106,one,DARAGA,ʔisad,ʔ i s a d,1 7 3 7 1,AXBYN,HISAT,30.0,30.H.C 30.I.V 30.S.C 30.A.V 30.T.c,2.0 1.5 1.75 1.3 0.8,ʔisad,0.0,3331.0
1146,one,DUMAGAT CASIGURAN,Esaʔ,es a ʔ,7 7 1,XYN,EAH,31.0,31.E.V 31.A.V 31.H.c,1.5 1.3 0.8,esaʔ,0.0,3344.0
1186,one,DUPANINGAN AGTA,Esa,es a,7 7,XZ,EA,32.0,32.E.V 32.A.V,1.5 0.8,esa,0.0,3345.0
1226,one,ENGLISH,wən,w ə n,6 7 4,AXN,WEN,33.0,33.W.C 33.E.V 33.N.c,2.0 1.5 0.8,wən,0.0,3346.0
1266,one,ESKAYAN,oj,o j,7 6,XN,UJ,34.0,34.U.V 34.J.c,1.5 0.8,oj,0.0,3347.0
1306,one,ESTONIAN,uks,u ks,7 1,XN,YK,35.0,35.Y.V 35.K.c,1.5 0.8,uks,0.0,3348.0
1346,one,FINNISH,iksi,i ks i,7 1 7,XBZ,IKI,37.0,37.I.V 37.K.C 37.I.V,1.5 1.75 0.8,iksi,0.0,3350.0
1386,one,FUZHOU CHINESE,8uok,u o k,7 7 1,XYN,YUK,38.0,38.Y.V 38.U.V 38.K.c,1.5 1.3 0.8,uok,0.0,3351.0
1426,one,GADDANG,antet,a n t e t,7 4 1 7 1,XMBYN,ANTET,39.0,39.A.V 39.N.c 39.T.C 39.E.V 39.T.c,1.5 1.1 1.75 1.3 0.8,antet,0.0,3352.0
1466,one,HANUNOO,usa,u s a,7 3 7,XBZ,YSA,40.0,40.Y.V 40.S.C 40.A.V,1.5 1.75 0.8,usa,0.0,3411.0
1506,one,HIGAONON BINUKID,sabuwa,s a b u w a,3 7 1 7 6 7,AXBYBZ,SAPYWA,41.0,41.S.C 41.A.V 41.P.C 41.Y.V 41.W.C 41.A.V,2.0 1.5 1.75 1.3 1.75 0.8,sabuwa,0.0,3328.0
1546,one,HUNGARIAN,egj,e g j,7 1 6,XBC,EKJ,43.0,43.E.V 43.K.C 43.J.C,1.5 1.75 1.5,egj,0.0,3356.0
1586,one,IBALOI,sahei,s a h e i,3 7 3 7 7,AXBYZ,SAHEI,44.0,44.S.C 44.A.V 44.H.C 44.E.V 44.I.V,2.0 1.5 1.75 1.3 0.8,sahei,0.0,3357.0
1626,one,IBANAG,tadaj,t a d a j,1 7 1 7 6,AXBYN,TATAJ,45.0,45.T.C 45.A.V 45.T.C 45.A.V 45.J.c,2.0 1.5 1.75 1.3 0.8,tadaj,0.0,3317.0
