language,similiarity_to_spanish,similiarity_to_english,similiarity_to_japanese,Unrelated_Mean,Unrelated_Std_dev,Unrelated_Distribution,zscore_span,zscore_eng,zscore_jap
IFUGAO AMGANAD,2.7777777777777777,2.7777777777777777,6.0606060606060606,2.1153846153846154,3.3612612101824104,,0.1970668510934368,0.1970668510934368,1.1737324767471267
IFUGAO BATAD,5.714285714285714,2.857142857142857,6.25,1.9230769230769231,3.2522181779399544,,1.1657301520927628,0.28720887805184014,1.3304528909754358
IFUGAO BAYNINAN,2.7777777777777777,2.7777777777777777,6.0606060606060606,2.1153846153846154,3.3612612101824104,,0.1970668510934368,0.1970668510934368,1.1737324767471267
ILOKANO,2.941176470588235,2.941176470588235,3.225806451612903,2.5,2.886751345948129,,0.1528280124325479,0.1528280124325479,0.25142673013096595
ILONGOT KAKIDUGEN,0,2.857142857142857,12.5,3.076923076923077,2.729821070495844,,0,0,3.4519027730141
INIBALOI,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.076923076923077,2.729821070495844,,0,0,1.092995806916029
IRANUN,2.941176470588235,5.88235294117647,6.451612903225806,2.6923076923076925,2.155791246256441,,0.1154419653167747,1.4797561008786597,1.7438169013099925
IRIGA,2.5,2.5,8.108108108108109,3.4615384615384617,3.152125859780576,,0,0,1.4741066357334798
ISNAG,2.5,2.5,5.405405405405405,3.4615384615384617,2.802242691589025,,0,0,0.6936825813486786
ISNEG,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.269230769230769,2.7735009811261455,,0,0,1.0064446742116846
ITAWIT,2.941176470588235,2.941176470588235,6.451612903225806,3.4615384615384617,2.401922307076307,,0,0,1.2448672602266448
ITBAYATEN BATANES ISLANDS,2.7777777777777777,2.7777777777777777,9.090909090909092,2.6923076923076925,2.787908875382389,,0.03065741718633544,0.03065741718633544,2.2951257320861207
ITNEG BINONGAN,2.857142857142857,2.857142857142857,12.5,3.269230769230769,2.9553298223674394,,0,0,3.1234311517131093
IVATAN BATANES ISLANDS,5.555555555555555,0,12.121212121212121,1.5384615384615385,2.401922307076307,,1.6724496064086878,0,4.405950413788458
KADAZAN,2.5,5,10.81081081081081,2.6923076923076925,2.5943726083138543,,0,0.8894991799933213,3.129274142228756
KAGAYANEN,2.5,2.5,5.405405405405405,3.269230769230769,3.4436861586059724,,0,0,0.620316294165254
KALAGAN,5.555555555555555,2.7777777777777777,3.0303030303030303,3.076923076923077,3.087921049874237,,0.8026864801913982,0,0
KALINGA GUINAANG,2.7777777777777777,2.7777777777777777,12.121212121212121,3.4615384615384617,3.7553380809940538,,0,0,2.3059637968418034
KALINGA LIMOS,2.5,2.5,10.81081081081081,3.8461538461538463,3.765991543762719,,0,0,1.8493554443030848
KALLAHAN KAYAPA PROPER,2.7777777777777777,2.7777777777777777,3.0303030303030303,3.6538461538461537,3.901840459880308,,0,0,0
KALLAHAN KELEYQIQ IFUGAO,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.076923076923077,2.9143763901716166,,0,0,1.0237809343175766
KANKANAY NORTHERN,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.4615384615384617,3.613986363546138,,0,0,0.7191691770849201
KAPAMPANGAN,5.88235294117647,0,6.451612903225806,2.1153846153846154,1.7218430793029862,,2.1877535595849706,0,2.5183643852124584
KINARAY A,0,0,10.714285714285714,2.1153846153846154,2.246792585682293,,0,0,3.8271895473118778
LEGAZPI,0,5,8.108108108108109,4.423076923076923,3.2522181779399544,,0,0.1773937187967247,1.133082402043945
LIBON,2.5,2.5,8.108108108108109,3.269230769230769,3.2889675724013596,,0,0,1.4712450738285483
MAGUINDANAO,3.0303030303030303,3.0303030303030303,3.3333333333333335,2.1153846153846154,1.7218430793029862,,0.5313599281583663,0.5313599281583663,0.7073517514974431
MAMANWA,2.7777777777777777,2.7777777777777777,3.0303030303030303,4.038461538461538,3.152125859780576,,0,0,0
MANOBO ATA,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.076923076923077,3.5581254067635686,,0,0,0.8385547563926108
MANOBO DIBABAWON,5.555555555555555,0,6.0606060606060606,4.615384615384615,3.3612612101824104,,0.2797077886487491,0,0.4299640387493169
MANOBO ILIANEN,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.6538461538461537,3.901840459880308,,0,0,0.6168268363370593
MANOBO KALAMANSIG COTABATO,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.8461538461538463,3.901840459880308,,0,0,0.5675404305280448
MANOBO SARANGANI,2.7777777777777777,2.7777777777777777,6.0606060606060606,4.038461538461538,3.7553380809940538,,0,0,0.5384720306218747
MANOBO TIGWA,5.555555555555555,0,6.0606060606060606,2.6923076923076925,3.744654309470488,,0.7646227466194976,0,0.8994951442593005
MANOBO WESTERN BUKIDNON,2.7777777777777777,2.7777777777777777,6.0606060606060606,3.076923076923077,3.5581254067635686,,0,0,0.8385547563926108
MANSAKA,5.555555555555555,2.7777777777777777,3.0303030303030303,4.423076923076923,3.2522181779399544,,0.3482172998602374,0,0
MAPUN,2.941176470588235,2.941176470588235,9.67741935483871,3.8461538461538463,1.940625064515462,,0,0,3.004838809572328
MARANAO,5.88235294117647,2.941176470588235,3.225806451612903,2.3076923076923075,1.6012815380508714,,2.2323748501062144,0.39561073293021526,0.5733620991085377
MARINDUQUE TAGALOG,3.0303030303030303,3.0303030303030303,3.3333333333333335,2.6923076923076925,3.1393899456374053,,0.10766274462496342,0.10766274462496342,0.20418796394389627
MASBATENYO,2.941176470588235,2.941176470588235,3.225806451612903,2.5,2.282177322938192,,0.19331384382535266,0.19331384382535266,0.3180324527449351
MINANGALI LOWER TANUDAN KALINGA,3.0303030303030303,3.0303030303030303,10,2.3076923076923075,2.5943726083138543,,0.278530046260535,0.278530046260535,2.9649972666444047
MOLBOG,2.5,2.5,8.108108108108109,3.8461538461538463,3.4784132840073756,,0,0,1.225258160538127
MOLBOG 2,3.0303030303030303,3.0303030303030303,6.666666666666667,3.6538461538461537,3.164810522136458,,0,0,0.9519750050586467
MORO MAGINDANAU,2.631578947368421,5.263157894736842,5.555555555555555,3.076923076923077,2.729821070495844,,0,0.8008711052320573,0.9079834958495137
NAGA,0,5,10.81081081081081,4.423076923076923,3.2522181779399544,,0,0.1773937187967247,1.9641160396502229
NORTHERN CATANDUANES,2.5,2.5,8.108108108108109,4.038461538461538,4.023170072952103,,0,0,1.0115522077992503
NORTHERN SORSOGON,2.5,2.5,5.405405405405405,3.269230769230769,2.7735009811261455,,0,0,0.7702087184073283
OAS,2.5,2.5,8.108108108108109,3.076923076923077,3.2522181779399544,,0,0,1.547001079236303
PALAWANO BATAK,2.941176470588235,2.941176470588235,6.451612903225806,2.8846153846153846,2.8588593744843283,,0.019784493941067943,0.019784493941067943,1.2476995372512245
PANGASINAN,3.0303030303030303,3.0303030303030303,3.3333333333333335,2.3076923076923075,2.155791246256441,,0.3351951279445751,0.3351951279445751,0.47576082676004217
PANGUTARAN SAMA,6.666666666666667,3.3333333333333335,11.11111111111111,2.6923076923076925,1.6012815380508714,,2.4819863839788505,0.4003203845127178,5.257541049933693
PANGUTARAN SAMA (1),6.666666666666667,3.3333333333333335,11.11111111111111,2.6923076923076925,1.6012815380508714,,2.4819863839788505,0.4003203845127178,5.257541049933693
PROTO PALAWAN,2.857142857142857,2.857142857142857,6.25,3.8461538461538463,3.164810522136458,,0,0,0.7595545253127499
QUEZON PALAWAN,3.125,3.125,6.896551724137931,3.076923076923077,3.2522181779399544,,0.014782809899727013,0.014782809899727013,1.1744687589300398
ROMBLOMANON 1,3.125,3.125,3.4482758620689653,2.5,2.282177322938192,,0.27386127875258304,0.27386127875258304,0.41551366431426384
ROMBLOMANON 2,2.5,2.5,5.405405405405405,3.8461538461538463,2.81650356074554,,0,0,0.5536124935126369
SAMAL,2.7777777777777777,2.7777777777777777,12.121212121212121,4.615384615384615,2.670470044095282,,0,0,2.8106765407924192
SAMBAL BOTOLAN,2.7777777777777777,0,9.090909090909092,2.6923076923076925,3.60288346061446,,0.02372268945260542,0,1.7759667967473303
SANGIL,6.666666666666667,3.3333333333333335,7.4074074074074066,1.5384615384615385,1.6261090889699772,,3.1536661119417744,1.103783139179621,3.6091956614444745
SANGIL SARANGANI ISLANDS,5.555555555555555,2.7777777777777777,6.0606060606060606,2.5,2.886751345948129,,1.0584754935143137,0.09622504486493759,1.233430120541473
SIBUTU SOUTHERN SAMA,6.451612903225806,3.225806451612903,10.344827586206897,3.269230769230769,2.3683273335783546,,1.3437256281574517,0,2.987592431442094
SOGODNIN BORACAY,3.0303030303030303,6.0606060606060606,3.3333333333333335,2.5,2.7003086243366083,,0.19638608176993516,1.3185922633124219,0.3086066999241839
SOUTHERN CATANDUANES,2.5,5,8.108108108108109,3.6538461538461537,4.160251471689218,,0,0.32357511446471704,1.0706713246959945
SOUTHERN SORSOGON,2.5,2.5,8.108108108108109,3.269230769230769,2.7735009811261455,,0,0,1.7446820361002986
SOUTHWEST PALAWANO,2.941176470588235,2.941176470588235,6.451612903225806,3.6538461538461537,3.4784132840073756,,0,0,0.8043226957080929
SUBANON SIOCON,2.7777777777777777,2.7777777777777777,6.0606060606060606,2.6923076923076925,3.1393899456374053,,0.027225061859186075,0.027225061859186075,1.0729149378142913
SUBANUN SINDANGAN,2.7777777777777777,5.555555555555555,12.121212121212121,4.038461538461538,3.313240725115533,,0,0.45788825592837534,2.43953013177717
SURIGAONON,2.941176470588235,2.941176470588235,3.225806451612903,3.8461538461538463,2.81650356074554,,0,0,0
TAGABAWA,0,3.4482758620689653,7.142857142857142,2.6923076923076925,3.60288346061446,,0,0.20982309808942443,1.2352743293535293
TAGABILI,2.7777777777777777,0,12.121212121212121,2.1153846153846154,2.670470044095282,,0.24804365952645308,0,3.7468413202954842
TAGALOG,2.5,2.5,5.405405405405405,3.4615384615384617,3.466876226407682,,0,0,0.5606969551033396
TAGBANUA ABORLAN,3.0303030303030303,3.0303030303030303,6.666666666666667,3.4615384615384617,3.152125859780576,,0,0,1.0168147934776053
TAGBANWA ABORLAN,2.7777777777777777,2.7777777777777777,6.0606060606060606,4.038461538461538,3.7553380809940538,,0,0,0.5384720306218747
TAGBANWA KALAMIAN,8.571428571428571,5.714285714285714,9.375,4.038461538461538,3.7553380809940538,,1.2070729546052315,0.44625121352072206,1.42105406928525
TALAANDIG BINUKID,5.128205128205128,5.128205128205128,8.333333333333332,2.8846153846153846,2.670470044095282,,0.840147879041212,0.840147879041212,2.0403591348143717
TAMBUNAN DUSUN,2.941176470588235,5.88235294117647,6.451612903225806,2.6923076923076925,2.3851839686075715,,0.10433944783966821,1.3374420132175675,1.5761070258713543
TAUSUG,5.555555555555555,2.7777777777777777,3.0303030303030303,4.038461538461538,3.152125859780576,,0.48129233557939977,0,0
TAUT BATU,3.225806451612903,3.225806451612903,6.896551724137931,3.4615384615384617,3.152125859780576,,0,0,1.0897449579753091
TBOLI TAGABILI,5.88235294117647,0,6.451612903225806,2.3076923076923075,3.1393899456374053,,1.1386481754047864,0,1.3199763862695746
TIMUGON MURUT,5.88235294117647,0,3.225806451612903,3.076923076923077,4.227125470528376,,0.6636731944232362,0,0.035220949964188314
TIRURAY,10.256410256410255,2.564102564102564,8.333333333333332,1.9230769230769231,2.317021739990746,,3.5965710590901123,0.27665931223770085,2.7665931223770093
WARAY WARAY,5.714285714285714,2.857142857142857,3.125,3.269230769230769,2.3683273335783546,,1.0323973845966052,0,0
YAKAN,2.941176470588235,2.941176470588235,9.67741935483871,3.6538461538461537,2.4185448051171132,,0,0,2.4905774696619183
YOGAD,5.405405405405405,0,8.823529411764707,4.038461538461538,2.98231969601362,,0.45834920675037655,0,1.604478513721795
IMOROD,3.225806451612903,3.225806451612903,7.142857142857142,2.1153846153846154,1.7218430793029862,,0.6449030399900285,0.6449030399900285,2.919820387760122
BABUYAN,3.3333333333333335,3.3333333333333335,11.11111111111111,0.7692307692307693,1.2009611535381535,,2.135042050734495,2.135042050734495,8.611336271295796
BISAYA SABAH,0,0,10.714285714285714,2.5,2.282177322938192,,0,0,3.5993196636053773
FINALLIG,3.3333333333333335,3.3333333333333335,11.11111111111111,3.269230769230769,2.9553298223674394,,0.02169049410911889,0.02169049410911889,2.653470446015535
HILIGAYNON,3.225806451612903,0,3.4482758620689653,2.3076923076923075,2.155791246256441,,0.42588267556745696,0,0.5290788504486674
INABAKNON,3.3333333333333335,0,7.4074074074074066,3.269230769230769,2.3683273335783546,,0.02706659809803843,0,1.747299277217808
IRARALAY IVATAN,3.3333333333333335,3.3333333333333335,7.4074074074074066,1.5384615384615385,1.919869119470761,,0.934892788611849,0.934892788611849,3.0569510230800137
ISAMORONG IVATAN,6.451612903225806,0,10.714285714285714,0.7692307692307693,1.2009611535381535,,4.73152867372451,0,8.280913096777361
IVASAY IVATAN,6.666666666666667,0,10.714285714285714,0.7692307692307693,1.576062929890288,,3.7418784399975875,0,6.310062089809595
KANKANAEY,3.225806451612903,3.225806451612903,3.571428571428571,2.5,2.5,,0.2903225806451612,0.2903225806451612,0.4285714285714285
LIMOS KALINGA,3.225806451612903,3.225806451612903,14.285714285714285,2.6923076923076925,2.5943726083138543,,0.20563690720275693,0.20563690720275693,4.468674451871209
MANDAYAN BOSO,6.451612903225806,3.225806451612903,3.571428571428571,3.6538461538461537,2.81650356074554,,0.9933474923919755,0,0
MANDAYAN CARAGA,6.896551724137931,3.4482758620689653,3.8461538461538463,2.3076923076923075,2.968855429976772,,1.545666174954678,0.3841829220985616,0.5182002205050367
MANDAYAN ISLAM PISO,6.666666666666667,3.3333333333333335,3.7037037037037033,2.5,2.886751345948129,,1.4433756729740643,0.2886751345948129,0.4169751944147295
MANSAKA 2,6.451612903225806,3.225806451612903,3.571428571428571,3.6538461538461537,2.81650356074554,,0.9933474923919755,0,0
PROTO SOUTHERN MINDANAO,3.4482758620689653,0,11.538461538461538,1.5384615384615385,2.17429623155726,,0.8783597634438212,0,4.5991893169211195
SINAUNA,0,3.4482758620689653,3.8461538461538463,1.5384615384615385,1.919869119470761,,0,0.9947627701485682,1.20200501392952
SOUTHERN KALINGA,3.3333333333333335,3.3333333333333335,14.814814814814813,2.8846153846153846,3.2025630761017427,,0.1401121345794513,0.1401121345794513,3.725203578104457
