"population","model_region","island_group","region","province","precision_tier","latitude","longitude","model","balangao_admx","aytamagbukon_admx","span_admx","eastasian_admx","atamanobo_admx","balangao_se","aytamagbukon_se","span_se","eastasian_se","atamanobo_se","malder_span_se","malder_eastasian_se","malder_joint_ceu_eas_se","effblocks","qpadm_pval","malder_span","malder_eastasian","malder_joint_ceu_eas","malder_span_years","malder_eastasian_years","malder_joint_ceu_eas_years","malder_span_se_years","malder_eastasian_se_years","malder_joint_ceu_eas_se_years","span_se_capped","span_w","span_w_capped","nearest_node","geodist_H1_span","geodist_H2_span","using_network"
"MangyanHanunuo","non_mindanao","Mindoro","Mimaropa","Oriental Mindoro","B",12.5225,121.4,"4-source",0.731,0.261,0,0.03,NA,0.046,0.023,0.015,0.047,NA,NA,NA,NA,499.591,0.483241083,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,4444.44444444444,FALSE,"17",174.782391242783,694.517898057477,TRUE
"MangyanIraya","non_mindanao","Mindoro","Mimaropa","Oriental Mindoro","B",13.4297,121.0158,"4-source",0.666,0.352,0,0,NA,0.05,0.026,0.017,0.052,NA,NA,NA,NA,499.596,0.366944812,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,3460.20761245675,FALSE,"14",5.89346752127659,322.208728733855,TRUE
"BinukidnonNegros","non_mindanao","Negros","Western Visayas","Negros Occidental","A",9.9892,122.8147,"4-source",0.699,0.257,0,0.055,NA,0.04,0.021,0.013,0.041,NA,NA,NA,9.6,499.591,0.043210794,NA,NA,22.8,NA,NA,684,NA,NA,288,0.013,5917.15976331361,FALSE,"31",320.482876452438,1496.15076718124,FALSE
"Sulodnon","non_mindanao","Panay","Western Visayas","Capiz / Iloilo / Antique","B",11.15,122.4,"4-source",0.755,0.196,0,0.076,NA,0.039,0.019,0.013,0.04,NA,NA,NA,NA,499.599,0.221859894,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,5917.15976331361,FALSE,"32",692.028638055024,1145.32174352305,FALSE
"Kinaray-a","non_mindanao","Panay","Western Visayas","Antique","C",10.7444,121.9394,"4-source",0.788,0.228,0,0.011,NA,0.04,0.02,0.013,0.041,NA,NA,NA,8.66,499.591,0.00136746203,NA,NA,22.66,NA,NA,679.8,NA,NA,259.8,0.013,5917.15976331361,FALSE,"25",169.06623442067,1120.74206703309,FALSE
"Hilgaynon","non_mindanao","Panay","Western Visayas","Iloilo","C",10.7202,122.5621,"4-source",0.77,0.198,0,0.05,NA,0.041,0.02,0.013,0.042,NA,NA,NA,5.44,499.59,0.00198614191,NA,NA,22.01,NA,NA,660.3,NA,NA,163.2,0.013,5917.15976331361,FALSE,"31",521.202174883584,1344.82681709805,FALSE
"Cebuano","non_mindanao","Cebu","Central Visayas","Cebu","C",10.3157,123.8854,"4-source",0.713,0.245,0,0.063,NA,0.043,0.021,0.014,0.042,NA,7.32,NA,8.9,499.58,0.00564310052,22.92,NA,21.91,687.6,NA,657.3,219.6,NA,267,0.014,5102.04081632653,FALSE,"32",30.7031103458924,1155.76058680607,TRUE
"Boholano","non_mindanao","Bohol","Central Visayas","Bohol","C",9.65,123.85,"4-source",0.678,0.268,0,0.093,NA,0.053,0.025,0.016,0.052,NA,NA,NA,NA,499.591,0.00608261572,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,3906.25,FALSE,"30",9.04706848547429,1210.72905567481,TRUE
"Waray","non_mindanao","Samar-Leyte","Eastern Visayas","Leyte","C",11.2444,125,"4-source",0.786,0.217,0,0.024,NA,0.038,0.02,0.013,0.038,NA,NA,10.44,4.13,499.577,0.0682584966,NA,35.03,13.6,NA,1050.9,408,NA,313.2,123.9,0.013,5917.15976331361,FALSE,"38",311.71551094016,1207.23362648618,FALSE
"Tausug","mindanao_sulu","Sulu","BARMM","Sulu","C",6.0522,121.0022,"5-source",0.187,0,0.032,0.105,0.822,1.68,1.887,0.243,0.073,3.319,NA,NA,6.85,499.61,0.217034673,NA,NA,23.91,NA,NA,717.3,NA,NA,205.5,0.243,16.9350878084303,FALSE,"24",73.6277540310072,1682.99112375006,FALSE
"Surigaonon","mindanao_sulu","Mindanao","Caraga","Surigao del Norte","C",9.7894,125.4939,"5-source",0.488,0,0,0.052,0.477,10.504,10.101,1.139,1.567,18.253,NA,NA,6.36,499.593,0.351051405,NA,NA,15.73,NA,NA,471.9,NA,NA,190.8,0.701800000000001,2.03036104448594,TRUE,"36",44.9439642172926,1223.23712507378,TRUE
"Cuyonon","non_mindanao","Cuyo Is.","Mimaropa","Palawan","B",10.85,121.0167,"4-source",0.678,0.303,0,0.037,NA,0.04,0.021,0.013,0.041,NA,6.98,NA,3.46,499.594,0.237963377,18.74,NA,19.75,562.2,NA,592.5,209.4,NA,103.8,0.013,5917.15976331361,FALSE,"25",146.779365015215,1142.65124966483,FALSE
"Agutaya","non_mindanao","Cuyo Is.","Mimaropa","Palawan","B",11.1512,120.9395,"4-source",0.67,0.316,0,0.034,NA,0.045,0.02,0.013,0.046,NA,NA,NA,1.7,499.591,0.556666869,NA,NA,8.04,NA,NA,241.2,NA,NA,51,0.013,5917.15976331361,FALSE,"25",180.43436873818,1102.63683069682,FALSE
