population,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
BagoboKlata,0.006862866,-0.006863003,125.42,7.16,Bilic,#BA7862,0.021697339117174974,-0.026248465717168865,123.8276668183178,10.148899622868967
Balangao,0.01966678,-0.02415752,121.2167,17.2333,Meso-Cordilleran,#EA7B81,0.07283805069581839,-0.07089234825412413,126.47602264960139,7.836986413251841
Batak,-0.011601166666666666,0.0150734,119.05,10.3,Palawanic-Kalamian,#87B1F1,-0.04260640930647272,0.037369980713335256,120.49765435164969,13.443423269109903
Bicolano,0.0020924045000000006,0.06483974099999999,123.1948,13.6218,Central Philippine,#565153,-0.20256962947714371,0.006915727157343885,112.21385238932402,11.866329452799373
BinukidnonNegros,0.005421642875,-0.00387703375,122.8147,9.9892,Central Philippine,#565153,0.012672782039460555,-0.020960039107688545,123.36032411572823,10.422764319256595
BlaanKoronadal,0.005152825,-0.00450682,124.8469,6.5031,Tboli-Blaan,#5C7193,0.014721292910354386,-0.02027425001839748,123.46640761638577,10.458278364282382
BlaanSarangani,0.00711565,-0.00654797,125.2836,6.2861,Tboli-Blaan,#5C7193,0.020642658165186827,-0.026963565282836163,123.77304946233818,10.111867715290382
Boholano,0.007264754,-0.005757208,123.85,9.65,Central Philippine,#565153,0.018118270159251746,-0.027232127032618382,123.64232234709928,10.097960066097787
Bolinao,0.008062755,-0.00830023,119.8833,16.3833,Sambalic,#F1C878,0.025912876967426803,-0.03038568368885078,124.04597125529347,9.934651033000485
Bontoc,0.01940093,-0.02400456,120.9764,17.0897,Meso-Cordilleran,#EA7B81,0.07242439760981681,-0.07001761391450448,126.4546013488681,7.882285113986446
Bugkalot,0.005243813846153846,-0.007481704615384615,121.2167,15.95,Meso-Cordilleran,#EA7B81,0.024053022176484713,-0.021313942232608355,123.94965743546409,10.40443721007765
BukdinonMatigsalug,0.001320326375,1.0065975000000007e-4,125.2,7.8,Manobo,#F16DEF,0.0012034937674924783,-0.007055508271368928,122.76637937897912,11.14281971514216
BukidnonBinukid,0.0050872275,-0.00428227125,125.1278,8.1575,Manobo,#F16DEF,0.014031796813570648,-0.02001109250321243,123.43070160150647,10.471906151584768
BukidnonHigaonon,0.005301115555555556,-0.004830686666666667,125,8.3,Manobo,#F16DEF,0.015702155609719205,-0.020822601169651393,123.51720224495789,10.429881634471903
BukidnonManobo,0.002792888,-0.00188778427,125.1,8.05,Manobo,#F16DEF,0.007083309534551445,-0.01218979766429199,123.07086955701699,10.876937117237057
BukidnonTalaandig,0.004962431428571428,-0.004793811428571429,125.0333,8.0167,Manobo,#F16DEF,0.015671990593852377,-0.019748239232660694,123.51564012950807,10.485518183376056
BukidnonTigwahanon,0.00254595075,-0.0016989035875000001,125.3153,7.8858,Manobo,#F16DEF,0.006551910005480336,-0.011365436983190785,123.04335067825848,10.919627184494296
BukidnonUmayamnon,-0.015289981666666667,-0.019727718333333335,125.3,8.15,Manobo,#F16DEF,0.06776308366861804,0.040154278258657,126.21321209994,13.587609973059887
Cebuano,0.007212367,-0.005592596,123.8854,10.3157,Central Philippine,#565153,0.017613903910228983,-0.02702569367731545,123.61620340476412,10.108650354977463
Chavacano,0.005137481,0.0041275217,122.079,6.9214,Latino-Faliscan,#B68FA9,-0.012426242191581303,-0.01803882852845175,122.06055441894587,10.574041155912107
Cinamiguin,0.006703842,-0.00514911,124.7486,9.1039,Manobo,#F16DEF,0.01634813927501443,-0.025314253819655057,123.55065493957414,10.197278408577306
Cuyonon,0.0033814459999999998,-1.8470651999999999e-4,121.0167,10.85,Central Philippine,#565153,0.0015787486603544424,-0.013609160572431275,122.78581220369063,10.803434463119745
DavaoMatigsalug,5.4614875e-4,9.265458750000001e-4,125.3333,7.3333,Manobo,#F16DEF,-0.0011974679398472079,-0.004411835102231287,122.64204397686915,11.279724092053831
Dibabaon,0.006346216666666666,-0.005971554444444444,126.0667,7.7333,Manobo,#F16DEF,0.019024976103339575,-0.02439800450224568,123.68927671867841,10.244726990103967
Gaddang,-0.004274655,-0.0228213125,121.15,16.4833,Cagayan Valley,#79F287,0.07470085376223745,0.00473200616122049,126.5724891478412,11.753244005697482
Gddang,0.01352769,-0.015190229999999999,121.47,17.27,Cagayan Valley,#79F287,0.046194741614495466,-0.04931594722902064,125.09628113267499,8.954334719699904
Hilgaynon,0.008158611,-0.0072109159999999995,122.5621,10.7202,Central Philippine,#565153,0.022463155090210924,-0.030411176162969143,123.86732510885138,9.933330888239077
Ibaloi,0.018521160000000002,-0.0225008,120.5875,16.4597,Meso-Cordilleran,#EA7B81,0.06791855151993796,-0.0668701838476648,126.2212631062305,8.045276877569044
Ibanag,0.01142950888888889,-0.011383095555555556,121.7269,17.6131,Cagayan Valley,#79F287,0.03475437521056498,-0.04175365043756646,124.5038341341369,9.345953298857658
Ibatan,0.012896816666666666,-0.014126366666666668,121.9403,19.5225,Batanic,#60B57B,0.043009139825808076,-0.047062624425569986,124.93131262103738,9.071024542779623
Ilocano,0.010761947000000001,-0.010980816000000001,120.3869,17.5747,Northern Luzon,#7E6E40,0.03365847348751332,-0.03955254358784081,124.44708213305661,9.45993908397496
Iranun,0.00854013,-0.00829661,124.2667,7.3667,Danaw,#C573F1,0.02578056938312834,-0.03188591299655427,124.0391196188656,9.856960658489186
Itawis,0.01255028,-0.012730804,121.45,17.7167,Cagayan Valley,#79F287,0.0387084557548666,-0.04561939947169897,124.70859883027849,9.14576290883776
Itbayaten,0.012520274999999999,-0.01289295,121.85,20.7833,Yami-Itbayat,#9ECCC9,0.039225938230771265,-0.04556611951071072,124.7353970051639,9.1485220471254
Itneg,0.0153635,-0.01825343,120.6178,17.5983,Meso-Cordilleran,#EA7B81,0.05536220428467146,-0.05586474920384579,125.5710242966081,8.615200645054129
Ivatan,0.01214316,-0.012391302,121.97,20.4489,Batanic,#60B57B,0.037743990682773725,-0.044253176519772765,124.65865336376267,9.216513674908022
Kagayanen,0.006153339,-0.005441061,121.2072,9.5817,Manobo,#F16DEF,0.01740565231734296,-0.02365710461777308,123.60541895723945,10.283094984386231
Kalagan,0.007997625555555556,-0.007754876666666666,125.35,6.6333,Central Philippine,#565153,0.024214465007677745,-0.03004273478667082,123.95801786006928,9.952410870454523
Kalanguya,0.01940768,-0.02370021,120.9333,16.6333,Meso-Cordilleran,#EA7B81,0.07146563330012184,-0.06996174475786003,126.40495110013227,7.8851783354966845
Kalinga,0.01538585,-0.01824322,121.4442,17.4547,Meso-Cordilleran,#EA7B81,0.055324436577500316,-0.05593244437785247,125.56906847072236,8.611695005353464
Kamayo,0.008467581,-0.007862898,126.3181,8.2117,Central Philippine,#565153,0.02443510254477729,-0.03154791261301721,123.96944372196951,9.874464233607416
Kankanaey,0.019623790000000002,-0.02413533,120.9,17.0833,Meso-Cordilleran,#EA7B81,0.07277916217954726,-0.07075154157843973,126.47297306854067,7.844278180791269
Kapampangan,0.0077473460000000004,-0.005003609,120.6833,15.0333,Central Luzon,#477C65,0.015626268295435047,-0.0285587839492783,123.5132723698134,10.029258253532156
Kinaray-a,0.006994026,-0.007037158,121.9394,10.7444,Central Philippine,#565153,0.022211760099130708,-0.026705024815125843,123.85430645169878,10.125256405712307
Lambanguian,0.003021729,-0.0013567657,124.22,6.87,Bilic,#BA7862,0.005355508603896483,-0.012774894978057528,122.98139423434846,10.846637462911826
Maguindanaon,0.006026711,-0.00339867,124.43,6.95,Danaw,#C573F1,0.011015256319764119,-0.022741552645701744,123.27448804169336,10.330507453419825
Malaweg,0.011489069,-0.011446580999999999,121.45,17.9167,Cagayan Valley,#79F287,0.03493892337829473,-0.041957023814229125,124.51339108399294,9.33542147301116
