"","Isnag","Yogad","Agta","Gaddang","Ibanag","Atta","Casiguran Dumagat","Ilokano","Itneg","North Kalinga","Central Kalinga","South Kalinga","Balangaw","Central Ifugao","East Ifugao","Central Bontok","North Kankanay","Ilongot","Pangasinan","Inibaloi","North Kallahan","Itbayaten","Ivatanen","Kapampangan","Tina","Iraya","Siocon Subanon","Sindangan","Binukid","Ata","Tigwa","Dibabawon","Ilianen","Western Bukidnon","Sarangani Manobo","Kalamansig","Magindanao","Maranao","Hanunoo","Buhid","Kalamianen","Batak","Tagbanwa","Tagalog","Naga","Mansakan","Kalagan","Mamanwa","Tausug","Cebuano","Waray","Hiligaynon","Kuyunon","Tiruray","Tboli","Cotabato Bilaan","Sarangani Bilaan","Sangil"
"Siocon Subanon",2498.87535933215,2819.1756069356,1990.25423554396,2662.16817232061,2776.13985258562,2390.29889213328,2435.88314417212,2208.49617130598,2272.68374624699,2579.64510458214,2428.94518837464,2445.0229317847,2561.62575848516,2474.51277074728,2594.66805822176,2428.85059118404,2335.69588982622,2581.92807535228,2248.01113169262,2195.77048250466,2532.18849741443,2458.04196184175,2458.04196184175,2059.68544730587,1910.0125405133,1410.35284444918,0,330.999668091061,1108.94877013526,646.821597058184,1350.72052798455,1422.2658701748,757.050054401233,1365.84359402025,2060.08001966029,845.719521715408,541.663424275641,891.564693028987,698.096650553688,804.221378949972,685.156175459856,594.282974808288,620.629736670225,1853.66273095083,1175.04494757296,1714.64508746287,1662.18303958282,802.827270363724,593.145691868948,577.222937030246,1229.86397337375,716.418998030027,633.732858273424,331.762124882454,1031.1171743288,842.863893813754,1021.80142885816,765.569058620378
"Sindangan",2465.23020439125,2785.53045199471,1956.60908060306,2628.52301737971,2742.49469764472,2356.65373719238,2402.23798923122,2174.85101636508,2239.03859130609,2545.99994964124,2395.30003343375,2411.3777768438,2527.98060354427,2440.86761580638,2561.02290328087,2395.20543624314,2302.05073488532,2548.28292041139,2214.36597675172,2162.12532756376,2498.54334247353,2424.39680690085,2424.39680690085,2026.04029236497,1876.36738557241,1376.70768950828,330.999668091061,0,1075.30361519436,613.176442117287,1317.07537304366,1388.62071523391,1502.54527904825,1332.19843907935,2026.4348647194,812.074366774511,564.612065576717,857.919538088091,803.047556955073,1648.70658229893,640.496078719083,605.960510563412,648.595395139787,1820.01757600994,1141.39979263206,1680.99993252197,1628.53788464193,769.182115422828,717.082428075533,543.57778208935,1196.21881843285,682.773843089131,649.938895905855,828.619002871744,997.472019387907,1007.57897006101,2143.72898856825,2390.60776999408
"Binukid",2531.72094455527,2852.02119215872,2023.09982076708,2695.01375754373,2808.98543780874,2423.1444773564,2468.72872939524,2241.3417565291,2305.52933147011,2612.49068980526,2461.79077359777,2477.86851700782,2594.47134370828,2507.3583559704,2627.51364344488,2461.69617640716,2368.54147504934,2614.77366057541,2280.85671691574,2228.61606772778,2565.03408263755,2490.88754706487,2490.88754706487,2092.53103252899,1942.85812573643,1443.1984296723,1108.94877013526,1075.30361519436,0,1156.32079092995,261.203967136366,1075.72623584948,427.290048120983,256.917666832663,1713.54038533497,1590.02346881871,632.43488385069,397.725874666127,1830.31662795235,1715.19732246295,1793.39622670514,994.257729588573,2325.14726805792,1886.50831617396,1207.89053279608,1368.10545313755,651.845765678719,456.287636038402,1099.39639018234,730.742536741284,1262.70955859687,1225.91819190179,1108.24020870624,1606.56810491594,1775.4211214321,1736.95183812472,1830.83450918383,2077.71329060965
"Ata",2546.24738012684,2866.54762773029,2037.62625633865,2709.5401931153,2823.51187338031,2437.67091292797,2483.25516496681,2255.86819210067,2320.05576704168,2627.01712537683,2476.31720916934,2492.39495257939,2608.99777927985,2521.88479154197,2642.04007901645,2476.22261197873,2383.06791062091,2629.30009614698,2295.38315248731,2243.14250329935,2579.56051820912,2505.41398263644,2505.41398263644,2107.05746810056,1957.384561308,1457.72486524387,646.821597058184,613.176442117287,1156.32079092995,0,1398.09254877924,1469.63789096949,1583.56245478384,1413.21561481494,2107.45204045498,1127.89629574163,1786.96174313252,938.936713823679,729.87541497176,1729.72375803452,601.448475379252,664.64699090635,732.30367556222,1901.03475174553,1222.41696836765,1762.01710825756,1709.55506037752,850.199291158416,649.407371592385,296.927968047821,1277.23599416844,125.945067452398,643.143698286678,1144.44093183887,1313.29394835503,2130.86349324473,2224.74616430384,2471.62494572967
"Tigwa",2773.49270240457,3093.79295000802,2264.87157861638,2936.78551539303,3050.75719565804,2664.91623520569,2710.50048724454,2483.1135143784,2547.30108931941,2854.26244765456,2703.56253144706,2719.64027485712,2836.24310155758,2749.1301138197,2869.28540129418,2703.46793425646,2610.31323289864,2856.5454184247,2522.62847476503,2470.38782557708,2806.80584048685,2732.65930491417,2732.65930491417,2334.30279037828,2184.62988358572,1684.9701875216,1350.72052798455,1317.07537304366,261.203967136366,1398.09254877924,0,415.430942691396,271.413485176214,157.833387308883,773.438503313523,770.617744644037,473.794971696522,458.533887064318,2072.08838580165,1956.96908031225,2035.16798455443,2506.15839524106,2566.91902590722,2128.28007402325,1449.66229064538,535.738705743855,427.252577233283,698.059393887698,935.422721851686,972.51429459058,1504.48131644617,1467.68994975109,2543.41208495888,681.833068220987,809.403896555788,741.798977076111,815.781370672954,1064.00148055107
"Dibabawon",2845.03804459482,3165.33829219827,2336.41692080663,3008.33085758328,3122.30253784828,2736.46157739594,2782.04582943479,2554.65885656865,2618.84643150966,2925.80778984481,2775.10787363731,2791.18561704737,2907.78844374783,2820.67545600995,2940.83074348443,2775.01327644671,2681.85857508889,2928.09076061495,2594.17381695528,2541.93316776733,2878.3511826771,2804.20464710442,2804.20464710442,2405.84813256853,2256.17522577597,1756.51552971185,1422.2658701748,1388.62071523391,1075.72623584948,1469.63789096949,415.430942691396,0,664.747681817842,572.623991413512,540.482886274021,1903.34056885825,838.880459308934,1714.3809869403,2143.6337279919,2028.5144225025,2106.71332674468,2577.7037374313,2638.46436809747,2199.8254162135,1521.20763283563,294.528593516509,275.458826168423,769.604736077948,2764.431267165,1044.05963678083,1576.02665863642,1539.23529194134,2614.95742714913,1919.88520495549,2088.73822147165,943.652820229782,665.891264771021,826.024626996016
"Ilianen",2958.96260840917,3279.26285601262,2450.34148462098,3122.25542139763,3236.22710166263,2850.38614121029,2895.97039324914,2668.583420383,2732.77099532401,3039.73235365916,2889.03243745166,2905.11018086172,3021.71300756218,2934.6000198243,3054.75530729878,2888.93784026106,2795.78313890323,3042.0153244293,2708.09838076963,2655.85773158167,2992.27574649145,2918.12921091877,2918.12921091877,2519.77269638288,2370.09978959032,1870.44009352619,757.050054401233,1502.54527904825,427.290048120983,1583.56245478384,271.413485176214,664.747681817842,0,170.772884268383,781.624499777058,516.430383289713,210.07089709834,337.028554964757,2257.55829180625,2142.43898631685,2220.63789055903,2691.62830124565,2752.38893191182,2313.74998002785,1635.13219664997,669.991184983466,556.968206243633,883.529299892296,783.739793683489,1157.98420059518,1689.95122245077,1653.15985575569,2728.88199096348,410.678364597559,586.893281233758,579.814187564487,703.765366249757,845.995054411432
"Western Bukidnon",2788.61576844027,3108.91601604372,2279.99464465208,2951.90858142873,3065.88026169373,2680.03930124139,2725.62355328024,2498.2365804141,2562.42415535511,2869.38551369026,2718.68559748276,2734.76334089282,2851.36616759328,2764.2531798554,2884.40846732988,2718.59100029216,2625.43629893433,2871.6684844604,2537.75154080073,2485.51089161277,2821.92890652255,2747.78237094987,2747.78237094987,2349.42585641398,2199.75294962142,1700.09325355729,1365.84359402025,1332.19843907935,256.917666832663,1413.21561481494,157.833387308883,572.623991413512,170.772884268383,0,899.833619032113,686.097039257814,378.735842840263,305.036928669368,2087.21145183735,1972.09214634795,2050.29105059013,2521.28146127675,2582.04209194292,2143.40314005895,1464.78535668107,680.1079578567,567.231148162559,713.182459923396,761.838123635554,987.637360626277,1519.60438248187,1482.81301578679,2558.53515099458,565.512474509667,755.991625294439,731.866883226002,837.561583177448,1020.24813081739
"Sarangani Manobo",3482.85219408031,3803.15244168376,2974.23107029212,3646.14500706877,3760.11668733377,3374.27572688143,3419.85997892028,3192.47300605414,3256.66058099515,3563.6219393303,3412.9220231228,3428.99976653286,3545.60259323332,3458.48960549544,3578.64489296992,3412.8274259322,3319.67272457438,3565.90491010044,3231.98796644077,3179.74731725282,3516.16533216259,3442.01879658991,3442.01879658991,3043.66228205402,2893.98937526146,2394.32967919734,2060.08001966029,2026.4348647194,1713.54038533497,2107.45204045498,773.438503313523,540.482886274021,781.624499777058,899.833619032113,0,671.383212778137,710.180391882178,1111.77200145979,2781.44787747739,2666.32857198799,2744.52747623017,3215.5178869168,3276.27851758296,2837.63956569899,2159.02178232112,362.110698796507,288.919999914272,1407.41888556344,956.412195547208,1681.87378626632,2213.84080812191,2177.04944142683,3252.77157663462,818.27424730198,517.223425376108,307.596041658749,129.503773757063,197.854559579625
"Kalamansig",2979.9500580156,3300.25030561905,2471.32893422741,3143.24287100406,3257.21455126907,2871.37359081673,2916.95784285557,2689.57086998943,2753.75844493044,3060.71980326559,2910.01988705809,2926.09763046815,3042.70045716861,2955.58746943073,3075.74275690521,2909.92528986749,2816.77058850967,3063.00277403574,2729.08583037607,2676.84518118811,3013.26319609788,2939.1166605252,2939.1166605252,2540.76014598932,2391.08723919675,1891.42754313263,845.719521715408,812.074366774511,1590.02346881871,1127.89629574163,770.617744644037,1903.34056885825,516.430383289713,686.097039257814,671.383212778137,0,307.498875953675,1372.63939171244,2278.54574141268,2163.42643592328,2241.62534016546,2001.15738897191,1021.35988921646,2334.73742963429,1656.11964625641,898.114636426403,832.607462242203,1283.90196904717,537.302827461566,1058.2976357137,1710.9386720572,1197.49369671348,2038.41107868973,205.471776412163,174.257786542696,363.865100306921,543.592273535352,436.206247180551
"Magindanao",3162.36189675784,3482.66214436129,2653.74077296965,3325.6547097463,3439.6263900113,3053.78542955896,3099.36968159781,2871.98270873167,2936.17028367268,3243.13164200783,3092.43172580033,3108.50946921039,3225.11229591085,3137.99930817297,3258.15459564745,3092.33712860973,2999.18242725191,3245.41461277797,2911.4976691183,2859.25701993035,3195.67503484012,3121.52849926744,3121.52849926744,2723.17198473155,2573.49907793899,2073.83938187487,541.663424275641,564.612065576717,632.43488385069,1786.96174313252,473.794971696522,838.880459308934,210.07089709834,378.735842840263,710.180391882178,307.498875953675,0,436.64736933854,2460.95758015492,2345.83827466552,2424.0371789077,1286.41671611801,1387.90264172029,2517.14926837652,1838.53148499865,742.502231434184,643.738929002684,1086.92858824097,681.143189513351,1361.38348894385,1893.35051079944,1856.55914410436,1223.14151494463,219.513165435928,398.442767565176,449.048620627084,607.017560350672,655.906734911297
"Maranao",2790.99047609765,3111.2907237011,2282.36935230946,2954.28328908611,3068.25496935111,2682.41400889877,2727.99826093762,2500.61128807148,2564.79886301249,2871.76022134763,2721.06030514014,2737.1380485502,2853.74087525066,2766.62788751278,2886.78317498726,2720.96570794954,2627.81100659171,2874.04319211778,2540.12624845811,2487.88559927015,2824.30361417993,2750.15707860725,2750.15707860725,2351.80056407136,2202.1276572788,1702.46796121467,891.564693028987,857.919538088091,397.725874666127,938.936713823679,458.533887064318,1714.3809869403,337.028554964757,305.036928669368,1111.77200145979,1372.63939171244,436.64736933854,0,2089.58615949473,1974.46685400533,2052.66575824751,2047.00256028549,2107.76319095165,2145.77784771633,1467.16006433845,984.516471489705,870.785135552383,1094.94238712922,702.883997011145,869.338053795742,1521.97909013924,1008.53411479552,2084.25625000331,436.957350077375,1558.03704432583,880.249657010773,1024.26814625374,1082.32838118747
"Hanunoo",1723.43280114195,2043.73304874541,1214.81167735377,1886.72561413041,2000.69729439542,1614.85633394308,1660.44058598193,1433.05361311579,1497.2411880568,1804.20254639194,1653.50263018445,1669.5803735945,1786.18320029497,1699.07021255708,1819.22550003157,1653.40803299384,1560.25333163602,1806.48551716209,1472.56857350242,1420.32792431446,1756.74593922423,1682.59940365156,1682.59940365156,1284.24288911567,1134.56998232311,634.910286258983,698.096650553688,803.047556955073,1830.31662795235,729.87541497176,2072.08838580165,2143.6337279919,2257.55829180625,2087.21145183735,2781.44787747739,2278.54574141268,2460.95758015492,2089.58615949473,0,115.985755420638,262.904928692212,700.841794947681,1065.8634033435,1078.22017276064,499.682901232306,2436.01294527997,2383.55089739992,1524.19512818082,839.871480623305,1419.26480933526,1488.86958950396,633.263611441853,365.361656880605,2295.09037750991,2463.94339402608,2804.85933026713,2898.74200132625,3145.62078275207
"Buhid",1608.31349565255,1928.61374325601,1099.69237186437,1771.60630864102,1885.57798890602,1499.73702845368,1545.32128049253,1317.93430762639,1382.1218825674,1689.08324090254,1538.38332469505,1554.46106810511,1671.06389480557,1583.95090706769,1704.10619454217,1538.28872750444,1445.13402614662,1691.36621167269,1357.44926801302,1305.20861882506,1641.62663373484,1567.48009816216,1567.48009816216,1169.12358362627,1019.45067683371,519.790980769583,804.221378949972,1648.70658229893,1715.19732246295,1729.72375803452,1956.96908031225,2028.5144225025,2142.43898631685,1972.09214634795,2666.32857198799,2163.42643592328,2345.83827466552,1974.46685400533,115.985755420638,0,348.638061134153,782.743837784132,1170.59407830558,963.10086727124,1085.05730030655,2320.89363979057,2268.43159191052,1409.07582269142,954.15821031175,1304.14550384586,1373.75028401456,765.187647034577,440.93801793749,2179.97107202051,2348.82408853668,2689.74002477773,2783.62269583685,3030.50147726267
"Kalamianen",1686.51239989474,2006.81264749819,1177.89127610655,1849.8052128832,1963.7768931482,1577.93593269586,1623.52018473471,1396.13321186857,1460.32078680958,1767.28214514473,1616.58222893723,1632.65997234729,1749.26279904775,1662.14981130987,1782.30509878435,1616.48763174663,1523.33293038881,1769.56511591487,1435.6481722552,1383.40752306725,1719.82553797702,1645.67900240434,1645.67900240434,1247.32248786845,1097.64958107589,597.989885011766,685.156175459856,640.496078719083,1793.39622670514,601.448475379252,2035.16798455443,2106.71332674468,2220.63789055903,2050.29105059013,2744.52747623017,2241.62534016546,2424.0371789077,2052.66575824751,262.904928692212,348.638061134153,0,679.240892252934,758.329512038297,1041.29977151342,1163.25620454873,2399.09254403275,2346.6304961527,1487.2747269336,807.046229985958,1382.34440808804,693.72669705161,513.911230878031,293.843273421942,2258.1699762627,2427.02299277886,2767.93892901992,2861.82160007903,3108.70038150486
"Batak",3654.31322658865,3974.6134741921,3145.69210280046,1843.01762308338,3931.57771984212,3545.73675938978,3591.32101142862,1256.89051936743,3428.12161350349,3735.08297183864,3584.38305563115,3600.4607990412,3717.06362574166,3629.95063800378,3750.10592547826,3584.28845844054,3491.13375708272,1843.64613736831,1204.45758863472,1471.98797393237,1827.30699525918,3613.47982909825,3613.47982909825,1043.4346774477,819.51201043413,980.471426182746,594.282974808288,605.960510563412,994.257729588573,664.64699090635,2506.15839524106,2577.7037374313,2691.62830124565,2521.28146127675,3215.5178869168,2001.15738897191,1286.41671611801,2047.00256028549,700.841794947681,782.743837784132,679.240892252934,0,615.31431577677,1503.14888491792,1059.10969374349,2870.08295471937,2817.62090683933,1958.26513762023,741.281214844302,765.009380743682,2385.30184063025,538.49109593938,591.807374828429,2017.70202506914,2186.55504158531,1582.54787302152,3332.81201076565,1336.84620681543
"Tagbanwa",3715.07385725482,1798.15706111391,1451.93886977947,1833.66182065333,3992.33835050828,3606.49739005594,1819.32916833024,1225.39793619545,3488.88224416966,3795.84360250481,3645.14368629731,3661.22142970737,3777.82425640783,1809.98784898426,1891.53254086865,3645.04908910671,3551.89438774889,1614.15595563763,1240.40399470249,1546.41232857037,1754.32656003781,3674.24045976442,3674.24045976442,1009.02852334185,865.385968223823,845.767856860944,620.629736670225,648.595395139787,2325.14726805792,732.30367556222,2566.91902590722,2638.46436809747,2752.38893191182,2582.04209194292,3276.27851758296,1021.35988921646,1387.90264172029,2107.76319095165,1065.8634033435,1170.59407830558,758.329512038297,615.31431577677,0,1521.89725155826,2391.24344549563,2930.84358538554,2878.38153750549,2019.02576828639,802.041845510468,844.916040379402,2446.06247129642,608.547547025986,652.568005494595,974.34786363245,2247.31567225147,1481.67739773453,1678.30755114245,1056.23188496739
"Tagalog",1146.9939669384,1467.29421454185,638.372843150214,1310.28677992686,1424.25846019187,1038.41749973953,1084.00175177837,856.614778912234,920.802353853243,1227.76371218839,1077.0637959809,1093.14153939095,1209.74436609141,1122.63137835353,1242.78666582801,1076.96919879029,983.81449743247,1230.04668295854,896.129739298868,843.88909011091,1180.30710502068,1106.160569448,1106.160569448,707.804054912118,558.131148119555,611.425596519913,1853.66273095083,1820.01757600994,1886.50831617396,1901.03475174553,2128.28007402325,2199.8254162135,2313.74998002785,2143.40314005895,2837.63956569899,2334.73742963429,2517.14926837652,2145.77784771633,1078.22017276064,963.10086727124,1041.29977151342,1503.14888491792,1521.89725155826,0,1256.36829401755,2492.20463350157,2439.74258562152,1580.38681640242,1550.74714418038,1475.45649755686,1545.06127772557,1970.63215271737,1001.53883507674,2351.28206573152,2520.13508224768,2861.05101848874,2954.93368954785,3201.81247097368
"Naga",1901.58092239886,707.493112036594,1392.95979861068,753.849319512602,1058.56769079033,1793.00445519999,531.194982488746,1611.2017343727,1675.38930931371,1982.35066764885,1831.65075144136,1847.72849485142,1964.33132155188,1877.218333814,864.45672811361,1831.55615425075,1738.40145289293,609.64862671023,1650.71669475933,1598.47604557137,873.463292791909,1860.74752490847,1860.74752490847,1462.39101037258,1312.71810358002,813.058407515893,1175.04494757296,1141.39979263206,1207.89053279608,1222.41696836765,1449.66229064538,1521.20763283563,1635.13219664997,1464.78535668107,2159.02178232112,1656.11964625641,1838.53148499865,1467.16006433845,499.682901232306,1085.05730030655,1163.25620454873,1059.10969374349,2391.24344549563,1256.36829401755,0,1813.58685012369,1761.12480224365,901.769033024548,2517.21034456316,796.838714178985,866.443494347691,1292.01436933949,685.201640599467,1672.66428235364,1841.5172988698,2182.43323511086,2276.31590616997,2523.1946875958
