population	region	model	balangao_admx	aytamagbukon_admx	span_admx	eastasian_admx	atamanobo_admx	balangao_se	aytamagbukon_se	span_se	eastasian_se	atamanobo_se	effblocks	qpadm_pval	malder_span	malder_eastasian	malder_joint_ceu_eas	malder_span_se	malder_eastasian_se	malder_joint_ceu_eas_se	malder_span_years	malder_eastasian_years	malder_joint_ceu_eas_years	malder_span_se_years	malder_eastasian_se_years	malder_joint_ceu_eas_se_years
DavaoMatigsalug	mindanao_sulu	5-source	-0	0.043	-0.015	0.088	0.884	0.186	0.205	0.027	0.04	0.364	499.599	0.81321328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dibabaon	mindanao_sulu	5-source	0.281	-0.105	-0	0.022	0.803	0.166	0.182	0.027	0.04	0.317	499.598	0.987628311	NA	NA	22.75	NA	NA	10.04	NA	NA	682.5	NA	NA	301.2
Gaddang	non_mindanao	4-source	0.913	0.031	0.013	0.044	NA	0.042	0.02	0.013	0.043	NA	499.599	0.307244621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gddang	non_mindanao	4-source	1.011	0.031	-0.007	-0.034	NA	0.048	0.022	0.014	0.048	NA	499.588	0.0337999094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hilgaynon	non_mindanao	4-source	0.77	0.198	-0.017	0.05	NA	0.041	0.02	0.013	0.042	NA	499.59	0.00198614191	NA	NA	22.01	NA	NA	5.44	NA	NA	660.3000000000001	NA	NA	163.20000000000002
Ibaloi	non_mindanao	4-source	0.999	-0.014	0.005	0.01	NA	0.043	0.019	0.013	0.044	NA	499.589	0.0695881982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ibanag	non_mindanao	4-source	1.012	0.078	-0.002	-0.088	NA	0.048	0.022	0.015	0.049	NA	499.588	0.143389497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ibatan	non_mindanao	4-source	0.921	0.044	-0.009	0.044	NA	0.05	0.024	0.016	0.051	NA	499.589	0.150733228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ilocano	non_mindanao	4-source	0.896	0.072	-0.002	0.034	NA	0.04	0.019	0.013	0.041	NA	499.594	0.33088061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranun	mindanao_sulu	5-source	0.294	-0.228	0.003	0.052	0.878	2.186	2.531	0.32	0.153	4.51	499.594	0.0643559003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Itawis	non_mindanao	4-source	0.96	0.018	0.015	0.007	NA	0.045	0.021	0.014	0.045	NA	499.592	0.108604788	NA	NA	5.55	NA	NA	1.73	NA	NA	166.5	NA	NA	51.9
Itbayaten	non_mindanao	4-source	0.892	0.05	-0.018	0.077	NA	0.053	0.023	0.016	0.054	NA	499.59	0.0220703256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Itneg	non_mindanao	4-source	0.933	0.065	-0.02	0.021	NA	0.039	0.02	0.013	0.04	NA	499.589	0.212201075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ivatan	non_mindanao	4-source	0.993	0.009	0.016	-0.018	NA	0.044	0.02	0.014	0.045	NA	499.588	0.542820716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kagayanen	non_mindanao	4-source	0.729	0.292	-0.047	0.026	NA	0.042	0.021	0.013	0.043	NA	499.591	0.00618081513	NA	NA	15.41	NA	NA	7.19	NA	NA	462.3	NA	NA	215.70000000000002
Kalagan	mindanao_sulu	5-source	0.034	-0.438	0.024	-0.03	1.41	1.929	2.11	0.25	0.116	3.78	499.599	0.105152703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kalanguya	non_mindanao	4-source	1.015	-0.052	0.023	0.013	NA	0.036	0.018	0.012	0.035	NA	499.59	0.492410765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kalinga	non_mindanao	4-source	0.975	0.035	0.003	-0.014	NA	0.041	0.021	0.013	0.041	NA	499.589	0.134871571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kamayo	mindanao_sulu	5-source	0.462	-0.044	-0.022	0.025	0.579	0.632	0.72	0.096	0.056	1.25	499.606	0.38638395	36.4	NA	10.14	15.7	NA	4.83	1092	NA	304.20000000000005	471	NA	144.9
Kankanaey	non_mindanao	4-source	0.984	0.002	-0.002	0.016	NA	0.037	0.018	0.012	0.039	NA	499.591	0.0497617768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kapampangan	non_mindanao	4-source	0.644	0.108	0.015	0.233	NA	0.034	0.016	0.011	0.035	NA	499.594	0.255435196	23.2	NA	12.72	9.29	NA	3.51	696	NA	381.6	278.7	NA	105.3
Kinaray-a	non_mindanao	4-source	0.788	0.228	-0.027	0.011	NA	0.04	0.02	0.013	0.041	NA	499.591	0.00136746203	NA	NA	22.66	NA	NA	8.66	NA	NA	679.8	NA	NA	259.8
Lambanguian	mindanao_sulu	5-source	0.038	-0.022	-0.036	0.015	1.005	1.633	1.617	0.19	0.248	2.842	499.597	0.471097473	NA	NA	28.96	NA	NA	14.68	NA	NA	868.8000000000001	NA	NA	440.4
Maguindanaon	mindanao_sulu	5-source	0.325	-0.079	0.016	0.046	0.692	8.081	9.23	1.207	0.44	16.317	499.602	0.0753299067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malaweg	non_mindanao	4-source	0.947	0.059	-0.004	-0.002	NA	0.044	0.021	0.014	0.045	NA	499.592	0.108342603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
