glottocode,language,subgroup,cog_PC1,cog_PC2,colour,gen_PC1,gen_PC2,populations,n_populations,gen_rot1,gen_rot2,cog_std1,cog_std2,residual
ivat1242,"Imorod; Iraralay; Isamorong; Itbayat; Itbayaten; Ivasay; Ivatan, Basco Dialect",Yami-Itbayat,2.1473714039082608,-1.4184176555862016,#9ECCC9,-0.020667625,-0.008910895,Itbayaten,1,-0.02280453858488523,0.07679440254194646,0.0763256188389823,-0.02474135158779023,0.14190242238092732
kaga1256,Kagayanen,Manobo,-3.619379095465747,-0.3623064072858982,#F16DEF,-0.008496879,0.002578644,Kagayanen,1,-0.03836262338280428,0.027254375079408647,-0.09783256392966248,0.007153632567579735,0.06277510396784457
kala1388,Kalagan,Central Philippine,-3.244628480938131,-1.2044845488540954,#565153,-0.01165858444444444,0.00712544555555555,Kalagan,1,-0.05533701096157594,0.02991178084726079,-0.0865149447566729,-0.018280485783632658,0.0573982414256271
kama1363,Kamayo,Central Philippine,-3.6305134886875248,1.2389183224993945,#565153,-0.01287431,0.00431031779999999,Kamayo,1,-0.049130074384938986,0.037121192738612356,-0.09816882707993174,0.05551126294778993,0.05237359972523504
kank1243,Kankanaey,Meso-Cordilleran,5.938319711465933,2.4454222370542062,#EA7B81,-0.0395609,-0.04596529,Kankanaey,1,0.054974722908844816,0.17975652180194104,0.1908137813294147,0.09194816606765467,0.16174843779568934
kina1250,Kinaray-a,Central Philippine,-5.225121336151911,3.288348599395641,#565153,-0.011414385,0.0012780963,Kinaray-a,1,-0.038689430392548935,0.03715881594752352,-0.14632662495469057,0.11740488098693273,0.1342579480236363
koro1310,"Bilaan, Koronadal; Koronadal Blaan",Tboli-Blaan,-1.2439597862855505,-6.13375883370366,#5C7193,-0.0059351325,0.0114968125,BlaanKoronadal,1,-0.05977443535716532,0.008013876679637748,-0.026093946098826832,-0.1671465502875158,0.17836914119879757
maga1263,Ayta Mag-anchi; Ayta Mag-antsi,Sambalic,0.6351950931455628,0.5623753723215694,#F1C878,0.095901225,-0.0214301375,AytaMag-antsi,1,0.17018550221781542,-0.23150492983118356,0.030657286502285403,0.035079393946226924,0.30089088498094907
magi1241,Ayta Mag-indi,Sambalic,0.837951221212959,-0.3703757576072237,#F1C878,0.09664539,-0.02341676,AytaMag-indi,1,0.17673799953054717,-0.23088777969355737,0.036780603058681846,0.006909934944761099,0.27592721126121295
magu1243,Maguindanaon,Danaw,-1.39322701180667,-3.021294709940034,#C573F1,-0.007914154,0.00951356,Maguindanaon,1,-0.05692372400177772,0.016225249111840066,-0.03060187630085267,-0.07314888283404831,0.09316960409635622
mama1275,Mamanwa,Central Philippine,-4.248887466840541,0.582518158317579,#565153,0.02144698,0.01771997,Mamanwa,1,-0.04001201737622226,-0.07683130216232867,-0.11684396974792778,0.03568771417879872,0.13624858877662888
