"gloss","wordform","feature","loading"
"at","sa","at::sa",0.0333792889370619
"feather","bulbul","feather::bulbul",-0.0333759922550445
"mosquito","yamok","mosquito::yamok",-0.0331345240014888
"mother","indoʔ","mother::indoʔ",-0.0327802439749779
"sand","barás","sand::barás",0.0327652737835609
"to.vomit","sukà","to.vomit::sukà",0.0327206619304455
"sky","langit","sky::langit",0.032076075128485
"Five","limaʔ","Five::limaʔ",-0.031889866665677
"year","dagún","year::dagún",0.0318888733217163
"man.male","laki","man.male::laki",-0.0318359860532
"to.drink","inɨm","to.drink::inɨm",-0.0318004911458766
"old","gurang","old::gurang",0.0313465792921585
"to.walk","panaw","to.walk::panaw",0.0309145249008752
"wide","malapad","wide::malapad",0.0308787464329961
"to.hide","tayo","to.hide::tayo",-0.030839148626053
"fish","isdâ","fish::isdâ",0.0308261875438375
"to.suck","sipsip","to.suck::sipsip",-0.030583997877707
"fish","isda","fish::isda",0.0305335825840493
"day","adlaw","day::adlaw",0.030491337811096
"dog","asu","dog::asu",-0.030205251155286
"cold","maramíg","cold::maramíg",0.0301773657011414
"leaf","don","leaf::don",0.0301547079675174
"Nine","siyam","Nine::siyam",-0.0301137426214812
"mother","ináng","mother::ináng",0.0299789827715953
"louse","kuto","louse::kuto",0.0299061117231744
"tongue","'dilaʔ","tongue::'dilaʔ",-0.0297911651006684
"smoke","asó","smoke::asó",0.0297071226891445
"nose","iróng","nose::iróng",0.0295783297251976
"wind","hangin","wind::hangin",0.0295422407946716
"star","bitoʔɨn","star::bitoʔɨn",-0.0295004673410419
"shoulder","abaga","shoulder::abaga",0.0292516474131233
"blood","'dala","blood::'dala",0.0290430103659618
"to.split","lapaun","to.split::lapaun",0.0288010918151719
"left","walá","left::walá",0.0287993885805667
"to.swim","lumangóy","to.swim::lumangóy",0.0287388658711471
"to.steal","'takaw","to.steal::'takaw",-0.0286511369683594
"leaf","bulong","leaf::bulong",-0.0285508783576696
"person.human.being","tau","person.human.being::tau",-0.0285057800663632
"liver","atay","liver::atay",0.0284768863121767
"to.work","obra","to.work::obra",-0.028439844014019
"to.pound..beat","bayo","to.pound..beat::bayo",-0.0284044388228237
"to.choose","piliq","to.choose::piliq",-0.0283072466215864
"intestines","bituka","intestines::bituka",-0.0282223734871555
"sea","dágat","sea::dágat",0.0279166129170909
"rotten","bugúk","rotten::bugúk",-0.0278476012858047
"dog","ayam","dog::ayam",0.0278084224183785
"One","osa","One::osa",0.0276836070435444
"short","pandak","short::pandak",-0.0275113236389
"he.she","iya","he.she::iya",-0.0273952528018205
"dry","ugá","dry::ugá",0.0273714525263758
"near","malapit","near::malapit",-0.0273011972462732
"rope","ta'li","rope::ta'li",0.0272437139797473
"night","la'bi","night::la'bi",0.0272024634024915
"dog","ásu","dog::ásu",-0.0270820177784048
"back","likód","back::likód",0.0270572673552119
"tooth","'ngipin","tooth::'ngipin",-0.0269131423130625
"mouth","bibíg","mouth::bibíg",0.0268340499774821
"white","maputi","white::maputi",-0.0267375122983697
"father","amáng","father::amáng",0.0266797131636014
"sand","balás","sand::balás",-0.0266735316237801
"fat.grease","tabá","fat.grease::tabá",0.0266563583224497
"to.sniff..smell","aŋot","to.sniff..smell::aŋot",-0.0265640953418571
"hair","buhok","hair::buhok",0.0264939111377904
"painful..sick","masakit","painful..sick::masakit",-0.0263961070965777
"fire","kalayo","fire::kalayo",0.0263315848765374
"wing","payak","wing::payak",0.0262334811437452
"Seven","pi'tu","Seven::pi'tu",0.0261649875783559
"root","yamut","root::yamut",-0.02613688040992
"Nine","siam","Nine::siam",-0.02603138977255
"tooth","ngipon","tooth::ngipon",0.0259767532762652
"to.hunt","manganup","to.hunt::manganup",0.025849405358646
"root","lamut","root::lamut",0.0256135787457592
"husband","asawa","husband::asawa",-0.0255380055218133
"to.flow","lagnás","to.flow::lagnás",0.0255323895766455
"rotten","buyók","rotten::buyók",0.025501822207178
"thick","makapal","thick::makapal",-0.0254766212858755
"ash","abú","ash::abú",-0.0253627673615969
"liver","agtoy","liver::agtoy",0.0253497369570577
"to.hide","taguʔ","to.hide::taguʔ",-0.0253115427572666
"Two","duwá","Two::duwá",0.0252456566885287
"Four","ʔapat","Four::ʔapat",-0.0251459081888637
"to.drink","inum","to.drink::inum",-0.0249855784079187
"to.plant","tanóm","to.plant::tanóm",0.0249675858361313
"Three","tuló","Three::tuló",0.0249450272615916
"good","maál","good::maál",0.0249370184666638
"tail","ʔikug","tail::ʔikug",-0.0249350873758634
"to.tie.up..fasten","gapusun","to.tie.up..fasten::gapusun",0.0249120890693659
"worm..earthworm.","bulati","worm..earthworm.::bulati",-0.0248507658489572
"root","gamút","root::gamút",0.0248120616407306
"wind","angin","wind::angin",-0.0247635199057704
"tail","ikuy","tail::ikuy",-0.0246011585534644
"belly","tyan","belly::tyan",-0.0245695669826591
"person.human.being","tolay","person.human.being::tolay",0.0245684190313155
"to.die..be.dead","patay","to.die..be.dead::patay",0.0243549502073881
"to.walk","lumákad","to.walk::lumákad",-0.0242534008556666
"night","gabí","night::gabí",0.0239205878174107
"child","bata","child::bata",0.0238330480866914
"hair","buók","hair::buók",0.0238146747157625
"Nine","si'yam","Nine::si'yam",0.0237720963645971
"to.think","painuinu","to.think::painuinu",0.0237647654824101
"stone","batu","stone::batu",-0.0237564695119823
