fid,iid,father,mother,sex,phenotype,population,matched,latitude,longitude
AgtaMatnog,Mat-19,0,0,0,-9,AgtaMatnog,True,12.5875,124.0833
AgtaRemontado,DR-01,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-02,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-04,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-05,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-09,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-10,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-12,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-13,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
AgtaRemontado,DR-14,0,0,0,-9,AgtaRemontado,True,14.6333,121.4333
Agutaya,Agu-05,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-06,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-07,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-08,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-09,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-14,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-15,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-17,0,0,0,-9,Agutaya,True,11.1512,120.9395
Agutaya,Agu-18,0,0,0,-9,Agutaya,True,11.1512,120.9395
Apayao,APY-01,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-03,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-04,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-05,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-07,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-08,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-10,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-11,0,0,0,-9,Apayao,True,17.75,121.3333
Apayao,APY-12,0,0,0,-9,Apayao,True,17.75,121.3333
Arta,ART-01,0,0,0,-9,Arta,True,16.25,121.65
Arta,ART-02,0,0,0,-9,Arta,True,16.25,121.65
Arta,ART-04,0,0,0,-9,Arta,True,16.25,121.65
AtaManobo,ATA-01,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-03,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-04,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-05,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-15,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-16,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-17,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-18,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtaManobo,ATA-19,0,0,0,-9,AtaManobo,True,7.5333,125.6167
AtiNegros,ATN-04,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiNegros,ATN-07,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiNegros,ATN-08,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiNegros,ATN-09,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiNegros,ATN-16,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiNegros,ATN-24,0,0,0,-9,AtiNegros,True,10.2044,122.9908
AtiPanay,Pati-03,0,0,0,-9,AtiPanay,True,11.05,122.8
AtiPanay,Pati-04,0,0,0,-9,AtiPanay,True,11.05,122.8
AtiPanay,Pati-05,0,0,0,-9,AtiPanay,True,11.05,122.8
AtiPanay,Pati-12,0,0,0,-9,AtiPanay,True,11.05,122.8
AtiPanay,Pati-17,0,0,0,-9,AtiPanay,True,11.05,122.8
AtiPanay,Pati-23,0,0,0,-9,AtiPanay,True,11.05,122.8
AttaRizal,AYC-01,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-03,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-04,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-05,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-06,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-07,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-14,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-15,0,0,0,-9,AttaRizal,True,17.9167,121.45
AttaRizal,AYC-16,0,0,0,-9,AttaRizal,True,17.9167,121.45
AyanganIfugao,AYN-01,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,AYN-03,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,AYN-04,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,AYN-05,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-01,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-01-01,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-02,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-04,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-06,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AyanganIfugao,IFa-08,0,0,0,-9,AyanganIfugao,True,16.9789,121.2033
AytaAmbala,Amb-01,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-02,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-03,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-04,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-05,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-07,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-08,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaAmbala,Amb-12,0,0,0,-9,AytaAmbala,True,14.8783,120.4653
AytaMag-antsi,AMA-01,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-02,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-03,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-04,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-05,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-06,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-07,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMag-antsi,AMA-16,0,0,0,-9,AytaMag-antsi,True,15.1667,120.5333
AytaMagbukon,AB-01,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-02,0,0,0,-9,AytaMagbukon,True,14.68,120.44
AytaMagbukon,AB-03,0,0,0,-9,AytaMagbukon,True,14.68,120.44
