language,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
Ivatanen,0.7174621589045844,0.09310412761730877,121.93381,20.38116,Yami-Itbayat,#9ECCC9,0.0625359964651005,-0.004940804317235762,124.79703294149408,12.213678493874419
Kalagan,2.8657165570953307,-0.22391165178139613,125.92716,7.30352,Central Philippine,#565153,0.2471913979925138,0.03185970536274867,131.78520221759996,13.606370984662593
Kalamansig,1.6470244658337985,-0.41303206104667395,124.29478,6.40155,Manobo,#F16DEF,0.14083203955316034,0.0429343760072277,127.7600981874756,14.025485034403784
Kalamianen,0.01819375343083451,1.6701050917092737,119.99355,11.91139,Palawanic-Kalamian,#87B1F1,0.008842546879290645,-0.14454880858414165,122.76503760520824,6.930300060064485
Kapampangan,-0.7069757197224209,-0.4746061031906904,120.54845,15.24905,Central Luzon,#477C65,-0.06328789114370525,0.03802378989243346,120.03530586329909,13.83964694501552
Kuyunon,-0.48395771666613097,0.36740655183026927,119.51679,10.73557,Central Philippine,#565153,-0.04031116373184341,-0.033922528012209005,120.90484587803402,11.116883114922372
Magindanao,-0.16376446902913377,1.1645319795793794,124.52305,6.98166,Danaw,#C573F1,-0.009114556494156632,-0.10155886479802632,122.08546215253158,8.557227850222034
Mamanwa,0.604612065670059,-0.2595217252487605,125.53517,9.43926,Central Philippine,#565153,0.05122903551318352,0.02510489818179288,124.36912800897261,13.350739491527166
Mansakan,-0.2403150452684451,2.012821624349343,126.164,7.2864,Central Philippine,#565153,-0.012052594519587092,-0.1753522483504695,121.9742739235845,5.764562964951816
Maranao,-0.7442789539261997,-0.4797715199878233,124.22438,7.81502,Danaw,#C573F1,-0.06654075726302724,0.03830879057481646,119.91220316017585,13.850432619281337
Naga,-1.3353443600339294,-1.6477039020709814,123.39831,13.61531,Central Philippine,#565153,-0.12280785045827683,0.13687768974876446,117.7828098758724,17.58071154472453
North Kalinga,0.5883489872526118,-0.45536657243396245,121.36921,17.61454,Meso-Cordilleran,#EA7B81,0.04896851851175329,0.041993930928072715,124.28358014345206,13.989894472992344
North Kallahan,-1.5855753586204244,-0.6614147494936596,121.02642,16.70893,Meso-Cordilleran,#EA7B81,-0.14018582102892257,0.050378084744491805,117.12515134534287,14.307187580160658
North Kankanay,-0.16428131156722103,1.4123276651617918,120.80177,17.12722,Meso-Cordilleran,#EA7B81,-0.008081099475517252,-0.12301975607229725,122.12457269317157,7.745053715048176
Pangasinan,-1.0081948563813306,-0.6731714640039917,120.38515,15.96202,Meso-Cordilleran,#EA7B81,-0.09023690677649744,0.05390850629268852,119.01543706169018,14.440794196543054
Sangil,0.03670821358097947,2.3443046230158964,125.38747,5.40063,Sangiric,#A852A0,0.013379457860452576,-0.20285266499392504,122.93673419065729,4.723826733689301
Sarangani Bilaan,-0.4267074597693183,-0.03840307247389062,125.34999,6.06694,Tboli-Blaan,#5C7193,-0.03711916739358226,0.0014689342883949627,121.02564500200207,12.456251080547917
Sarangani Manobo,1.8489947054377416,0.42712740655423853,125.61158,6.03322,Manobo,#F16DEF,0.16197800642759919,-0.02894304287722776,128.56035420383463,11.305328645046416
Sindangan,0.07390522141930109,0.92894538952012,123.09603,8.13155,Subanen,#7CF2D9,0.010442103563282077,-0.08012335309415593,122.82557183698265,9.368441511276824
Siocon Subanon,-0.30072460550363317,0.2195891085812672,122.37053,7.73572,Subanen,#7CF2D9,-0.025086706262049736,-0.020324525843181708,121.48100603937107,11.63149108299695
South Kalinga,0.5720201036277345,-0.3348047401910162,121.05985,17.29229,Meso-Cordilleran,#EA7B81,0.04807905934259589,0.031482451371058096,124.24991911221852,13.592094041057296
Tagalog,-1.7921735902780636,-2.7088553307646834,121.38616,14.21913,Central Philippine,#565153,-0.16698571429786116,0.22678365001914172,116.11092598721216,20.983146914084543
Tagbanwa,-0.1738526674559675,1.2087307198598678,118.52075,9.63679,Palawanic-Kalamian,#87B1F1,-0.009795856954039513,-0.1054302889589961,122.05967875869544,8.410716201211613
Tausug,0.787509887928686,-0.40191689326754004,121.11477,5.95478,Central Philippine,#565153,0.06644805112760399,0.03823188255180575,124.94508222666431,13.8475220827953
Tboli,-0.22917645559414063,0.08676142973994735,124.56778,6.17584,Tboli-Blaan,#5C7193,-0.01946873348026048,-0.008510575523777139,121.69361473894313,12.078582714049226
Tigwa,-0.1810493027597156,1.1533556689851256,125.15548,7.70798,Manobo,#F16DEF,-0.010660021364061282,-0.10066622741707229,122.02697499195119,8.591009158912106
Tina,-0.1685675597736525,1.2088636937770967,120.04184,15.57252,Sambalic,#F1C878,-0.00933759792572011,-0.10541880756212996,122.07702128772904,8.411150707563245
Tiruray,2.2211652737495537,-0.46311319377586774,124.12327,6.78126,Bilic,#BA7862,0.1903336442026973,0.049769523774336556,129.63345574901155,14.284156967250887
Waray,-0.4011578286280335,0.2450366429792935,125.0147,11.78931,Central Philippine,#565153,-0.03367330739372239,-0.022965242155256506,121.15605143897385,11.531554810099928
Western Bukidnon,-0.38633246233603336,1.156821475482696,124.83378,7.68416,Manobo,#F16DEF,-0.02842207809113162,-0.10185959284746737,121.35478095877455,8.54584698349307
Yogad,2.6597852904054275,-0.9501177820653591,121.70617,16.69425,Cagayan Valley,#79F287,0.22619825012262632,0.09385174329465513,130.99072954179624,15.952421255900532
