glottocode,PC1,PC2,language,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
sara1326,-1.241416785009075,-6.061186894684953,"Bilaan, Sarangani; Sarangani Blaan",125.354,6.03691,Tboli-Blaan,#5C7193,0.1354803266898234,-0.04778983288948842,128.22347938315832,10.614695313097616
sara1327,-1.6838317839725119,-4.95020689444692,"Manobo, Sarangani, Kayaponga Dialect",125.499,5.84903,Manobo,#F16DEF,0.10852151694186653,-0.0544406918157219,127.03117155062343,10.32054763873919
sout2908,4.841099691529346,1.075399037924789,"Kalinga, Southern",121.068,17.2936,Meso-Cordilleran,#EA7B81,-0.009373578049919687,0.11476801540991509,121.81702276251512,17.804144609244176
sout2916,-1.2420088893282495,-0.29015356490386846,S.W. Palawano,117.36,8.67624,Palawanic-Kalamian,#87B1F1,0.0027327210762194145,-0.029489556707263505,122.35244830266531,11.424062003749533
suri1273,-5.9739591919777935,3.957514240849696,Surigaonon,126,9,Central Philippine,#565153,-0.10998889339983903,-0.12485459866409813,117.36710714360436,7.206350334050547
tady1237,-0.08555723284947452,-1.4897396227206858,Tadyawan,121.305,13.0211,North Mangyan,#ECBEBD,0.033995589911361875,-0.0066955588482402175,123.73511184486699,12.432172615315265
taga1270,-2.889388088465968,2.0058207767921554,Marinduque Tagalog; Mindoro Tagalog; Tagalog; Tagalog (Anthony dela Paz),121.747,14.06,Central Philippine,#565153,-0.055307268325738505,-0.06009660813823139,119.7855124990755,10.070403311354667
taus1251,-4.064067503404999,1.278632867164907,"Tausug, Jolo Dialect",118.88,5.12236,Central Philippine,#565153,-0.04230818709507071,-0.08942433965869051,120.360423131703,8.773325126922806
tbol1240,-0.7990729186478345,-5.709982752818325,Tagabili; Tboli (Tagabili),124.538,6.20377,Tboli-Blaan,#5C7193,0.12880564516875267,-0.03650049001195414,127.92827810640864,11.113989312458113
tina1248,1.0306284752071602,-0.27583184754023776,Sambal,120.095,15.5797,Sambalic,#F1C878,0.009615318153265707,0.022831261330576915,122.6568450649803,13.738055897930183
tiru1241,-0.24030310036074978,-3.9545380157352064,Tiruray,124.127,6.77321,Bilic,#BA7862,0.09019998787998504,-0.018076867849565467,126.22086490842635,11.928811228308614
wara1300,-4.8426955676467,3.759494603629556,Samar-Leyte; Waray-Waray,125.012,11.4911,Central Philippine,#565153,-0.10184406004160715,-0.09946158974664034,117.72732885585734,8.329407461088874
west2555,-1.823149925386125,-6.620340343611621,"Manobo, Western Bukidnon; Western Bukidnon Manobo",124.825,7.6682,Manobo,#F16DEF,0.14649593292801322,-0.06294532782857021,128.7106668265472,9.944412927089102
west2557,-3.0322582018070467,-1.6329011741988007,"Subanon, Siocon; Western Subanon",122.341,7.79964,Subanen,#7CF2D9,0.027937491066327237,-0.0749300992659049,123.46718018279675,9.414362194528197
yoga1237,2.58986414239638,0.38493569375848713,Yogad,121.718,16.7015,Cagayan Valley,#79F287,-6.355995707821444e-4,0.06079380408471589,122.20347751621532,15.417026056178024
